ID:
	char_293_thorns
	    단, 이베리아의 검술 대가들은 '데스트레자'는 특정 형태의 검을 이용한 검술을 구사하는 데만 제한적으로 사용될 수 있다고 보았고, 쏜즈를 포함한 많은 비 리베리인이 사용하는 검술은 졸렬한 모방과 모독의 집합체에 불과하다 생각했다. 다만, 쏜즈와 같은 검사들의 입장에서 보았을 때, 이들은 전통 검술로부터 많은 기술을 흡수한 덕분에 자신들의 검술이 실전에서 더 유용하게 사용될 수 있다고 생각했다. 즉, '데스트레자'를 익힌 사람들은 전혀 그렇게 생각하지 않는단 뜻이다. 아무튼 이런 부질없는 것에 과도하게 집착하는 사람은 전투 중 대부분 죽음을 맞이하기 마련이며, 검사와 마주한 전투는 말할 필요도 없을 것이다.
	    다만, 이런 전통을 탈피한 검사들도 이베리아의 검술은 드넓은 바다와 같이 광활하고 위험하여, 이를 익히기엔 검사들의 생명이 너무 짧아, 누구도 일생 동안 그 끝을 볼 수 없다는 점을 인정하였다.
	
	    정교한 검술과 직접 제조한 독소의 사용에 능한 쏜즈는 전장에서 자신이 맡은 임무를 신속하게 처리하였으며, 아군의 피해를 최소화함과 동시에 최대한의 성과를 획득하였다.
	    이런 작전 방침은 효율성 측면에서는 나무랄 데가 없으나, 종종 쏜즈 본인이 물의를 빚는 경우가 있었다.
	    쏜즈의 검술과 약제 제련, 추출 기술은 모두 현지의 어느 성직자로부터 전수받은 것으로, 그는 다른 몇 명의 아이들과 함께 성직자에게 가르침을 받으며 어린 시절과 청소년 시절을 보냈다. 이후엔 성직자로 인해 종교적 동란에 휘말렸고, 이를 기점으로 몇몇 학생들은 서로 다른 길을 걷게 되었다.
	    훌륭한 검술적 재능을 타고난 오퍼레이터 쏜즈는 약제 제조 방면에서도 뛰어난 재능을 타고났다. 쏜즈는 약의 채취와 정제에 능하며, 그중에서 특히나 독소류를 잘 다루는데, 그가 직접 제조한 신경성 독소는 그 탁월한 효과로 인해 의료부의 오퍼레이터들에게 굉장한 호평을 받기도 했다. 이 밖에도 쏜즈는 다른 약물 제조 방면에서 더 대담한 발상을 하곤 하는데, 이런 발상은 더 나은 결과를 얻을 수도 있으나, 상당수의 경우에는 폭발로 마무리되곤 한다.
	    그렇다 하더라도 쏜즈는 여전히 행복해하지만 말이다.

———————————————————————————————

	档案资料三 :
	在制作干员档案时，人事部的工作人员往往会从许多不同方向着手进行调查，对干员本人的询问，对其家乡的实地考证，对干员在舰船内活动轨迹的观察以及对其他干员的印象采访，只有综合所有这些能够取得的信息，才能完成对一位干员档案的编写。
	在这些调查进行的过程中，我们会注意到，来到罗德岛的干员们的性格往往复杂而多面，很难用某种简约的特质来概括，干员棘刺显然也是如此。
	许多同棘刺有过接触的人，都会对其给出“难以相处”这样的评价，这看似较为负面，然而进一步的调查却显示，许多给出负向评价的干员，仍然与干员棘刺维持着友好的互动与往来，那些能说出棘刺大堆缺点的人，反而与其往来较他人更加频繁，关系更加亲密。
	令人一边抱怨“难以相处”，一边却仍愿意与之相处，在干员内部人际关系这个问题上，我们最终得出棘刺无需多加关注这一结论。
	
	【记录人员补足】
	长期的观察才更能全面了解干员，这点我同意。
	但是说实话，我最开始以为这是个酷哥，几个月后我满脑子都是他和那几个...嗯...有点过于...呃...活泼的干员一起做怪模怪样的健身体操的画面，他们成天聊些又怪又傻的话题，会在聊嗨了之后真的动手去实践，做许多奇奇怪怪的东西，甚至还没做成就直接爆炸！这谁能顶得住？怎么还没人来把这几个人都挂到甲板上去？
	
	【记录人员补足的补足】
	已经被挂上甲板了，没什么用。
	调查期到今天截止，我有一些评价想写在这份档案上，但是上司说太主观了不允许，所以算了。最后一句，他们今天做的药液摔炮挺好玩的。

	第三資料 :
	オペレーターの資料を作成する際、人事部のスタッフは、本人への聴取や、出身地の現地調査、艦内活動の観察及び他のオペレーターへの聞き込み等、各方面で調査を行う。その後取得した情報をまとめ上げることで、やっとひとりのオペレーターの資料を書き上げることができる。
	これらの調査中、我々は気づいた。ロドスのオペレーターは皆性格が複雑かつ多面的で、一言で形容することは難しい。そしてそれはソーンズも同じであると。
	ソーンズと交流があった人は彼を「付き合いにくい」と評価する。しかしこのようなマイナス評価をしたオペレーターの多くは、彼と良好な関係を保っている。ソーンズの欠点を多く述べる人ほど、彼と密な関係にあるのだ。
	「付き合いにくい」と文句を言いながらも、彼と付き合い続けることを選ぶ。それならばソーンズの人間関係について、特に注意すべきことはない。これが我々が出した結論である。
	
	
	【記録者による補足】
	長期の観察なくして、オペレーターを理解し得ないことはわかっている。
	だが、彼のイメージの変化はあまりにも大きすぎる。最初はクールだと思っていた彼が、数ヶ月経った今では、お調子者のオペレーター数名と一緒に変な体操をしているんだ。彼らはいつもくだらない話題でテンションが上がり、そのまま実践として訳のわからないものを作る。その中には完成もしていないうちに爆発したものだってある！こちらからすればたまったもんじゃない！誰かあいつらを甲板に吊るし上げてくれ！
	
	【記録者による補足への補足】
	吊し上げたが、状況の改善が見られない。
	調査は本日までとなり、その総括として彼への評価についてこの資料に記したいことはまだあるが、上司に主観的過ぎると却下されたので割愛する。最後に一言だけ、彼らが今日薬液で作ったかんしゃく玉はなかなか面白かった。

	Archive File 3 :
	When putting together operator files, HR Department personnel will often conduct investigations from various directions, such as direct inquiries with the operator, field examinations of their hometown, observation of the operator's behavioral trends within the ship, and interviews with other operators. An operator's profile overview can only be completed by synthesizing all of the available information. 
	Through these investigations, we've noticed that the personalities of the operators who come to Rhodes Island are almost always complex and multifaceted, almost impossible to reduce down to a list of simple traits, and never exactly the same between two operators. Of course, Thorns is no exception. 
	Many people who've been in contact with Thorns will describe him as 'difficult to get along with.' While these evaluations seem to reflect poorly upon him, further investigation revealed that many of the operators who gave him these negative evaluations still maintain frequent and friendly interactions with him. Those who are able to see more and more of Thorns's flaws are, conversely, closer to him and have a deeper relationship. 
	While people complain that Thorns is 'difficult to get along with,' they still make the effort to do so. In regards to the issue of Thorns' interpersonal relationship with other operators, we concluded that there is no need for further monitoring. 
	
	[Addendum] 
	I agree that long-term observation can enhance our understanding of an operator. 
	But to be honest, I originally thought he was kind of cool, but within a few months, all I could think of was him and his.... uh... how should I put this... lively operators doing all kinds of weird exercises together. They'd talk about wacky topics all day long, and then try to actually build that stuff. Sometimes, their crafts will explode before even being finished! Who's going to be able to keep an eye on a guy like that? How come no one has come to hang these people on deck yet? 
	
	[Recorder's Addendum] 
	We already tried that, but it didn't do anything. 
	The investigation period ends today. I have some comments I'd like to write on this file, but my boss said they were too subjective, so nevermind. What I will say is, the potion bang snaps they made today were a lot of fun.

	파일 자료 3 :
	    오퍼레이터 문서를 작성할 때 인사부의 작업 인원들은 각기 다른 수많은 방법으로 조사를 진행한다. 오퍼레이터 본인에게 묻기도 하고, 그의 고향을 현지 조사하기도 하며, 함선 내 오퍼레이터의 활동 궤적을 조사하거나 그 오퍼레이터에 대한 다른 오퍼레이터의 인상을 묻기도 하는 등, 얻을 수 있는 모든 정보를 종합한 후에야 한 명의 오퍼레이터에 대한 문서가 완성되는 것이다.
	    이러한 조사 과정 속에서 우리는 로도스 아일랜드에 합류한 오퍼레이터들의 성격은 복잡하고 다양하며, 그들의 특징을 간소화하기 어렵다는 것을 종종 깨닫게 되는데, 오퍼레이터 쏜즈 역시 이런 부류에 속한다.
	    쏜즈와 접촉한 많은 사람들은 하나같이 그에 대해 '함께 지내기 힘든 사람'이라는 평가를 내렸다. 이는 마치 부정적인 평가로 보이지만, 좀 더 조사를 해본 결과, 부정적인 평가를 내린 많은 오퍼레이터들이 쏜즈와 우호적인 관계를 유지하고 있으며, 쏜즈의 결점을 많이 말할 수 있는 사람일수록 오히려 다른 사람에 비해 쏜즈와 보다 친밀하고 빈번한 교류를 하는 것으로 드러났다. 즉, '함께 지내기 힘들다'고 불평하는 한편, 다른 한편으로는 여전히 함께 지내길 원한다는 것이다. 오퍼레이터들 사이의 인간 관계 측면에서 결국 우리는 쏜즈에게 더는 관심 가질 필요가 없다는 결론을 내리게 되었다.
	
	[기록인 별첨]
	    장기간 관찰해야 오퍼레이터를 완전히 이해할 수 있다는 점에는 동의해. 사실 나는 처음에 그 사람이 쿨한 남자인 줄 알았어. 하지만 몇 개월 후 내 머릿속은 온통 그와 몇몇… 음… 조금 지나치게… 음… 활발한 오퍼레이터가 괴상망측한 건강 체조를 하는 모습으로 가득차 버렸다고. 그들은 하루종일 이상하고 바보같은 내용을 떠들더니, 하하 웃고는 정말로 그 짓을 하러 가더라니까? 온갖 기괴한 걸 만들어내는데, 심지어 아직 다 만들지도 않았는데 폭발하더라고! 그걸 누가 막을 수 있겠어? 어째서 아무도 이 사람들을 갑판 위에 매달아 놓지 않은 거지?
	
	[기록인 별첨의 별첨]
	    이미 갑판 위에 매달아 봤지, 아무 소용 없던데.
	    조사 기간은 오늘로 끝이다. 더 쓰고 싶은 평가가 있지만, 상사가 너무 주관적이라 허락할 수 없다 하니 그만두겠다. 마지막으로 덧붙이는데, 걔네가 오늘 만든 물약 폭죽, 진짜 끝내주게 재밌더라.

———————————————————————————————

	档案资料四 :
	我们之中来自伊比利亚的干员们很少谈论自己的家乡，这件事并不算是秘密，只要稍加留意就能够察觉。偶尔在提及故乡时，就算是再冷面不善表达的伊比利亚人，也或多或少会流露出一些复杂之意，人们能够从种种细微之处窥见他们的态度。
	干员棘刺是我们之中少有的，会不遮不掩地对伊比利亚这片土地给出评价的干员之一。相较于其他干员的闭口不谈或含糊言辞，棘刺态度相当坦然，他向我们提供了许多可供参考的信息，其中的一部分与传统认知相似，而另一部分则全然是颠覆性的。
	这个临海国度在过去时常被与热情、活力、奢豪，以及洒满海岸的阳光联系在一起，那里曾流传有黄金国度的美名，因与拉特兰在宗教上源远的历史联系而时常被一同讨论，然而近些年，这片富饶之地却逐渐沉寂，逐渐淡出人们的视野。
	
	【权限记录】
	对于目前伊比利亚的现状，我们所知甚少。据棘刺所说，在过去几十年中，阿戈尔人在伊比利亚境内的待遇每况愈下，他描述曾经繁荣的城市上空聚起阴云，气氛压抑而凝滞。
	当地的管理者似乎并不阻止当地的居民离开，但在入境方面却有着严格的限制，罗德岛所属的调查人员在该地区停留多时，暂时还未找到办法进行深入调查。
	调查部门给出了相关评估，在有必须深入的理由，并且做好相应的准备之前，并不建议贸然进入该地区。

	第四資料 :
	少し気をつければわかることだが、イベリア出身のオペレーターたちは故郷について語ることはほぼない。たまに故郷のことが話題に上がっても、皆複雑な顔をするだけだ。
	その中でソーンズは、イベリアへの評価を忌憚なく話す珍しいオペレーターである。彼が沈黙を保ったり誤魔化したりせず平然と話してくれたおかげで、我々はイベリアについて参考価値のある情報を多く得られた。その内容は、伝統的な認識と符合しているもの、古い考えを覆すものなど、さまざまであった。
	海の幸に恵まれ、熱情と活力、潤沢さ、そして海岸に降り注ぐ太陽の光をイメージさせるイベリアは、かつて黄金郷と呼ばれ、その宗教的歴史の繋がりから、ラテラーノと一緒くたに討論されることも多かった。しかしこれはもう昔のこと。それほど豊かではなくなった近年は、人々の関心の対象ではなくなった。
	
	【権限記録】
	イベリアの現状について、我々は知らな過ぎる。ソーンズの話によると、ここ何十年もの間イベリア境内において、エーギル人の立場は悪くなる一方らしい。かつて繁盛していた町は今や影に覆われ、重苦しい空気に満たされているようだ。
	国の管理者は住民の出国は認めているが、外来者の入国は厳しく制限しているという。このためロドスの調査スタッフも、未だ国境に足止め状態だ。
	相応の必要性と準備なくして、イベリアへの入国は控えるべき。これが調査部門の評定である。

	Archive File 4 :
	Iberians rarely talk about their hometown, and this isn't exactly a secret as long as you pay attention. Occasionally, when you mention their homeland, even Iberians who are generally impassive or stony-faced will show some complex expressions, and these subtle nuances can reveal a lot about their attitudes. 
	Thorns is one of the few people among us who actually will give an unreserved impression of Iberia. Compared with the silence or vague remarks of the other operators, Thorns actually can give a calm response to our inquiries. He's provided us with a lot of referential information, and while a lot of it is fairly similar to more mainstream conceptions, some of it completely subverts these notions. 
	In the past, this seaside country was often associated with passion, vitality, indulgence, where sunshine melts into the coast along the horizon. Once widely known for the resplendent beauty of its golden sunlight, this country was often discussed in conjunction with Laterano because of its religious connections. However, in recent years, this rich land has gradually become silent and faded from the public eye. 
	
	[Classified Log] 
	Very little is known about the current state of Iberia. According to Thorns, the treatment of the Ægir in Iberia has gone from bad to worse over the past few decades. He described a once prosperous city as gloomy and stagnant. 
	The local administrators do not seem to prohibit locals from leaving, but they have enacted tight restrictions on re-entry. Rhodes Island's investigators have been staying near the area for a long time, but have not found a way to conduct an in-depth investigation. 
	The Investigation Department has reached a similar assessment, discouraging any attempts to rashly enter the area until the need arises to prepare for an in-depth investigation.

	파일 자료 4 :
	    이베리아 출신의 오퍼레이터들은 자신의 고향에 대해 거의 이야기 하지 않는데, 비밀이라 할 건 없고, 조금만 관심을 기울이면 알게될 수 있는 부분들이었다. 간혹 고향에 대해 언급할 때면, 냉담하고 표현이 서툰 이베리아인이더라 하더라도, 많든 적든 복잡한 심정을 내비쳐, 이런 미세한 부분들을 통해 그들의 변화를 감지할 수 있다.
	    오퍼레이터 쏜즈는 우리 중 거리낌 없이 이베리아 땅에 대한 평가를 내릴 수 있는 몇 안 되는 사람 중 하나다. 아예 대답을 안 하거나, 애매하게 말하는 다른 오퍼레이터와는 달리, 쏜즈는 태연하게 참고할만한 많은 정보를 제공해 주었는데, 그중 일부분은 상식과 큰 차이가 없기도 했지만, 어떤 부분은 상식을 완전히 뒤엎는 내용이었다.
	    해안 국가인 이베리아는 한때 사람들로 하여금 언제나 열정과 활력, 부유함, 해안에 쏟아지는 태양빛, 과거로부터 전해 내려온 황금국이란 아름다운 명성을 떠올리게 했다. 또한 라테라노와 함께 역사적 종교적의 발원지로 엮여 늘 토론의 대상이 되곤 하였다. 하지만 최근 몇 년 사이, 이 풍요의 땅은 점차 그 원래 모습을 잃고, 사람들로부터 잊혀가고 있다.
	
	[제한된 기록]
	    이베리아의 현황에 대해 우리가 아는 것은 극히 적다. 쏜즈의 말에 따르면 과거 수십년 동안 이베리아 내부에서 에기르인에 대한 대우는 갈수록 나빠졌고, 과거 번영했던 도시에는 암운이 드리워져 분위기는 갈수록 억압되고 경직되었다고 한다.
	    현지 관리자는 주민들의 이탈을 전혀 저지하지 않는 듯했으나, 입국 방면에는 오히려 엄격한 제한 조치가 시행되었다. 로도스 아일랜드 소속의 조사인원들은 해당 지역에서 체류 중이며, 현재 심도 있는 조사를 진행할 수 있을 만한 방법을 찾지 못한 상황이다.
	    조사 부서에서 제출한 평가에 따르면, 반드시 현지 조사를 진행해야 하는 이유와 그에 상응하는 준비를 제대로 갖추기 전에는 경솔히 해당 지역에 진입해 조사하지 말 것을 권고하고 있다.

———————————————————————————————

	晋升记录 :
	如果每一条指令都被忠实地执行，所得到的结果，是否就精密无缺？
	实际上，这个问题取决于你究竟有多了解他。要知道，如果没有足够的默契，战斗时总严格计算所有条件、只追求结果的伊比利亚人解决问题的方式，往往不如人所愿。

	昇進記録 :
	全ての指令がしっかり実行されても、思った通りの結果が出るとは限らない。
	それなりの結果を出すには、彼を深く理解することが必要である。なぜならイベリア人は戦闘において、すべてを計算しつくしてから行動するからである。呼吸が合っていないと、ちょっとしたことから緻密に立てた計画が崩れ、せっかくの計算が裏目に出てしまうのだ。

	Promotion Record :
	If every order is executed faithfully, will every result be flawlessly precise as well? 
	Actually, the answer to this question depends on how well you know him. What you must know is that without sufficient mutual trust, Iberians tend to strictly calculate the conditions of the battlefield and only pursue the results, not necessarily solving problems in a way that others want.

	승진 기록 :
	    만약 모든 임무가 성공적으로 달성된다면, 이를 통해 얻게 될 결과는 완전무결할까?
	    실제로 이 문제에 대한 해답은 당신이 그를 얼마나 잘 이해하고 있느냐에 달려있다. 호흡이 잘 맞지 않는다면, 전투 시 모든 조건을 엄격히 계산하고, 결과만을 쫓는 이베리아인의 문제 해결 방식이 종종 당신이 원한 것과는 다를 수 있음을 유념해야 할 것이다.
