ID:
	char_440_pinecn
	パインコーンは終日涙を流す母親を慰めながら、治療を放棄すること、及び退院することへの同意書にサインするしかない父親を、己の無力さを噛み締めながら眺めていた――が、ちょうどその時、プロジェクトの重要な建材提供会社の一つが、急に「人道に則り」かなりの額の救助金を出して、彼女の父親の医療費を賄った。さらに、これまで対応を渋っていた責任者たちが態度を一変して病院に出向き、パインコーン一家に謝罪し、賠償まで約束したのである。あまりの態度の落差に、パインコーンはわけもわからず、その後どのように聞き回っても、せいぜい責任者から「サイモン社」という名を聞き出せたくらいだった。だが、「サイモン」という名は、クルビア全土で見られるありふれた名前にすぎず、パインコーンが実際に助けてくれたのが誰なのかを知れたのは、だいぶ先のことだった。
	あの時、自社の恥とも言えるような労働争議を偶然知り、会議で義憤をもって問題処理に口を挟んだマウンテンが、自分の小さな行動が誰を助けたのかも知らないままだったように。

	Archive File 4 :
	A few years ago, a sudden, unexpected event shook Pinecone's family—Pinecone's father almost lost both his arms in a construction accident.
	It isn't uncommon to find Columbian laborers wind up in disputes with the big corporations. The insurance industry, having been built atop these games of words and conspiracies, naturally had a way with words to weasel out of paying their benefits. Of course, it should come as no surprise that the insurance companies were unwilling to pay for a medical bill this expensive. And while all parties involved were still trying to pass the buck, the hospitals naturally refused to treat a workman who was unlikely to be able to pay for his treatment. The reason this tragedy occurred in the first place is that Pinecone's father had signed a contract that was manipulated, allowing the construction company to legally get away from paying him any compensation.
	Who could say a father who only ever wanted the best for his daughter and did everything to help her leave that small town was to blame? The contract he had to sign just to be hired as a construction worker was dozens of pages thick; it shouldn't be hard to tell where the problem actually lies.
	All Pinecone could do was comfort her crying mother as her father signed his release forms, thus refusing any further treatment—Yet, out of nowhere, one of the material suppliers on the project sent them a substantial sum and footed the medical bill out of 'humanitarian concerns.' After that, the construction company's head honchos finally found the time to leave their offices and pay Pinecone's family a visit at the hospital, even promising to properly compensate her family. Naturally, Pinecone was bewildered by the company's sudden change in attitude after this secret benefactor came into the picture. She tried over and over to figure out who they were, but, after her constant probings, the construction company would only give her the name 'Simon Co.' 'Simon' is a very common name in Columbia, and it took a very long time for Pinecone to find out who it was that helped her family.
	Similarly, even though Mountain was certainly seething when the disgraceful labor dispute was brought up during a meeting, he didn't actually know whose family his subsequent tirade had saved.

	파일 자료 4 :
	    수년 전, 파인콘의 가정에 변고가 닥쳤다. 파인콘의 아버지가 공사 사고로 양 팔을 잃을 뻔한 것이다.
	    컬럼비아에서 노동자와 대기업 사이에 발생하는 노동 분쟁은 그리 드문 일이 아니다. 하지만 말장난과 음모론을 바탕으로 성장한 보험 회사는 불쌍한 수혜자를 상대하는 온갖 화술을 구비하고 있었고, 회사 측에서도 거액의 치료비를 부담하고 싶지 않아 했다. 서로가 책임을 전가하는 사이, 병원 역시 한 푼의 치료비도 받지 못하게 될까 우려한 나머지 파인콘의 부친의 치료를 거부하게 되었다. 이 모든 비극의 원인은 파인콘의 아버지가 서명한 계약서가 처음부터 불리하게 조작되었다는 데에 있었다. 그들은 뻔뻔하게도, 합법적으로 파인콘의 아버지가 가지는 배상 권익을 박탈했다.
	    딸아이가 작은 마을에서 벗어나는 아름다운 미래를 그렸던 아버지에게, 과연 그 누가 자업자득이라 말할 수 있겠는가? 그저 평범한 건설 노동자를 고용하면서도 수십 장에 달하는 두꺼운 계약 서류를 준비한 누군가의 음흉한 속내가 드러났을 뿐……
	    파인콘이 눈물을 흘리는 어머니를 위로하면서 치료를 포기하겠다는 퇴원 합의서에 서명하는 것을 지켜보던 순간, 프로젝트의 중요 자재를 공급하던 어느 회사에서 돌연 '인도주의'를 발휘하며 구호금을 내놓고는, 치료비 역시 대신 지불해 주었다. 그 후엔 유리문 뒤에 숨어있던 책임자들이 갑작스레 사무실에서 뛰쳐나와 자발적으로 병원에 찾아오더니 파인콘 가족에게 사과하며 보상을 약속하였다. 이 엄청난 반전에 어안이 벙벙해진 파인콘은 책임자들에게 끈질기게 달라붙어 물어본 결과, '사이몬 컴퍼니'라는 이름만을 들을 수 있었다고 한다. 이후 오랜 시간이 지나 '사이몬'이라는 이름이 컬럼비아 곳곳에 퍼져나가자, 파인콘은 그제서야 누가 자신의 가족들을 도왔던 건지 알게 되었다.
	    그때 우연찮게 불명예스러운 노동 분쟁을 알게 되어 회의 도중 분노에 찬 말을 했던 마운틴은, 당시 자신의 작은 행동이 누구를 구한 건지 알지 못했다.

———————————————————————————————

	晋升资料 :
	【权限记录】
	以松果的身份、年龄，她本不该被卷入曼斯菲尔德的事件。不知道卡夫卡小姐是病急乱投医还是另有考虑，毕竟松果是否真的能对计划起到关键作用，我想卡夫卡小姐自己都不敢确定。
	但，松果为什么答应了卡夫卡提出的要求呢？一个正常的、天真烂漫的女孩，突然被告知要前往监狱应聘工作，还要接应一位要犯逃狱，会答应吗？
	其实答案很简单。
	当时的卡夫卡小姐在调查档案的过程中，获悉了这件事，随后她找到了那个正在人才市场找工作，而且一脸茫然的松果。
	“我这儿有一份不错的工作......而且还关系到别的事情。”
	“当年有个人帮了你们......”
	“现在，轮到你帮他了。”

	昇進資料 :
	【権限記録】
	パインコーンの身分と年齢からすれば、本来マンスフィールド事件に巻き込まれることはなかったはずだ。カフカが彼女を引き入れたのが、他に手立てがないゆえの選択なのか、それとも何か考えがあってのことだったのかはわからない。パインコーンが果たして計画の中で要となるような働きができるかどうかは、カフカ自身もおそらく半信半疑だったのだろう。
	では、なぜパインコーンはカフカの申し出を受け入れたのか？あくまでも普通な、天真爛漫な女の子が、急に監獄へ就職して重要犯人の脱獄を手伝えと言われて、あっさり了承するものだろうか？
	答えは至極簡単なものだった。
	当時のカフカはプロファイルの調査を進めていた時に、件の事件を知った。そして、ちょうどその時右も左もわからないまま就職活動に勤しんでいたパインコーンを探し出した。
	「君にちょうどいい仕事があるんだけど……ちょっと別のことも関わっててね。」
	「昔君の家を助けた人がいたでしょ……」
	「今度は、君がその人を助ける番だよ。」

	Promotion File :
	[Classified Log]
	 Given Pinecone's age and upbringing, she shouldn't have been dragged into the whole Mansfield mess. I don't know if Kafka was throwing things at the wall to see what sticks or actually had something figured out. After all, my guess is that not even Kafka knew if Pinecone could actually have fulfilled her role in the plan.
	But why did Pinecone say yes to Kafka's proposal? Would an innocent girl like her normally say yes when asked to apply to work in a prison and help a felon escape?
	The answer is actually very simple.
	Kafka figured out what it was when she was looking through the files, and immediately located Pinecone, who was at the time aimlessly looking for a job.
	'I've got a pretty nice job lined up for you... Well, there's a little more to it than that.'
	'Remember how there was someone helped you out in that whole fiasco back then...?'
	'Now it's your turn to help him.'

	승진 자료 :
	[제한된 기록]
	    파인콘의 신분과 나이를 생각하면, 원래는 맨스필드 사건에 연루되어선 안 되었다. 카프카가 지푸라기라도 잡는 심정으로 그런 것인지 아니면 다른 생각이 있었는지는 모르겠으나, 파인콘이 정말로 계획에서 중요한 역할을 해낼 수 있을 것인지에 대해서는 카프카도 확신하지 못했을 거라 생각한다.
	    그런데 파인콘은 어째서 카프카의 요구를 받아들인 걸까? 천진난만한 평범한 여자아이에게 갑작스레 형무소에 취직해서 탈옥을 도우라는 요구를 한다면 대체 어느 누가 그걸 받아들이겠는가?
	    사실 답은 매우 간단하다. 당시 카프카는 파일을 조사하며 파인콘의 부친이 겪은 사건을 알게 됐고, 인력시장에서 멍한 얼굴로 일자리를 찾던 파인콘을 찾아냈다.
	    "괜찮은 일자리가 있어…… 부모님 일과도 관련이 있는."
	    "당시에는 그 사람이 너희를 도왔지만……"
	    "이젠, 네가 그 사람을 도와줄 차례야."
