ID:
	char_243_waaifu
	    적지 않은 오퍼레이터들은 젊은 나이의 와이후가 타인으로부터 존중받을 수 있는 이유는 그녀가 로도스 아일랜드의 우수한 오퍼레이터로서 갖춰야 할 덕목인 ‘관용의 덕목’을 갖췄기 때문이라고 생각한다. 물론 와이후가 원칙 없이 뭐든 다 받아들여 주는 사람이란 말은 아니다. 와이후는 ‘악인 또는 악행을 원수와 같이 증오한다’는 사실을 많은 사람들이 잘 알고 있다.
	    와이후는 옳지 않은 사건의 원인과 경과에 대해 자발적으로 조사를 진행하고, 어떤 행위에 대해, 예를 들자면 규율을 어기는 행위 따위에 대해선 즉각 나서서 제지한다. 일부 오퍼레이터들이 감정을 억제할 수 없는 상황과 같은 심리적 문제들에 대해서는 이를 배척하기보단 이들로부터 파생될 수 있는 문제들에 대한 대비책을 세우기 위해 최선을 다한다.
	    "옳고 그름을 그렇게 쉽게 구분할 수 있다면, 이 대지에 더 이상의 비극은 일어나지 않겠죠."
	    물론 박사님의 사무실에서 물건을 슬쩍하는 행위는 분명 잘못된 것이니, 부디 다시 와이후가 손을 써야 할 일이 일어나지 않기를 바랍니다! 게다가 복도에서 도주하는 행위는 위험하다고요! 의료부에 무의미한 추가 업무를 주지 않도록 해주세요!
	
	    의심할 여지없이, 와이후는 로도스 아일랜드가 필요로 하는 유형의 오퍼레이터다. 비록 와이후에게 있어 로도스 아일랜드의 일은 ‘겸업’에 불과하나, 그녀가 임무 수행 및 교류 중에 보여주는 성과에 대해서는 우수하다는 평가를 할 수밖에 없다.
	    와이후가 자신에 관해 이야기할 때면, ‘무예’라 불리는 전투 기술과 자신을 로도스 아일랜드에 추천한 엉망진창에 수상한 탐정사무소, 그리고 이른바 ‘평범한 일상생활’을 제외하고, 와이후는 매우 공식적인 장소에서만 자신의 취업 목표를 드러냈다.
	    "저는 다른 사람을 도울 수 있는 능력을 지닌 사람이 되고 싶어요."
	    범위가 좀…… 지나치게 넓은 것 같긴 한데……

———————————————————————————————

	档案资料四 :
	人都到齐了吧？
	首先要表彰一下各位，人事部这个月的工作，我们完成得不错！一会儿去聚餐吧？和以前一样，钱我出！
	然后呢，我有些事情要和各位讨论，嗯，和龙门和罗德岛间的交流协议有关的。
	虽然罗德岛有很多预防和处理的方式，但干员审核的第一道关卡，永远是人事部。大家的工作是重中之重！
	即使最熟习罗德岛规章的各位，偶尔也会对一些说辞产生疑惑吧？我知道有这么一条，啊，原本的很长，大致意思是——
	“......如果一位干员表现得不符合罗德岛的需求，那么无论他的动机和行为是多么的高尚，我们也不能录用；相反，哪怕是出身和简历都存在一定可议性的干员，只要符合需求并严守制度，就依然是可用之材......”
	大概是这样！原文很机械也很长，还有逐词解析，我就不复述啦。
	是不是有人要问“为什么”呢？我来说个很简单的例子吧。
	
	有一位所有人都称赞的了不起的人，怀抱着了不起的理想，为了实现理想毁掉了许多城市、牺牲了许多同僚，最后成功了。
	那么，无论这样的人有着多伟大的理想，罗德岛都不会录用的。罗德岛对于这样的人来说，也只是一级台阶而已。
	而另外一个出身也有些问题，做事在世俗看来也简直不可理喻的人，现在向罗德岛递交了简历——
	坐下坐下！我知道有些人是想说“现在罗德岛有很多这样的人”吧！是有一些！
	各位请想想，在各个城市中，有多少事情的发生，是我们自己能够决定的呢？
	当一个干员主观上策划了伤害罗德岛理念的行动，就会立刻遭到驱逐；当一个干员故意违反罗德岛的规章制度，可能会在造成实质危害之前就被剪除。
	即使！即使规章如此，事实上，罗德岛从没出现过这样的人、这样的事。啊，私接电线不算，这个你去怪可露希尔好了！
	能决定一位干员是否有资质的，并不是他的行为记录，而是他本人的意愿。
	罗德岛既有考察干员的能力，又有维持规章制度的能力。在罗德岛，有些干员终于能去做他们真正愿意做的事情了。
	只要罗德岛和他们还有着联系，那么，罗德岛就会尊重他们合理的选择，绝不会逼他们做出违心的事。
	有些时候，只是因为无从选择，才会有那样的过去。
	希望大家明白这一点，这和理解感染者的境遇，以及罗德岛的信条是一样的。
	
	对于所有候选人才，对他们来说，最重要的是在罗德岛中找到自己的位置，以及认可罗德岛。
	我们一定要在交流协议中坚持这点，明白了吧？
	啊，当然，刚刚录取的那位槐琥小姐是完全没问题的。
	“——在一个人不断反思验证自己理想的时候，我们愿意做他的锻炉。这片大地上的坎坷，不分你的或是我的......我们会和干员一起迈过。”
	希望大家喜欢特蕾西娅小姐的这句话。
	
	——■■■的午间会议记录

	第四資料 :
	皆さん揃っていますか？
	まず、皆さんには感謝を申し上げます。人事部今月の仕事、よくできました！この後はみんなで食事行きましょう？もちろん今日も私の奢りで！
	それと、色々と皆さんとお話したいことがあります。ええ、龍門―ロドス間のビジネス交流協定についてです。
	ロドスには不測事態への予防と処理の対策は色々ありますが、オペレーター審査プロセスにつきましては、人事の皆さんは一番目の関門です。とても重要な役割です！
	誰よりもロドスの制度に詳しい皆さんでも、たまにはその解釈に戸惑いを感じるではないでしょうか。例えば…あ、これ原文だと結構長いので、まとめて言うと――
	「……ロドスの需要を満たしていない場合、その人の動機と行為がどんなに高尚であっても、我々は採用できない。逆に、出身と経歴に議論の余地があるとしても、需要を満たし、ルールもきちんと守れる人なら、有用な人材と見なす……」
	まぁ大体こんな感じです！元の文章は機械的で長いですし、一語一句に解説すら付いていますから、ここは省かせてもらいますね。
	「何故そのような制度が」と聞きたい方がいらっしゃると思いますが、簡単な例を挙げましょう。
	
	誰もが賞賛し、偉大な理想を抱く人がいるとします。その理想を実現するために多くの都市を破壊し、多くの同僚を犠牲にして、最終的に成功しました。
	この場合、どれほど素晴らしい理想であれ、ロドスはその人を採用しません。そんな人にとって、ロドスはただの踏み台でしかないですから。
	ところがもう一人、出身に問題があり、並外れた行動をする人がいます。ロドスに履歴書を提出しに来ました――
	いいから座って！「ロドスはそんな奴ばかりでしょ」って言いたいのはわかります！確かにそうですが！
	考えてみてください。あちこちの街で起きていること、その何割が我々の意思で決められるものでしょう？
	ロドスの理念に傷つく行動を自発的に画策した人がいれば、その人は直ちに駆逐されます。意図的にロドスの規則を破った人がいれば、実害が出る前に消されるのかもしれません。
	規則上そうなっていますが、実際、ロドスにそのような人は現れていませんし、そのようなこともありませんでした。あ、電気の配線を勝手に増やしたのは違いますよ。あれはクロージャさんが悪いですから。
	人にオペレーターの資質があるかどうかを決定するのはその人の行動記録ではなく、本人の意志です。
	ロドスではオペレーターの審査と規則の維持、その両方が可能です。一部のオペレーターにとって、ロドスに来てから、ようやく本当にやりたいことができるようになりました。
	ロドスと繋がりがある限り、彼らの合理的な選択は尊重されます。本人たちの意に反することは、決して無理強いはしません。
	時に、選択の余地がないからこそ、あんな過去が生まれるんです。
	皆さんに理解してもらいたい。これは感染者の境遇やロドスの信条を理解することと同じです。
	
	すべての候補者にとって最も重要なのは、ロドスで自分たちの居場所を見つけること、そしてロドスを認めることです。
	交流協定では必ずこの点を主張しなければなりません。もうお分かりですね？
	ああ、もちろん、先ほど採用したワイフーさんは全く問題ありません。
	「――自身の理想を追い求め、証明し続ける者がいれば、我々はその者の鍛冶炉になろう。この大地で生まれた苦難は、誰ひとりのものではない……彼らと共に、全てを乗り越えるのだ。」
	テレジアさんのこの言葉、気に入っていただけたら幸いです。
	
	――■■■の昼会議議事録より

	Archive File 4 :
	Is everyone here? 
	First off, let me congratulate all of us here in Human Resources on a job well done. This past month has been stellar, and I think we've all earned a nice meal. On me, as always! 
	Now then, I have something to discuss, pertaining to the exchange agreement between Lungmen and Rhodes Island. The first round of applicant review falls on us. We do very important work here! 
	Even those of you most familiar with Rhodes Island's regulations will sometimes get confused by some wording or something, right? I know there's one line, hm, it's pretty long in the original, but paraphrased—— 
	'Should an operator fail to meet the needs of Rhodes Island, regardless of motivation or action, they are ineligible for onboarding. Conversely, should an operator appear with an origin or background subject to some scrutiny, as long as they meet our needs and strictly abide by our rules, they remain eligible...' 
	Something like that! The original text is very dry and very long, so I won't go over it all right now. 
	Does anyone feel the need to ask 'why?' Let me provide a simple example. 
	
	Say there is some remarkable individual who comes highly recommended, with a remarkable set of personal ideals. In order to see their ideals realized, they sacrificed many people, destroyed entire cities, and ultimately succeeded. 
	No matter how great this individual or their ideals, Rhodes Island cannot accept them. We would be nothing but a platform for such a person. 
	Then we have another individual, who has their share of problems. The things they do and the ways they do them may seem a bit unreasonable to us. This person submits a resume to Rhodes Island.—— 
	Sit down! I know you're all eager to say 'we already have a lot of operators like that!' And there are indeed some! 
	Think for a minute how many things happen each and every day in the many cities of the world. Can we settle them all ourselves? 
	When an operator subjectively plans an action that would harm Rhodes Island's ideas, that operator is immediately expelled. When an operator intentionally violates Rhodes Island's rules and regulations, that operator may be eliminated before they can cause material harm. 
	Even if! Even if the regulations are as they are, Rhodes Island has never once done such a thing, we have never seen such an action. Oh, not counting private wire connections. You can blame Closure for those! 
	The adjudication of whether or not an operator is eligible is dependent on his will, not his rap sheet. 
	Rhodes Island has the ability to observe and study its operators while also maintaining its rules and regulations. At Rhodes Island, some operators are at last able to achieve what they'd always hoped to do. 
	As long as we maintain contact with them, we will respect their choices, within reason, and never force them to act against their own will. 
	Sometimes, when there remains no other choice, such a thing may come to pass. 
	I hope everyone understands this, just as they understand the Infected, and Rhodes Island's mission statement. 
	
	For all candidates, the most important thing is to find them their place at Rhodes Island, and to acknowledge Rhodes Island. 
	We must adhere to this in processing the applicants under this exchange agreement. Understood? 
	Ah, of course, the Waai Fu girl we just approved is perfectly fine. 
	'——When one is committed to constant reflection and tempering of his ideals, we are willing to serve as his forge. The bumps in this road, whether mine or yours... We will cross them together with our operators.' 
	I hope you all appreciate this quote from Theresa. 
	
	 ——Record of ■■■'s lunch meeting.

	파일 자료 4 :
	    다들 모였나요? 우선 여러분의 업무 성과에 대해 표창부터 해야겠네요. 모두들 이번 달 임무를 정말 훌륭히 잘 해내셨습니다! 이따 회식하러 갈까요? 예전처럼 제가 쏘겠습니다!
	    그리고 여러분과 논의해야 할 일이 있습니다. 음, 용문과 로도스 아일랜드의 교류 협의에 관한 내용이에요. 로도스 아일랜드에 다양한 예방 및 처리 방식이 있다지만, 오퍼레이터 심사의 첫 번째 관문은 언제까지나 인사부입니다. 여러분의 역할이 정말 중요하단 말이죠! 비록 로도스 아일랜드의 규정을 잘 알고 있는 여러분이지만, 때로는 몇몇 규정에 대해 의문을 가질 수도 있겠죠? 제가 그런 규칙을 하나 알고 있는데, 원문은 굉장히 기니까, 대략적인 의미는…… 
	    "…만약 어느 오퍼레이터의 행동이 로도스 아일랜드의 조건에 부합하지 않는다면, 그의 동기와 행위가 아무리 고귀할지라도 로도스 아일랜드는 채용할 수 없다. 반대로, 출신과 이력에 분명 문제가 있는 오퍼레이터일지라도 로도스 아일랜드의 요구에 맞게 행동하며, 규칙을 엄수한다면 채용할 수 있다…"
	    대충 이런 내용이에요! 원문은 굉장히 딱딱하고, 관련 추가 해설도 딸려있으니 다시 말하진 않을게요.
	    분명 왜 그런지 궁금해하시는 분이 있겠죠? 제가 간단한 예를 하나 들어볼게요. 누구에게나 칭찬받는 대단한 사람이 있다고 해보죠. 그는 대단한 이상을 품고 있고, 그 이상을 실현하기 위해 많은 도시를 파괴하고, 많은 동료를 희생시켰으나, 결국에는 목적을 달성했다고 칠게요. 그럼 아무리 위대한 이상을 품고 있는 사람일지라도, 로도스 아일랜드는 이런 사람은 채용하지 않을 거예요. 이런 사람에게 있어서는 로도스 아일랜드도 그저 디딤돌일 뿐이니까요.
	    그리고 출신에도 문제가 있고, 일반적인 평균에도 못 미치는 사람이 지금 로도스 아일랜드에 이력서를 냈다고 가정하죠. 다들 앉으세요! "지금 로도스 아일랜드에도 그런 사람이 많이 있다"고 말하고 싶어 하는 사람이 있다는 거, 저도 압니다! 몇몇 사람이 있긴 하죠! 하지만 여러분, 생각해보세요. 각 도시에서 발생하는 사건들 중 우리 재량껏 결정할 수 있는 일들이 얼마나 있나요? 만약 어떤 오퍼레이터가 자기 재량으로 로도스 아일랜드의 이념을 해치는 행동을 한다면, 그 사람은 즉시 추방당할 거예요. 또 그 사람이 고의로 로도스 아일랜드의 규칙을 위반한다면, 실질적인 피해가 발생하기 전에 먼저 해고할 수도 있겠죠.
	    비록! 규정이 그렇다곤 하지만, 실제로 로도스 아일랜드에 그런 사람이 있었거나 그런 일이 발생한 적은 없어요. 아, 사설 연락망을 구축하는 사안은 포함하지 않았어요, 그건 클로저에게 따지면 돼요!
	    오퍼레이터가 될 자질을 갖추었는지를 결정하는 요소는, 그의 행적이 아니라 그 사람 본인의 의사예요. 로도스 아일랜드는 오퍼레이터를 조사할 수 있는 능력과 규칙을 유지할 수 있는 능력을 갖고 있어요. 몇몇 오퍼레이터는 로도스 아일랜드에서 마침내 자신이 진정 원하는 일을 할 수 있게 되었고요. 로도스 아일랜드와 그들이 추구하는 바가 서로 연결되어 있다면, 로도스 아일랜드는 그들의 합리적인 선택을 존중할 거예요. 절대 그들이 싫어하는 일을 강요하지 않을 거에요.
	    그 사람들이 때로는 다른 선택의 여지가 없어서, 과거에 그릇된 결정을 내렸을 수도 있어요. 하지만 이는 감염자의 처지와 로도스 아일랜드의 신조를 이해하는 것과 같은 것임을 여러분이 알아줬으면 해요.
	
	    모든 후보자에게 있어서 가장 중요한 것은, 로도스 아일랜드에서 자신의 위치를 찾고 로도스 아일랜드를 받아들이는 겁니다. 오퍼레이터와 협의를 할 땐, 우린 이러한 입장을 반드시 고수해야 합니다, 아시겠죠? 아, 물론 아까 채용된 와이후는 전혀 문제없었지만요.
	    "……누군가 끊임없이 자신의 이상을 담금질할 때, 우리는 그의 이상을 단련시킬 수 있는 화로가 되고 싶다. 이 세상의 굴곡이 당신의 것이든 나의 것이든 상관없이… 우리는 당신들, 오퍼레이터와 함께 그 굴곡을 넘어설 것이다."
	    테레시아가 했던 이 말이 마음에 드셨으면 좋겠어요.
	
	——■■■ 정오 회의 기록

———————————————————————————————

	晋升记录 :
	“阿爸，你去哪？”
	“去找一样东西。”
	“阿爸......别走！我不想看不到阿爸你！”
	“想找我？你就追上我！”
	“可我，我要怎么......”
	“如果你不能，你就不是我的女儿。你必须能！”
	
	太自私了，父亲。
	但我确实能。
	而且，我还会做得比你更好，练得比你更强。

	昇進記録 :
	「父さん、どこに行くの？」
	「あるものを探しに。」
	「父さん……行かないで！私を置いてかないで！」
	「なら、父さんに追いつくんだな。」
	「でも、どうやって……」
	「それができないなら、お前を娘だと認めない。やってみせろ！」
	
	自分勝手にも程があるよ、父さん。
	でもやってみせる。
	あなたよりもっとできるようになる。もっと強くなってみせる。

	Promotion Record :
	'Dad, where are you going?' 
	'I have to find something.' 
	'Dad... don't go! I don't want to lose you, Dad!' 
	'Want to see me? Then catch me!' 
	'But I... How can I...?' 
	'If you can't, then you're not my daughter. You must be strong!' 
	
	Too selfish, father. 
	But I can. 
	In fact, I'll do it better than you ever could. I train harder than you. I'll be stronger than you.

	승진 기록 :
	    "아버지, 어디 가세요?"
	    "물건을 찾으러 간단다."
	    "아버지…… 가지 마세요! 아버질 못 보게 되는 건 싫어요!"
	    "날 찾고 싶다고? 그럼 날 쫓아오려무나!"
	    "하지만 제가 어떻게…"
	    "할 수 없다면 너는 내 딸이 아니다. 반드시 해야만 해!"
	
	    너무 이기적이잖아요, 아버지. 하지만 저는 분명 해낼 수 있어요. 오히려 아버지보다 더 잘할 수 있게, 아버지보다 강해지도록 더욱 단련할 거예요.
