[name="特米米"]  这里的楼房跟其他部族明显不一样了......
[name="ガヴィル"]  さあ、かかってきやがれ！
[name="Gavial"]  Come at me!
[name="가비알"]  자, 덤벼라!

[name="大祭司"]  先试试正常功率！
[name="大祭司"]  まずは通常出力からじゃ！
[name="High Priest"]  Let’s test its performance first!
[name="대제사장"]  우선 정상 출력으로 가볼까!

[name="大祭司"]  我射！
[name="大祭司"]  発射！
[name="High Priest"]  Fire!
[name="대제사장"]  발사!

[name="嘉维尔"]  嘿，别以为能炸到我第二次！
[name="ガヴィル"]  へっ、二度も吹き飛ばされると思ったかよ！
[name="Gavial"]  Heh, don’t think you’ll hit me a second time!
[name="가비알"]  흥, 두 번째도 맞아줄 거라 기대하지 마라!

[name="大祭司"]  噢，不愧是嘉维尔，出色的反应神经！但是没关系，尝尝我的巨大铁拳！
[name="大祭司"]  ほう、さすがガヴィル、見事な反射神経じゃ！　じゃがこれは想定内……次はビッグ・アイアンナックルじゃ！
[name="High Priest"]  Ah, those are the reflexes I’d expect from Gavial! No problem. Have a taste of my great iron fist!
[name="대제사장"]  호오… 역시 가비알이구먼. 반사신경이 남달라! 그래도 상관없다. 이 거대한 쇠주먹 맛을 봐라!

[name="嘉维尔"]  拼力气？我喜欢！
[name="ガヴィル"]  力比べか？　望むところだ！
[name="Gavial"]  A test of strength, huh? Sounds good to me!
[name="가비알"]  힘 대결? 바라던 바다!

[name="刻俄柏"]  嘉维尔，好厉害！
[name="ケオベ"]  ガヴィル、すごーい！
[name="Ceobe"]  Wow, Gavial’s strong!
[name="케오베"]  대단해, 가비알!

[name="可颂"]  嘉维尔太厉害了！居然一个人扛住了这个大家伙的铁拳！
[name="クロワッサン"]  ヤバイやろガヴィルはん！　一人であのデカブツの鉄拳を受け止めたで！
[name="Croissant"]  Crazy strong! She stopped its fist all by lonesome!
[name="크루아상"]  가비알 끝내주네! 혼자서 저 큰놈의 쇠주먹을 막아내삐네!

[name="宴"]  虽然我体检时就有过这样的疑问了，她为什么会是医疗干员啊？
[name="ウタゲ"]  メディカルチェックのときも不思議に思ったんだけどさ、ガヴィルはなんで医療オペレーターなんてやってるの？
[name="Utage"]  I know I asked way back when I got my first physical, but why is she a medic again?
[name="우타게"]  신체검사할 때부터 궁금하긴 했는데, 가비알은 대체 왜 메딕 오퍼레이터인 거야?

[name="大祭司"]  ......虽然是敌人，但我都要忍不住为你喝彩了！
[name="大祭司"]  ……敵ながらあっぱれじゃ！
[name="High Priest"]  ...You may be my opponent, but I can’t help but cheer for you!
[name="대제사장"]  ……적이긴 해도 정말 박수를 치지 않을 수가 없구나!

[name="大祭司"]  但是但是，这还没有完呢！为了应付这种情况，大丑可是有功率全开的模式的！
[name="大祭司"]  じゃがまだじゃ、まだ終わらんぞい！　こういう場合に備えて、このビッグ・アグリーには出力MAXモードがあるんじゃ！
[name="High Priest"]  It’s not over yet though! The Big Ugly has a max performance mode for just such an occasion!
[name="대제사장"]  그래도 아직 끝이 아니다! 이런 상황에 대처하기 위해 이 거대 못난이에게는 아직 최대 출력 모드가 남아있다!

[name="大祭司"]  我按！
[name="大祭司"]  ポチっとな！
[name="High Priest"]  Go!
[name="대제사장"]  간다! 최대 출력 모드!

[name="嘉维尔"]  什么？！
[name="ガヴィル"]  なんだと！？
[name="Gavial"]  What?!
[name="가비알"]  뭐라고?!!

[name="宴"]  那个大家伙的力气好像变得更大了！
[name="ウタゲ"]  あのデカブツ、パワーアップしてる！
[name="Utage"]  That big guy looks stronger!
[name="우타게"]  저 큰 녀석의 힘이 더 세진 것 같아!

[name="煌"]  嘉维尔的力量被比下去了？！
[name="ブレイズ"]  ガヴィルが力比べで押されてるの！？
[name="Blaze"]  And it’s suppressing Gavial’s strength?!
[name="블레이즈"]  가비알의 힘이 밀린다고?!

[name="大祭司"]  啊，多么动听的声音！......嗯？等等，表盘好像有点不对......嗯嗯嗯？
[name="大祭司"]  ああ、なんと素晴らしい音じゃ！　……おや？　どうしたんじゃ、計器が異常な数値を……んんん？
[name="High Priest"]  Oh, what a melodious sound...! Hm? Wait, these readings are strange... Whaaa?
[name="대제사장"]  아아… 이 얼마나 듣기 좋은 소리! ……응? 잠깐, 계기판이 좀 이상한 것 같은데… 에에엣?

[name="森蚺"]  大祭司，情况怎么样了？！
[name="ユーネクテス"]  じいや、どうした！？
[name="Eunectes"]  High Priest, what’s going on?!
[name="유넥티스"]  대제사장, 어떻게 된 거야?!

[name="大祭司"]  哇哦，我感觉我的屁股要被烤焦了！
[name="大祭司"]  ぬわぁ、尻が焦げそうじゃ！
[name="High Priest"]  Waah, my butt’s being cooked!
[name="대제사장"]  으아아! 엉덩이가 타들어 갈 것 같아!

[name="森蚺"]  我是问你大丑的情况！
[name="ユーネクテス"]  ビッグ・アグリーの状況を聞いているんだ！
[name="Eunectes"]  I’m talking about the Big Ugly!
[name="유넥티스"]  거대하고 못생긴 것 말이야!

[name="大祭司"]  哦，我只是顺便说一下我的状况！我觉得是引擎功率太大，大丑开始暴走了！
[name="大祭司"]  ついでにわしの状況も言っただけじゃ！　恐らくエンジンの出力を上げすぎて、ビッグ・アグリーが暴走を始めたんじゃ！
[name="High Priest"]  Oh, I was just sharing my status as well. I think the engine output is too high. I’m losing control of the Big Ugly!
[name="대제사장"]  아, 말하는 김에 내 상태도 말한 것뿐이다! 엔진 출력이 너무 세서 폭주하기 시작한 것 같네!

[name="大祭司"]  感觉还挺刺激的！
[name="大祭司"]  おお、なんかワクワクしてきたわい！
[name="High Priest"]  It’s actually quite exhilarating!
[name="대제사장"]  오오오… 짜, 짜릿하구먼!

[name="森蚺"]  你先出来！
[name="ユーネクテス"]  じいや、早く脱出しろ！
[name="Eunectes"]  Get out of there!
[name="유넥티스"]  우선 나와!

[name="大祭司"]  不是要战斗吗？就这么战斗吧！来吧，嘉维尔，让我就这么解决——
[name="大祭司"]  なにを言っておる？　戦うんじゃろ？　ならばこのままやればいいだけのことじゃ！　さあ、ガヴィル、これで決まり――
[name="High Priest"]  Aren’t we fighting? Let’s just fight like this! Come, Gavial, I’ll finish this once and for all——
[name="대제사장"]  싸우는 거 아닌가? 이대로 싸워라! 덤벼라, 가비알! 이렇게 널 해치우…

[name="森蚺"]  大祭司！
[name="ユーネクテス"]  じいや！
[name="Eunectes"]  High Priest!
[name="유넥티스"]  대제사장!

[name="大祭司"]  哦，好吧，真遗憾，看来我需要改变策略。
[name="大祭司"]  ――うぬぬ、わかったわい。残念じゃが、どうやら方針変更せざるを得んようじゃ。
[name="High Priest"]  Oh, fine. What a shame. Looks like I’ll have to change tactics.
[name="대제사장"]  아, 그래. 정말 아쉽군. 전략을 바꿔야겠어.

[name="大祭司"]  祖玛玛，不用担心我，我来尽可能稳住它，在这个期间让大丑停下来吧！
[name="大祭司"]  ズゥママ、わしのことは心配するな。こっちもできる限り暴走を抑えるから、その隙にビッグ・アグリーを止めるのじゃ！
[name="High Priest"]  Zumama, don’t worry about me, I’ll do my best to stabilize it. You find a way to stop the Big Ugly in the meantime!
[name="대제사장"]  주마마, 내 걱정은 하지 마라. 내가 최대한 진정시킬 테니, 그동안 이 거대하고 못생긴 걸 멈춰 봐라!

[name="森蚺"]  ......嘉维尔，你们先走吧，这与你们无关。
[name="ユーネクテス"]  ……ガヴィル、仲間と共に離れていろ。お前たちには関係ないことだからな。
[name="Eunectes"]  ...Gavial, you and your people get out of here. This isn’t your business.
[name="유넥티스"]  가비알…… 너희와는 상관없는 일이니 너희 먼저 가.

[name="嘉维尔"]  说什么呢，你不是要打败我吗？
[name="ガヴィル"]  何言ってんだよ、アタシを倒すんじゃなかったのかよ？
[name="Gavial"]  What are you talking about? Don’t you want to beat me?
[name="가비알"]  무슨 말이야? 날 쓰러뜨리려는 거 아니었어?

[name="森蚺"]  我会打败你，但不是用这种方式。
[name="ユーネクテス"]  もちろん倒すが、こんなやり方は望んでいない。
[name="Eunectes"]  I do. But not like this.
[name="유넥티스"]  그럴 거야. 하지만 이런 방법으로는 아니야.

[name="嘉维尔"]  哎呀，别这么见外，我当然要帮忙了，对吧，博士？
[name="ガヴィル"]  はぁ、水臭ぇこと言いやがって。そいつを止めるってんなら、もちろんアタシも付き合うぜ。いいよな、ドクター？
[name="Gavial"]  Come on. Of course I’m going to help. Right, Doctor?
[name="가비알"]  하아, 그렇게 말하지 마. 나도 도와야지. 안 그래, 박사?

[name="刻俄柏"]  打大怪兽！我来帮忙！
[name="ケオベ"]  おいらも手伝う！　大怪獣狩りだ！
[name="Ceobe"]  Fight the monster! I’ll help!
[name="케오베"]  큰 괴물을 쓰러뜨리자! 나도 도울래!

[Decision(options="宴，可颂，做好准备战斗！;......;结果还不是要我们帮忙。",values="1;2;3")]
[Decision(options="ウタゲ、クロワッサン、戦闘準備だ！;……;あれ、手を出すなって言ってなかったっけ？",values="1;2;3")]
[Decision(options="Utage, Croissant, prepare for battle!;......;Turns out we do have to help.",values="1;2;3")]
[Decision(options="우타게, 크루아상, 전투 준비!;……;결국 우리가 도와줘야 하네.",values="1;2;3")]

[name="宴"]  诶，要我对付这个大家伙吗？不是吧，好麻烦耶。
[name="ウタゲ"]  えっ、あのデカブツの相手をするの？　嘘でしょ、しんどいなー。
[name="Utage"]  Eh, you want me to fight that big guy? Really? What a pain.
[name="우타게"]  에엣, 나보고 이 큰 녀석과 싸우라고? 설마…… 너무 귀찮은데.

[name="可颂"]  博士，结束后我要收加班费哦！三倍哦！
[name="クロワッサン"]  旦那さん、片付いたら休日出勤の給料払うてもらうで！　普段の三倍や！
[name="Croissant"]  I’m gettin’ overtime for this one, Baws! Triple rate!
[name="크루아상"]  박사, 끝나고 나면 내 추가 근무 수당 받을끼데이! 세 배로!

[name="煌"]  博士，别一副看热闹的样子了！准备指挥！
[name="ブレイズ"]  ドクター、他人事みたいな顔してないで早く指揮して！
[name="Blaze"]  Doctor, don’t just sit there and enjoy the show! It’s time to take command.
[name="블레이즈"]  박사, 보고 있지만 말고 지휘 준비해!

[name="嘉维尔"]  博士我有时候觉得你的性格还挺讨人厌的！
[name="ガヴィル"]  ドクターってたまにムカつくこと言うよな！
[name="Gavial"]  You are kind of a pain sometimes, Doctor.
[name="가비알"]  박사의 저런 성격이 가끔 얄밉다니까!

[name="嘉维尔"]  快点准备指挥了！
[name="ガヴィル"]  さっさと指揮の準備しろよ！
[name="Gavial"]  Go and prepare to take command!
[name="가비알"]  어서, 지휘를 준비해줘!

