龙门上城区  7：20 p.m.
[name="Kal'tsit"]  But the world is a tough place. It doesn't let up on any of us. Especially a pharmaceutical company like ours that tends to make a lot of enemies be it in business, geopolitics, or otherwise.
[name="켈시"]  이 세상에선 누구도 자유로울 수 없습니다. 시장, 인사, 정치적 성향과 국가 이익 등에 치이는 저희도 어찌 할 도리가 없죠. 저희도 언제든 수많은 적을 떠안을 수 있는 제약회사에 불과합니다.

[name="凯尔希"]  在各个国家的夹缝间游走，对于我们而言，也是无奈之举。
[name="ケルシー"]  各国の狭間を往来する生活も、仕方がないものです。
[name="Kal'tsit"]  We wander the cracks between countries because we have no other choice.
[name="켈시"]  여러 나라 사이를 오가는 것도 저희로서는 어쩔 수 없는 선택이고요.

[name="凯尔希"]  当我们面对各个势力施加给我们的巨大压力时，我们需要自己独特的制衡手段......
[name="ケルシー"]  もちろん各勢力からのプレッシャーに対しては、我々なりに安全と均衡を保つ手段を講じています。
[name="Kal'tsit"]  When all the forces of the world align to put pressure on us, we need our own special methods to handle them...
[name="켈시"]  온갖 세력으로부터 압박을 받을 수 있으므로, 저희만의 견제 수단이 필요합니다만……

[name="凯尔希"]  不过，这些手段起效的前提是——这些出谋划策者的大脑中，切实还残留着哪怕一丝理智。
[name="ケルシー"]  しかし、そういった手段が効力を発揮する大前提として、各勢力の首脳に少しでも理性が残っていなければなりません。
[name="Kal'tsit"]  But if our methods are to work— We need the forces acting against us to have a shred of sense left in their thick skulls.
[name="켈시"]  하지만 이 수단이 효과적으로 발휘되기 위해서는…… 압력을 가하는 주모자에게 조금의 이성이라도 남아 있어야 한다는 전제 조건이 깔려 있습니다.

[name="凯尔希"]  所以，在特殊状况随时都会发生的今日，我们罗德岛也必须准备好相应的对策。
[name="ケルシー"]  その大前提が危うくなり、特異な状況がいつでも起こりうる現在、ロドスもあらためて相応の対策を準備する必要があります。
[name="Kal'tsit"]  So when there comes a day like today, where anything could happen, Rhodes Island has to be ready with the right response.
[name="켈시"]  그래서, 특수한 상황이 언제고 발생해도 이상하지 않은 요즘 같은 때엔, 저희 로도스 아일랜드에서도 그에 상응하는 대책을 준비해야 하죠.

[name="魏彦吾"]  说重点。
[name="ウェイ"]  要点を言ってくれないか。
[name="Wei Yenwu"]  Get to the point.
[name="웨이 옌우"]  요점으로 넘어가줄 수 있겠나.

[name="凯尔希"]  我有一个建议。
[name="ケルシー"]  提案があります。
[name="Kal'tsit"]  I have a proposal.
[name="켈시"]  한 가지 제안이 있습니다.

[name="魏彦吾"]  希望你的建议确实有用。
[name="ウェイ"]  実際に有益な提案だといいが。
[name="Wei Yenwu"]  I hope it's a good one.
[name="웨이 옌우"]  쓸만한 제안이길 바라지.

[name="凯尔希"]  魏先生，我不知道该不该向您透露这些信息。
[name="ケルシー"]  こちらからの提案の前に一つ事実をお伝えしておきます。これをミスター・ウェイに話すべきかは悩ましいところですが……
[name="Kal'tsit"]  I'm not sure if I should be disclosing this information to you, Mr. Wei.
[name="켈시"]  웨이 장관님, 이 정보를 털어놔도 될지 모르겠습니다.

[name="凯尔希"]  请您相信，凭龙门的实力与魏先生的本领，想消灭罗德岛只需要一个眼神。
[name="ケルシー"]  龍門の実力とミスター・ウェイの手腕があれば、ロドスを握りつぶすことなど、目配せ一つで充分です。
[name="Kal'tsit"]  You must know, with Lungmen's strength and your talents, you could annihilate Rhodes Island with a snap of your fingers.
[name="켈시"]  부디 믿어 주시기 바랍니다. 용문의 힘과 웨이 장관님의 능력이라면 로도스 아일랜드 정도는 눈 깜짝할 새에 소멸시킬 수 있을 겁니다.

[name="凯尔希"]  我们的设备再先进，也没办法和魏先生手下的队伍相提并论。
[name="ケルシー"]  我々の技術がどんなに進歩していても、ミスター・ウェイの率いる部隊とは勝負になりません。
[name="Kal'tsit"]  No matter how advanced our equipment may be, there is nothing we could do against your forces.
[name="켈시"]  저희의 장비가 아무리 뛰어나다 한들, 웨이 장관님의 부대와는 비교도 할 수 없겠죠.

[name="凯尔希"]  如果忤逆您的意思，罗德岛一定血流成河。
[name="ケルシー"]  あなたに楯突けば、ロドスはきっと血の海に沈むでしょう。
[name="Kal'tsit"]  If we act against you, Rhodes Island is as good as dead.
[name="켈시"]  당신의 심기를 거슬렀다간, 로도스 아일랜드는 분명 피바다가 될 겁니다.

[name="凯尔希"]  ......
[name="ケルシー"]  …………
[name="Kal'tsit"]  ...
[name="켈시"]  ……

[name="魏彦吾"]  请说。你与阿米娅小姐大可放心，我没有余力再去针对罗德岛。
[name="ウェイ"]  ケルシー君、アーミヤ君も心配は無用だ。この状況でロドスと敵対する余力は私にはない。
[name="Wei Yenwu"]  Go on. Dr. Kal'tsit, Miss Amiya, rest assured I have no energy to direct at Rhodes Island anymore.
[name="웨이 옌우"]  말해보게. 켈시 선생도 아미야 씨도 안심하도록. 나에겐 지금 로도스 아일랜드까지 상대할 여력은 없으니까.

[name="魏彦吾"]  所以，没什么好忌讳的。
[name="ウェイ"]  だから追従や忖度は無用だ。思うことは何でも言ってくれ。
[name="Wei Yenwu"]  So please, proceed.
[name="웨이 옌우"]  그러니 거리낌 없이 말해보게.

[name="凯尔希"]  好的。
[name="ケルシー"]  ありがとうございます。
[name="Kal'tsit"]  Very well.
[name="켈시"]  알겠습니다.

[name="凯尔希"]  在我们与魏先生第一次交流时，魏先生也对我们拥有的武装力量十分好奇。
[name="ケルシー"]  我々が初めてミスター・ウェイと接触した際に、あなたはロドスの武装について興味を示されました。
[name="Kal'tsit"]  When we first met, Mr. Wei, you were very curious about our military capabilities.
[name="켈시"]  저희가 처음 교류를 시작했을 때, 웨이 장관님은 저희의 군사력에도 큰 관심을 보이셨죠.

[name="凯尔希"]  现在我可以坦白：就像刚才我说的那样，在这方面，罗德岛根本不配与龙门比较。
[name="ケルシー"]  今なら認めますが、先ほど申し上げた通り、武装面でロドスは龍門の足元にも及びません。
[name="Kal'tsit"]  I can admit now, as I just said, Rhodes Island is no match for Lungmen in this respect.
[name="켈시"]  하지만 지금은 솔직히 말씀드리겠습니다. 방금 말씀드렸듯이, 군사적인 방면에서 로도스는 애초에 용문과 비교가 되질 않습니다.

[name="凯尔希"]  只是，无论是多强的武装力量都会被局势束缚，之间的区别，仅在于程度不一而同。
[name="ケルシー"]  ただ、どんなに強大な武力も、効力の多寡はその時の状況によって左右されるものです。程度の違いはあれどそれは必ずあると言ってもいい。
[name="Kal'tsit"]  However, no matter how strong a force may be, it can be limited by the circumstances it finds itself in. It's largely a difference of degree.
[name="켈시"]  하지만, 아무리 강력한 군사력을 갖췄더라도, 그 정도의 차이가 있을 뿐 전세에 따라 어느 정도 제한을 받는 건 피할 수 없는 일이죠.

[name="凯尔希"]  即使是您的队伍，被人捆住手脚也一样无处发挥。哪怕是您亲自上阵，对方依然有办法拿到你的把柄。
[name="ケルシー"]  たとえあなたの部隊でも、何がしかの制限をされていれば、十全な能力を発揮できなくなります。あなた自らが戦場に出た場合でも、相手が弱みを握っている可能性は無視できません。
[name="Kal'tsit"]  Even your men can't project power with their hands tied. Even if you step onto the battlefield personally, the enemy still has something to use against you.
[name="켈시"]  아무리 당신의 부대라도 발이 묶여 버리면 아무것도 할 수 없을 겁니다. 설사 장관님이 직접 지휘에 나선다 해도, 상대에겐 분명 당신의 꼬리를 잡을 방법이 있을 겁니다.

[name="凯尔希"]  事实上，我的同僚曾在一场筹款晚会上遇见过科西切公爵与她的养女。
[name="ケルシー"]  実は、かつての私の同僚が、ある慈善パーティーでコシチェイ公爵とその養女に会いました。
[name="Kal'tsit"]  The truth is, a colleague of mine once saw the Duke of Kashchey at a fundraising banquet with his adopted daughter.
[name="켈시"]  사실 제 동료가 예전에 한 자선 파티에서 카셰이 공작과 그의 양녀를 본 적이 있습니다.

[name="凯尔希"]  不是人口买卖的会场，也并非纵欲狂欢的贵族娱乐。那一次晚会上出席的所有人，都代表着不同的诉求和权力实体。
[name="ケルシー"]  オークション会場でも貴族のサロンでもないそのパーティーに出席していたのは、それぞれ異なる思惑を持つ組織の代表たちでした。
[name="Kal'tsit"]  This wasn't a slave market or some noble bacchanal. It was an event for those who represent the many movers and shakers of our world.
[name="켈시"]  거긴 인신매매장도, 탐욕스런 귀족들의 파티장도 아니었습니다. 그 파티에 참석한 사람들 모두 여러 세력을 대표하는 권력의 실체들이었죠.

[name="魏彦吾"]  ......
[name="ウェイ"]  …………
[name="Wei Yenwu"]  ...
[name="웨이 옌우"]  ……

[name="魏彦吾"]  ......继续。
[name="ウェイ"]  ……続けて。
[name="Wei Yenwu"]  ...Continue.
[name="웨이 옌우"]  ……계속하게.

[name="凯尔希"]  接下来的事情你应该已经有所预见，魏先生。那一次的晚会上，许多优秀的青年人凭他们的理论和构想，获得了他们应得的价码——
[name="ケルシー"]  それからのことはもう予想がつくでしょう、ミスター・ウェイ。あのパーティーで多くの優秀な若者が、自身の理論と構想でそれぞれにふさわしい地位を得ました。しかし――
[name="Kal'tsit"]  I'm sure you can guess what happened next, Mr. Wei. Many young people proved their value that night, with the ideas and theories that they espoused—
[name="켈시"]  그 후의 일은 아마 웨이 장관님께서 어느 정도 알고 계실 겁니다. 그날 파티에서 여러 우수한 청년들이 자신의 이상과 이론을 펼치며, 합당한 자금을 받았지만……

[name="凯尔希"]  但塔露拉没有。也正是如此，我与我的同僚都没有想到，这个少女会成长为今天的整合运动领袖。
[name="ケルシー"]  タルラにそのようなことは起こりませんでした。だからこそ、私も同僚も、あの少女がレユニオンのリーダーとなる位に成長するとは思いもしなかったのです。
[name="Kal'tsit"]  But Talulah did not. Neither my colleagues nor I ever expected that she would become the leader of Reunion.
[name="켈시"]  탈룰라는 그러지 못했습니다. 그래서 더더욱, 저와 제 동료들은 이 소녀가 장차 리유니온의 리더가 될 거라고는 상상도 할 수 없었죠.

[name="凯尔希"]  事实上......我们早该想到，因为科西切公爵只在必要的场合出现，只做必要的事，除此之外，无声无息。
[name="ケルシー"]  ただ、今思えばあのコシチェイ公爵という人物は、必要な場にしか姿を現さず、必要なことしかしません。それ以外は決して表舞台に出てこない……
[name="Kal'tsit"]  In fact... we should have realized that the Duke of Kashchey only shows himself when necessary, to do what is necessary. Otherwise, he stays out of sight.
[name="켈시"]  사실…… 진작에 알아챘어야 했습니다. 카셰이 공작은 오직 필요한 장소에만 모습을 드러내고, 꼭 필요한 일만 하는 사람이고, 다른 일에서는 그림자조차 볼 수 없는 인물이란 것을요.

[name="凯尔希"]  科西切不会展示自身的力量换取协助，塔露拉也没有。之间的关联，魏先生比我们更清楚。
[name="ケルシー"]  彼は、力を誇示することで地位を築いてきたわけではありません。そしてタルラも同様でした。二人の関係にどんな意味があるのか、それは我々よりもそちらの方がお詳しいでしょう。
[name="Kal'tsit"]  Kashchey won't tip his hand in exchange for assistance, and neither will Talulah. I'm sure you know their relationship much better than we do, Mr. Wei.
[name="켈시"]  카셰이 공작은 자신의 힘을 과시하며 협조를 얻어내는 사람이 아닙니다, 탈룰라도 그렇고요. 둘 사이의 관계는 장관님께서 저희보다 잘 아시겠죠.

[name="凯尔希"]  科西切公爵并没有把她当作奴隶或是人质。
[name="ケルシー"]  私が得た確証は一つだけ。コシチェイ公爵が彼女を奴隷、あるいは人質として扱っていたという噂は、事実ではないということです。
[name="Kal'tsit"]  The Duke of Kashchey never made her a slave or a hostage.
[name="켈시"]  카셰이 공작은 그녀를 노예나 인질 따위로 취급하지 않았습니다.

[name="魏彦吾"]  她是他的继承人。
[name="ウェイ"]  ……後継者か。
[name="Wei Yenwu"]  She is his successor.
[name="웨이 옌우"]  그녀는 공작의 후계자네.

[name="文月"]  啊？
[name="フミヅキ"]  えっ？
[name="Fumizuki"]  Oh?
[name="후미즈키"]  뭐라고요?

[name="魏彦吾"]  凯尔希医生，你的见闻佐证了我的想法。塔露拉是科西切的继承人。
[name="ウェイ"]  ケルシー君。君の話が私の推測を証明してくれたようだ。タルラはコシチェイの後継者だ。
[name="Wei Yenwu"]  Your observations confirm my suspicions, Dr. Kal'tsit. Talulah is Kashchey's successor.
[name="웨이 옌우"]  켈시 선생, 당신의 이야기를 들으니 더욱 확실해지는군. 탈룰라는 카셰이의 후계자다.

[name="凯尔希"]  没错，魏先生......
[name="ケルシー"]  その通りです。
[name="Kal'tsit"]  Correct. Mr. Wei...
[name="켈시"]  그렇습니다, 웨이 장관님……

[name="凯尔希"]  科西切公爵知道你有什么，也知道你能做什么。塔露拉也一样能。
[name="ケルシー"]  コシチェイ公爵はあなたが持っているもの、あなたに可能なこととそうでないことを詳細に把握しています。そしてそれは、タルラも同様です。
[name="Kal'tsit"]  The Duke of Kashchey knows what you have, and what you're capable of. Talulah may as well.
[name="켈시"]  카셰이 공작은 장관님이 무엇을 가졌으며, 무엇을 할 수 있는지 잘 알고 있습니다. 그건 탈룰라도 마찬가지고요.

[name="凯尔希"]  请将这件事交给我们，魏先生。我们是最适合去解决本次事件的人。
[name="ケルシー"]  ミスター・ウェイ、この件をどうかロドスに任せていただけませんでしょうか？　我々こそが今回の事件解決に最も適任のはずです。
[name="Kal'tsit"]  You can leave this in our hands now, Mr. Wei. We have what it takes to handle this situation.
[name="켈시"]  이번 일은 저희에게 맡겨주시죠, 웨이 장관님. 이번 일에 있어서는 저희가 가장 적합하다고 생각합니다.

[name="凯尔希"]  就像阿米娅之前说的那样，罗德岛与龙门间的正式合作已经结束了。
[name="ケルシー"]  アーミヤが言うように、龍門とロドスの正式協定は失効しました。
[name="Kal'tsit"]  Like Amiya told you before, the official agreement between Lungmen and Rhodes Island is over.
[name="켈시"]  아미야가 말씀드린 것처럼, 로도스 아일랜드와 용문 간의 정식 협약은 이미 끝났습니다.

[name="凯尔希"]  现在，罗德岛的舰船已经离开了龙门接舷区。罗德岛离开龙门之后发生的事，与龙门毫无关联。
[name="ケルシー"]  ロドス本艦は現在、既に龍門の接舷エリアから離脱をしています。これから起きることは、龍門とは一切関係ありません。
[name="Kal'tsit"]  By now, the Rhodes Island landship has left Lungmen's port. What we do from here on has nothing to do with Lungmen.
[name="켈시"]  그리고 지금, 로도스 아일랜드의 함선은 이미 용문 항구를 떠났습니다. 로도스 아일랜드가 용문을 떠난 후 발생하는 모든 일은, 용문과는 아무런 관계가 없죠.

[name="凯尔希"]  阿米娅，可以吗？
[name="ケルシー"]  アーミヤ、そうだろう？
[name="Kal'tsit"]  Is that acceptable, Amiya?
[name="켈시"]  아미야, 괜찮겠지?

[name="阿米娅"]  ......没错。
[name="アーミヤ"]  ……はい！
[name="Amiya"]  ...Yes.
[name="아미야"]  ……네.

[name="阿米娅"]  魏先生。我们......并不那么关心龙门城的未来和你的私事。
[name="アーミヤ"]  ウェイさん。私たちは、龍門の未来やあなた個人の抱える事情に、あまり深く立ち入るつもりはありません。
[name="Amiya"]  Mr. Wei. We... won't concern ourselves with the future of Lungmen, or your personal business.
[name="아미야"]  웨이 장관님, 저희는…… 용문의 미래나 장관님의 사정에는 크게 관심이 없습니다.

[name="阿米娅"]  但阴谋家利用感染者引发的事件，它带来的那些后果是我们拼尽全力去避免的。
[name="アーミヤ"]  ですが誰かの陰謀が感染者を利用して起こした事件、それによってもたらされる悲劇を、私たちは全力で阻止したいのです。
[name="Amiya"]  But all this is the result of someone conspiring to exploit the Infected, and we will fight it with all our might.
[name="아미야"]  하지만 모종의 세력이 감염자들을 이용해 일을 벌인다면, 저희는 그 결과를 전력으로 막아낼 생각입니다.

[name="阿米娅"]  如果魏先生允许，并且能给出承诺，承诺你不会使用任何武力攻击我们的话——
[name="アーミヤ"]  もし可能ならば、ウェイさんに一つ約束をしていただきたいです。それさえ守っていただけるならば――
[name="Amiya"]  If you'll permit us to act, and if you can promise you won't act against us in any way——
[name="아미야"]  만약 웨이 장관님께서 동의하시고, 저희에게 어떠한 공격도 가하지 않겠다고 약속해 주신다면……

[name="阿米娅"]  之后的战斗，就会是我们罗德岛的战斗。
[name="アーミヤ"]  ここから先は、私たちロドスの戦いになります。
[name="Amiya"]  Then the battle to come is our battle, Rhodes Island's battle.
[name="아미야"]  이후의 전투는, 저희 로도스 아일랜드의 싸움이 될 것입니다.

[name="魏彦吾"]  我不依靠感染者，也不相信感染者。你们与整合运动的区别，在我看来，只是你们还没与龙门敌对，仅此而已。
[name="ウェイ"]  私は感染者を信じたくはないし、頼りたくもない。私からすれば、君たちとレユニオンの違いは、まだ龍門と敵対していない、という一点だけだ。
[name="Wei Yenwu"]  I won't rely on the Infected. I don't trust the Infected. The only difference between you and Reunion is that you haven't turned against Lungmen... yet.
[name="웨이 옌우"]  난 감염자들에게 의지할 생각도 없고, 감염자를 신용하지도 않는다네. 나에게 있어 로도스 아일랜드와 리유니온의 차이는, 로도스 아일랜드가 아직 용문에 적대적이지 않다는 점뿐.

[name="魏彦吾"]  整合运动之前又是怎么样的面貌？就算我们不记得，却有人记得。他们本不是现在这副模样。
[name="ウェイ"]  かつてのレユニオンがどんな姿をしていたか……私たちが忘れたとしても、誰かの記憶に残っているはずだ。彼らは決して今のような形をとるはずではなかった。
[name="Wei Yenwu"]  What was Reunion like before? Even if we don't remember, someone does. They weren't anything like this.
[name="웨이 옌우"]  과거의 리유니온은 어땠을 것 같나? 우리가 기억하지 못해도, 누군가는 기억할 것일세. 그들도 처음부터 지금 같은 모습은 아니었겠지.

[name="魏彦吾"]  言语可以修饰，意图可以伪装，整合运动再怎么吹嘘自己是改变感染者处境的力量，如今还是成了乌萨斯的炮灰。
[name="ウェイ"]  言葉は飾れる。意図は隠せる。レユニオンがあれほど感染者の運命を変える運動だと吹聴していたにもかかわらず、結局はウルサスの鉄砲玉と成り果ててしまった……
[name="Wei Yenwu"]  You can dress up your schemes in fancy words, just as Reunion can shout from the rooftops that they will be the ones to deliver the Infected from their fate. In the end, they still ended up being cannon fodder for Ursus.
[name="웨이 옌우"]  말은 꾸며내면 그만이고, 의도는 위장하면 그만이네. 리유니온이 감염자의 처지를 바꿀 힘이 있다고 입이 닳도록 떠들어도, 오늘날엔 결국 우르수스의 총알받이 신세일 뿐 아닌가.

[name="魏彦吾"]  此事之后，乌萨斯将会轻松地扑灭整合运动的火。
[name="ウェイ"]  この件が終われば、ウルサスは容赦無く、残ったレユニオンの火を消すつもりだろう。
[name="Wei Yenwu"]  In short order, Ursus will snuff out the fire that is Reunion.
[name="웨이 옌우"]  이 일이 끝나면, 우르수스는 아주 손쉽게 리유니온의 불꽃을 꺼트릴 걸세.

[name="魏彦吾"]  你们会不会是另一个整合运动？谁能证明，谁能证伪？你们会在什么时候背叛，又会在哪里对我们亮出獠牙？
[name="ウェイ"]  君たちが次のレユニオンにならないと、誰がそれを証明できる？　いつか私たちを裏切り、牙をむくのではないか？
[name="Wei Yenwu"]  Will you be the next Reunion? Who can say? When will you bare your fangs and turn against us?
[name="웨이 옌우"]  자네들이 또 다른 리유니온이 아니라는 증거가 있나? 누가 그걸 증명할 수 있지? 언제 우리를 배신하고, 어디에서 우리에게 송곳니를 드러낼지는 모르지 않나?

[name="魏彦吾"]  以及，我并不相信你们有解决科西切继承人的实力。
[name="ウェイ"]  そもそも、君たちにコシチェイの後継者を打ち破るほどの力があるとは思えない。
[name="Wei Yenwu"]  What's more, I doubt you have the strength to deal with Kashchey's successor.
[name="웨이 옌우"]  게다가 난 자네들에게 카셰이의 후계자를 처리할 능력이 있다고는 믿지 않네.

[name="魏彦吾"]  那是科西切公爵......与他为敌且获胜的，这么多年来也只有龙门而已。
[name="ウェイ"]  相手はあの悪名高きコシチェイ公爵だ……彼に勝利を収めたのは、ここ数年で龍門以外には存在しない。
[name="Wei Yenwu"]  That Duke of Kashchey... only Lungmen has successfully opposed him over all these years.
[name="웨이 옌우"]  상대는 카셰이 공작…… 오랜 세월 동안, 그에게 적대하여 승리한 건 용문이 유일했네.

[name="凯尔希"]  魏先生，你打算自己带领武装力量，袭击切尔诺伯格核心城，对吧？
[name="ケルシー"]  ミスター・ウェイ、あなたは自分で部隊を率いてチェルノボーグ中枢区画を襲撃するつもりですね？
[name="Kal'tsit"]  Mr. Wei, you intend to personally lead your forces to attack the Chernobog core city, correct?
[name="켈시"]  웨이 장관님, 당신은 직접 부대를 끌고 가 체르노보그 코어를 습격할 생각이군요,그렇죠?

[name="魏彦吾"]  不要妄加猜测。
[name="ウェイ"]  勝手な憶測はよくないな。
[name="Wei Yenwu"]  Don't make blind conjectures.
[name="웨이 옌우"]  함부로 추측하지 말게나.

[name="凯尔希"]  方才，魏先生——你的观点已经透露了你更深层次的想法。你认为只有你自己能做到这件事。
[name="ケルシー"]  先ほどのミスター・ウェイの言葉に、あなた自身の意志が現れています。あなたは、それが自分以外には不可能だと思っていらっしゃる。
[name="Kal'tsit"]  What you just told me, Mr. Wei, is revealing. You think you're the only one who can handle this situation.
[name="켈시"]  방금 웨이 장관님께서…… 마음속의 본심을 털어놓으시지 않았습니까. 당신은, 오직 자신만이 이 일을 해결할 수 있다고 생각하시는군요.

[name="凯尔希"]  确实，龙门有这个实力，你也有战胜乌萨斯阴谋的经验。
[name="ケルシー"]  確かに龍門にはその力が有り、あなたにもウルサスの陰謀を退けた自信がお有りでしょう——
[name="Kal'tsit"]  It's true that Lungmen has the raw power to do it, and you've also overcome the machinations of Ursus.
[name="켈시"]  확실히 용문은 그럴 만한 힘이 있습니다. 우르수스의 음모를 이겨낸 경험도 있으니까요.

[name="凯尔希"]  而且这一次，你还打算用自己的死来抵消龙门宣战的罪。
[name="ケルシー"]  しかも今回の戦い、あなたはご自身の死をもって幕を引くつもりでいらっしゃる。
[name="Kal'tsit"]  And this time, you intend to sacrifice yourself to nullify the declaration of war on Ursus.
[name="켈시"]  게다가 이번엔, 자신의 죽음으로 용문의 선전포고에 대한 죗값을 떠안을 작정이시죠.

[name="凯尔希"]  如文月小姐所说，你觉得自己做了许多违心的事，你打算用死亡一劳永逸的
[name="ケルシー"]  フミヅキさんの仰るように、あなたは龍門のために多くの不本意な采配をしてきた。そして極め付けが今回行おうという宣戦行為だ。それら一切合切を、ご自身の命で清算しようと考えておられる。
[name="Kal'tsit"]  As Miss Fumizuki said, you feel you've betrayed your principles, and you hope to end it all with your death.
[name="켈시"]  후미즈키 씨의 말씀처럼, 당신은 자신이 지은 수많은 죄를 죽음으로 속죄하려 하시는군요.

[name="魏彦吾"]  我一生犯错无数，死亡并不足以偿还，也不知向谁偿还。
[name="ウェイ"]  ……私は今まで数え切れないほどの過ちを犯した。死などで償えるはずもなく、誰に償えばいいのかもわからないがそれでも——
[name="Wei Yenwu"]  I've made so many mistakes. My death can't pay for them all. I don't even know who I'd be paying.
[name="웨이 옌우"]  평생 무수히 많은 죄를 범했네. 이젠 죽음으로도 다 속죄할 수 없어. 누구에게 속죄해야 할지조차 모를 지경이야.

[name="凯尔希"]  即使如此，魏先生，你能保证在你死后，真的不会有人迁怒于你吗？
[name="ケルシー"]  それでも、あなたが亡くなった後、周りが本当に無事でいられると思いますか？
[name="Kal'tsit"]  Nevertheless, Mr. Wei, are you so certain that, after your death, no one will bear you any ill will?
[name="켈시"]  웨이 장관님, 당신이 죽으면 정말로 아무도 당신을 책망하지 않을 거라 확신하십니까?

[name="魏彦吾"]  龙门是大炎要地，我既保下了它，它的繁荣就依然能延续。
[name="ウェイ"]  龍門は炎国の要。この街が無事であれば、繁栄は続くはずだ。
[name="Wei Yenwu"]  Lungmen is strategically important to Yen. Thanks to my protection, it will continue to prosper.
[name="웨이 옌우"]  용문은 염국의 요충지이니, 내가 용문을 지켜내기만 한다면, 용문의 번영은 계속될 테지.

[name="凯尔希"]  我说的是，文月夫人。
[name="ケルシー"]  いえ、私が言いたいのは、フミヅキさんのことです。
[name="Kal'tsit"]  I was referring to Lady Fumizuki.
[name="켈시"]  제가 말하는 건 후미즈키 부인입니다.

[name="阿米娅"]  （凯尔希医生......好直白！）
[name="アーミヤ"]  （ケルシー先生……直球過ぎます！）
[name="Amiya"]  (Dr. Kal'tsit... Show some tact!)
[name="아미야"]  (켈시 선생님…… 너무 직설적이세요!)

[name="文月"]  医生？！说什么呢！
[name="フミヅキ"]  先生！？　何を仰って……！
[name="Fumizuki"]  Dr. Kal'tsit?! What are you saying?!
[name="후미즈키"]  선생님?! 무슨 말씀을 하시는 건가요!

[name="凯尔希"]  没错，魏先生。我害怕尊夫人会因为你而受到伤害。就算你死了，她也依然是你的遗孀。你知道的事，尊夫人基本上也都知道。
[name="ケルシー"]  奥様は、あなたのせいで苦難の道を歩む可能性があります。あなたが亡くなった後、全てを知るのは残された奥様だけなのですから。
[name="Kal'tsit"]  I meant what I said, Mr. Wei. I'm afraid your wife will suffer because of your actions. Even if you're dead, she is your widow. She'll still know everything you knew.
[name="켈시"]  웨이 장관님, 저는 존경하는 부인이 당신으로 인해 상처받을까 두렵습니다. 당신이 죽어버리면 부인은 과부가 됩니다. 당신이 아는 일이라면, 후미즈키 씨도 거의 다 가늠하고 계시겠죠.

[name="凯尔希"]  既然有人能迫使你做出违背意愿的事情，我想，会做这样的事情......也很正常。
[name="ケルシー"]  あなたに不本意なことをさせるほどの人物です。奥様がどのような仕打ちを受けるかは想像に難くないと思いますが。
[name="Kal'tsit"]  Since someone is forcing you to act against your will, I believe, this sort of thing... is to be expected.
[name="켈시"]  당신에게 원하지 않는 일을 강요할 수 있는 사람이 있다면, 이런 일을 하는 것도 당연하다고 생각합니다만……

[name="凯尔希"]  似乎那位也不是个心思开阔豁达的人吧？
[name="ケルシー"]  確かあの方も、心の広い方ではないでしょう？
[name="Kal'tsit"]  I have a feeling that particular individual won't be so magnanimous.
[name="켈시"]  그분도 마음이 그렇게 탁 트인 분은 아닌 것 같아서 말이죠.

[name="文月"]  够了，真的够了医生！你说的实在太过分了，我不要......
[name="フミヅキ"]  もう十分です、先生！　これ以上は……
[name="Fumizuki"]  That's enough, Dr. Kal'tsit! You're way out of line. I can't...
[name="후미즈키"]  이제 됐어요, 그만하세요! 말씀이 지나치군요, 선생님. 저는……

[name="魏彦吾"]  所以，你认为即使我出手，也同样保不下文月。
[name="ウェイ"]  つまり君は、私が命を差し出したところで、フミヅキは守れないと言うのだな。
[name="Wei Yenwu"]  You're saying that even if I do this, I still won't be able to protect Fumizuki.
[name="웨이 옌우"]  그러니까, 자네는 내가 나선다 해도 후미즈키를 지킬 수 없다고 생각하는군.

[name="凯尔希"]  可能并不只是文月小姐。
[name="ケルシー"]  どうでしょう、フミヅキさんだけでは済まないかもしれません。
[name="Kal'tsit"]  And it may not end with Miss Fumizuki.
[name="켈시"]  어쩌면 후미즈키 씨뿐만이 아닐 수도 있습니다.

[name="文月"]  ......我大可一同去，不就是死......
[name="フミヅキ"]  ならば私も共に逝きます！　たかが死など——
[name="Fumizuki"]  ...I can go too. Death is the worst that can happen...
[name="후미즈키"]  ……저도 곁에서 따르겠어요. 그래봤자 죽기밖에……

[name="魏彦吾"]  文月！！
[name="ウェイ"]  止さないかフミヅキ！！
[name="Wei Yenwu"]  Fumizuki!
[name="웨이 옌우"]  후미즈키!!

[name="文月"]  唉哟。
[name="フミヅキ"]  くっ……！
[name="Fumizuki"]  *Sigh*.
[name="후미즈키"]  ……

[name="魏彦吾"]  说吧，凯尔希医生。
[name="ウェイ"]  続けてくれ、ケルシー君。
[name="Wei Yenwu"]  Speak, Dr. Kal'tsit.
[name="웨이 옌우"]  계속 얘기해 보게, 켈시 선생.

[name="凯尔希"]  为了你珍视的城市......以及真正珍视的人。
[name="ケルシー"]  あなたが大切に守ってきた都市……そして心から大切に思っている人のために――
[name="Kal'tsit"]  For the sake of your beloved city... And your beloved people...
[name="켈시"]  당신이 소중히 여기는 이 도시…… 그리고 소중한 사람들을 위해서라도,

[name="凯尔希"]  我恳求你，魏大人。把这件事情交给真正的专家。
