十三年前
十三年前
13 Years Ago
13년 전

8:09 P.M.  天气/大雪
[name="ケルシー"]  申し訳ありません、ヴィンセント殿。
[name="Kal'tsit"]  My apologies, Sir Vincent.
[name="켈시"]  죄송합니다, 빈센트 님.

[name="凯尔希"]  请问我来晚了吗？
[name="ケルシー"]  遅れてしまいましたでしょうか？
[name="Kal'tsit"]  Might I have arrived late?
[name="켈시"]  제가 늦었나요?

[name="海蒂"]  ————
[name="ハイディ"]  ――――
[name="Heidi"]  ————
[name="하이디"]  ……

