十三年前
十三年前
13 Years Ago
13년 전

8:09 P.M.  天气/大雪
[name="Heidi"]  Should I perhaps hold your arm? That way no one will be suspicious of us.
[name="하이디"]  팔짱을 껴도 될까요? 그러면 의심을 피할 수 있을 것 같은데……

[name="凯尔希"]  如果你认为有这个必要的话。
[name="ケルシー"]  君がその必要があると感じるのなら。
[name="Kal'tsit"]  If you think that is necessary.
[name="켈시"]  그럴 필요가 있다고 느낀다면.

[name="海蒂"]  好......嘿嘿，您比我高呢。
[name="ハイディ"]  はい、それじゃあ……へへっ、私よりも背が高いですね。
[name="Heidi"]  Okay... Hehe, you're so much taller than me.
[name="하이디"]  네…… 헤헤, 저보다 더 크시네요.

[name="凯尔希"]  你还没有长大，海蒂。
[name="ケルシー"]  ハイディ、君はまだまだ成長する。
[name="Kal'tsit"]  You haven't grown at all, Heidi.
[name="켈시"]  하이디는 아직 자라는 중이잖아.

[name="海蒂"]  看看外面，凯尔希，多大的雪啊。我好久没看过这么大的雪了。
[name="ハイディ"]  外を見てください、ケルシー。すごい雪です。こんなに激しく降るのは久しぶりに見ました。
[name="Heidi"]  Take a look outside, Kal'tsit. The snow is so heavy. I haven't seen this much snow in a very long time.
[name="하이디"]  켈시, 창밖을 좀 보세요! 눈이 펑펑 내려요, 이런 함박눈은 오랜만에 보는 것 같아요.

[name="凯尔希"]  你说的没错，风雪将至。
[name="ケルシー"]  そうだな、吹雪の訪れだ。
[name="Kal'tsit"]  You are right. A snowstorm is coming.
[name="켈시"]  정말 그렇네. 눈보라가 치겠어.

[Subtitle(text="海蒂想着，要扯碎多少片云层才能洒下如此繁盛的雪花？", x=300, y=370, alignment="center", size=24, delay=0.04, width=700)]
[Subtitle(text="ハイディは思う。 どれほどの雲を砕けばこんなにも多くの雪の花が降り注ぐのだろう。", x=300, y=370, alignment="center", size=24, delay=0.04, width=700)]
[Subtitle(text="Heidi ponders to herself: Just how many clouds are needed to shed so many snowflakes?", x=300, y=370, alignment="center", size=24, delay=0.04, width=700)]
[Subtitle(text="하이디는 생각한다. 대체 얼마나 많은 구름을 부숴야 이렇게 많은 눈이 쏟아져 내릴까?", x=300, y=370, alignment="center", size=24, delay=0.04, width=700)]

[Subtitle(text="白雪纷飞四散，旋转着飞向天外。", x=300, y=370, alignment="center", size=24, delay=0.04, width=700)]
[Subtitle(text="真白き雪が辺りに舞う。 雪片が螺旋を描きながら彼方へと飛んでいく。", x=300, y=370, alignment="center", size=24, delay=0.04, width=700)]
[Subtitle(text="The white snow is scattering in all directions, gyrating into the sky as the wind blows past.", x=300, y=370, alignment="center", size=24, delay=0.04, width=700)]
[Subtitle(text="흰 눈송이가 사방에서 쏟아지더니, 바람을 타고 먼 곳으로 날아갔다.", x=300, y=370, alignment="center", size=24, delay=0.04, width=700)]

[Subtitle(text="淡黄色的灯光照耀不到的地方，已经陷入一片雾蒙，遮蔽了城市。", x=300, y=370, alignment="center", size=24, delay=0.04, width=700)]
[Subtitle(text="淡く黄色い明かりが届かない場所には、すでに霧が立ち込めて都市を覆い隠していた。", x=300, y=370, alignment="center", size=24, delay=0.04, width=700)]
[Subtitle(text="Where the pale yellow lights cannot illuminate has been shrouded in a thick mist that covers the entire city.", x=300, y=370, alignment="center", size=24, delay=0.04, width=700)]
[Subtitle(text="주황빛 등불이 닿지 못하는 곳에는 이미 안개가 자욱이 끼어 도시를 뒤덮고 있었다.", x=300, y=370, alignment="center", size=24, delay=0.04, width=700)]

[Subtitle(text="今夜没有星光月色。", x=300, y=370, alignment="center", size=24, delay=0.04, width=700)]
[Subtitle(text="今宵は星の輝きも月明かりもない。", x=300, y=370, alignment="center", size=24, delay=0.04, width=700)]
[Subtitle(text="The night sky tonight is without stars and moonlight.", x=300, y=370, alignment="center", size=24, delay=0.04, width=700)]
[Subtitle(text="오늘 밤은 달빛도, 별빛도 없다.", x=300, y=370, alignment="center", size=24, delay=0.04, width=700)]

[Subtitle(text="被纵容的黑色浪潮正在滩头崛起。", x=300, y=370, alignment="center", size=24, delay=0.04, width=700)]
[Subtitle(text="暗がりにうごめく、闇よりも黒い波が、今まさに顎を開いて押し寄せようとしていた.", x=300, y=370, alignment="center", size=24, delay=0.04, width=700)]
[Subtitle(text="The black tidal wave is beginning to crash upon the beaches.", x=300, y=370, alignment="center", size=24, delay=0.04, width=700)]
[Subtitle(text="검은 파도가 밀려오려 하고 있다.", x=300, y=370, alignment="center", size=24, delay=0.04, width=700)]

[Subtitle(text="嘶——呼——", x=300, y=370, alignment="center", size=24, delay=0.04, width=700)]
[Subtitle(text="スゥー……フゥー……", x=300, y=370, alignment="center", size=24, delay=0.04, width=700)]
[Subtitle(text="*Hiss*... *Huff*...", x=300, y=370, alignment="center", size=24, delay=0.04, width=700)]
[Subtitle(text="스으으으…… 후우우우……", x=300, y=370, alignment="center", size=24, delay=0.04, width=700)]

[name="海蒂"]  凯尔希？
[name="ハイディ"]  ケルシー？
[name="Heidi"]  Kal'tsit?
[name="하이디"]  켈시?

[name="凯尔希"]  ......
[name="ケルシー"]  ……
[name="Kal'tsit"]  ...
[name="켈시"]  ……

[name="凯尔希"]  ............
[name="ケルシー"]  …………
[name="Kal'tsit"]  ............
[name="켈시"]  ……

[name="凯尔希"]  ......黑色的雪。
[name="ケルシー"]  ……黒い雪。
[name="Kal'tsit"]  Black snow...
[name="켈시"]  ……검은 눈.

[name="海蒂"]  欸？我怎么没看见......
[name="ハイディ"]  え？　そんなものが見えるんですか？
[name="Heidi"]  Huh? I'm not seeing any...
[name="하이디"]  엣? 전 안 보이는데……

[name="凯尔希"]  海蒂，告诉所有同伴，让他们不留痕迹地控制住宴会现场。
[name="ケルシー"]  ハイディ、仲間全員に伝えてくれ。ほかの者たちに気付かれないようにパーティー会場を掌握しろ。
[name="Kal'tsit"]  Heidi, tell everyone to keep the party venue under control.
[name="켈시"]  하이디, 가서 모두에게 전해. 파티 현장을 은밀히 통제하라고.

[name="凯尔希"]  我需要一个小时时间。不要让任何人......靠近花园。
[name="ケルシー"]  私に一時間くれ。誰にも……庭園に近づけさせるな。
[name="Kal'tsit"]  I need about an hour's time. Don't let anyone near the garden...
[name="켈시"]  한 시간 정도 걸릴 것 같아. 누구도…… 정원에 접근해선 안 돼.

[name="海蒂"]  可以是可以......怎么这么突然？
[name="ハイディ"]  わかりました……突然どうしたんですか？
[name="Heidi"]  I can do that... but what's going on with you all of a sudden?
[name="하이디"]  알겠어요…… 그런데 왜 갑자기 그러는 거죠?

[name="凯尔希"]  敌人。
[name="ケルシー"]  敵だ。
[name="Kal'tsit"]  We've got company.
[name="켈시"]  적이다.

[name="海蒂"]  什......？
[name="ハイディ"]  えっ……？
[name="Heidi"]  What...?
[name="하이디"]  무슨……?

[name="海蒂"]  可就算是边境，这里可是维多利亚伯爵的庄园，谁敢随便——
[name="ハイディ"]  いくら辺境といっても、ここはヴィクトリアの伯爵の荘園ですよ。勝手に侵入してくるなんて――
[name="Heidi"]  We may be on the border, but this manor belongs to a Victorian count! Who would—
[name="하이디"]  변경 지역이라고 해도 여긴 빅토리아 백작의 저택인데 누가 감히……

[name="凯尔希"]  ——海蒂，如果我没有回到这座庄园，你要与你的父亲一并遮掩真相。
[name="ケルシー"]  ――ハイディ、私が戻らなかった場合、君がトムソンと共に真相を隠せ。
[name="Kal'tsit"]  —Heidi, if I don't come back to the manor, you and your father need to keep this secret.
[name="켈시"]  ……하이디, 내가 저택으로 돌아오지 않거든 네 아버지와 같이 진실을 묻어버리렴.

[name="凯尔希"]  不要深究这件事。
[name="ケルシー"]  そしてこの件に決して深入りするな。
[name="Kal'tsit"]  Do not dig any deeper into this.
[name="켈시"]  그리고 절대 더 깊게 캐려 하지 말고.

[name="海蒂"]  但是——
[name="ハイディ"]  でも――
[name="Heidi"]  But—
[name="하이디"]  하지만……

[name="凯尔希"]  这是警告，也是命令。
[name="ケルシー"]  これは警告であり、命令でもある。
[name="Kal'tsit"]  This is a warning as well as an order.
[name="켈시"]  이건 경고이자, 명령이야.

[name="海蒂"]  ——！
[name="ハイディ"]  ――！
[name="Heidi"]  —!
[name="하이디"]  ……!!

[name="凯尔希"]  保重。
[name="ケルシー"]  気をつけて。
[name="Kal'tsit"]  Be safe.
[name="켈시"]  조심해.

[name="凯尔希"]  ......
[name="ケルシー"]  ……
[name="Kal'tsit"]  ...
[name="켈시"]  ……

[name="凯尔希"]  萨米与乌萨斯以北，萨尔贡以南，那些人类尚未踏足的土地......
[name="ケルシー"]  サーミとウルサス以北、サルゴン以南、その他、人がまだ足を踏み入れていない土地……
[name="Kal'tsit"]  To the north of Sami and Ursus and to the south of Sargon... Those lands yet untrodden by man...
[name="켈시"]  사미와 우르수스 북쪽, 그리고 사르곤 남쪽…… 인간의 발길이 아직 닫지 않은 땅……

[name="凯尔希"]  邪魔，精怪，它们是否是寻常的生物都未可知，它们比建立已久的当今诸国更加古老。
[name="ケルシー"]  悪魔、精霊、それらがありふれた生物なのかどうかはわからない。だがそれらの歴史は、今日のどの国々よりも古い。
[name="Kal'tsit"]  Whether the demons and monsters that dwell there are normal creatures is yet unknown, but they are far older than any country we know.
[name="켈시"]  데몬, 삿되고 기괴한 존재들…… 평범한 생물인지조차 알 수 없지만, 그들의 역사는 어느 나라보다 더 오래됐지.

[name="凯尔希"]  人类对抗它们已有许久，这的确是值得留意的诸多命题之一。
[name="ケルシー"]  人は長きにわたってそうしたものに対抗してきた。これは確かに留意すべき数々の命題のうちの一つだ――
[name="Kal'tsit"]  Humans have fought them for a long time. Indeed, this is a proposition worthy of further notice.
[name="켈시"]  인간은 오랫동안 그 존재들에 맞서 왔어. 이건 분명히 주목할만한 수많은 명제 중 하나야.

[name="凯尔希"]  ......直到如今。
[name="ケルシー"]  ――今もなお。
[name="Kal'tsit"]  Until now...
[name="켈시"]  ……지금까지도 말이야.

[name="凯尔希"]  人已经可以主宰自己的国度。
[name="ケルシー"]  人は、すでに自身の国土を治めることが可能となった。
[name="Kal'tsit"]  Humans can now be the masters of their own countries.
[name="켈시"]  인간은 충분히 자신의 나라를 다스릴 수 있어.

[name="凯尔希"]  古老的萨尔贡王与强大的怯薛一拍即合，梦魇的可汗决意征服人类文明尚未探索过的土地。
[name="ケルシー"]  古代のサルゴン王と強大なケシクは同盟を結んだ。悪夢のハガンは人類文明がいまだ探索したことのない土地の征服を決心した。
[name="Kal'tsit"]  The ancient Sargon king and the powerful Kheshigs hit it off right away, and the Nightzmora's Khagan strove to conquer all lands unexplored by civilization.
[name="켈시"]  고대 사르곤 왕과 강대한 케식은 손을 잡았고, 나이츠모라의 카간은 인류 문명이 아직 탐색해 보지 못한 땅을 정복하기로 결심했다.

[name="凯尔希"]  那是一个伟大的结果，再没有任何非人的威胁胆敢踏入萨尔贡文明的国土。
[name="ケルシー"]  それは偉大な出来事であった。サルゴン文明が根を下ろす国土にあえて足を踏み入れようとする人外の脅威は完全になくなった。
[name="Kal'tsit"]  The results were impressive. No non-human threat ever set foot in Sargon territory again.
[name="켈시"]  그리고 위대한 결과를 가져왔지. 인간이 아닌 위협이 더는 사르곤 문명의 땅에 발을 들이지 못했으니까.

[name="凯尔希"]  萨米用无数巫术和牺牲造就了雪祀，一代又一代的女巫在对抗境外之敌的过程中迷失了自我。
[name="ケルシー"]  サーミは無数の犠牲を伴った巫術実験の末、雪祭司を生み出した。それは何代にもわたって継承されているが、巫女たちは外界の敵に立ち向かう中でことごとく自我を失った。
[name="Kal'tsit"]  Sami has used countless witchcrafts and sacrifices to create their Snowpriests, and, one generation after another, the sorceresses lost themselves as they battled the enemies from beyond their borders.
[name="켈시"]  사미는 수많은 주술과 희생을 동반해 눈의 사제를 만들었어. 그들은 몇 대째 계승되었지만, 국경 밖의 적을 대항하는 과정에서 모조리 자아를 잃고 말았지.

[name="凯尔希"]  而乌萨斯——你们用最强大的少数精锐撕碎了它们。身着重甲的温迪戈，或是精锐的战争术师。
[name="ケルシー"]  そしてウルサス――お前たちは、強大な少数精鋭を用いることで、それらを引き裂いた。あるいは重装を身にまとうウェンディゴ、あるいは高位の戦争術師によって。
[name="Kal'tsit"]  And Ursus—You deployed the strongest elites to simply tear them to shreds. Wendigos in heavy armor or veteran war Casters.
[name="켈시"]  그리고 우르수스…… 너희들은 소수지만 강력한 정예 부대를 앞세워 그들을 무너뜨렸어. 중무장한 웬디고나 전투에 특화된 정예 캐스터로 말이야.

[name="凯尔希"]  帝国的确野心勃勃。你们不仅仅是撕碎了它们。
[name="ケルシー"]  帝国の野心は確かにとどまるところを知らなかったようだ。お前たちは、それらを打ち破っただけではない……
[name="Kal'tsit"]  And the Empire's ambitions are without limit. Your kind did not merely tear them to shreds.
[name="켈시"]  그런데 제국의 야심은 확실히 대단하더군. 너희들은 그들을 완전히 무너뜨린 것도 모자라……

[name="凯尔希"]  你们在利用那些非人之物残留下的力量碎片。
[name="ケルシー"]  ……人外のものが残した力の破片を利用したのだ。
[name="Kal'tsit"]  You used the shreds of power left behind by those non-humans.
[name="켈시"]  인간이 아닌 존재가 남긴 힘의 조각을 이용했어.

[name="凯尔希"]  ......现身吧。
[name="ケルシー"]  ……姿を現わすがいい。
[name="Kal'tsit"]  Show yourself.
[name="켈시"]  ……모습을 드러내라.

[name="凯尔希"]  乌萨斯的意志令你来到此地。
[name="ケルシー"]  ウルサスの意志がお前をここまで運んだ。
[name="Kal'tsit"]  The will of Ursus drove you here.
[name="켈시"]  우르수스의 의지가 널 이곳으로 이끌었다.

[name="凯尔希"]  但你是否过于轻蔑了维多利亚的强盛力量，你拖曳着邪魔的步伐，你是否思考过自己的职责所在？
[name="ケルシー"]  だがお前はヴィクトリアの強大な力を見くびり過ぎているのではないか。お前は悪魔の性質を引き継いでいるようだが、自分の責任の所在を考えたことはあるのか？
[name="Kal'tsit"]  You are far underestimating Victoria's might. The aura of demons lingers in your footsteps. Have you ever given any thought to where your responsibility lies?
[name="켈시"]  그렇다고 빅토리아의 막강한 힘을 너무 무시하는 건 아닌가? 데몬의 길을 끌고 있는 네가, 자신의 직책을 망각한 건 아닌가?

[name="凯尔希"]  我想，你总不能已经被邪魔吞噬了心智，内卫。
[name="ケルシー"]  悪魔に理性までも喰われたわけではないのだろう、近衛兵。
[name="Kal'tsit"]  Your mind can't already be taken by the demons, Royal Guard.
[name="켈시"]  설마 데몬에게 삼켜 이성마저 잃은 건 아니겠지, 근위병?

[Subtitle(text="有什么一步踏出，让灯火照耀不到的黑暗一阵摇曳。", x=300, y=370, alignment="center", size=24, delay=0.04, width=700)]
[Subtitle(text="灯火の届かぬ暗闇が揺れ、そこから何かが一歩踏み出した。", x=300, y=370, alignment="center", size=24, delay=0.04, width=700)]
[Subtitle(text="As the figure steps out into the light, the unilluminated darkness surrounding it begins to quiver.", x=300, y=370, alignment="center", size=24, delay=0.04, width=700)]
[Subtitle(text="어떤 것이 발을 내딛자, 등불조차 밝히지 못한 어둠이 흔들렸다.", x=300, y=370, alignment="center", size=24, delay=0.04, width=700)]

[name="“皇帝的利刃”"]  我嗅得到你的恐惧，叛国者。
[name="「皇帝の利刃」"]  貴様から恐怖の匂いがするぞ、逆徒よ。
[name="'Emperor's Blade'"]  I can smell the fear in you, traitor.
[name="'황제의 칼날'"]  네게서 두려움의 냄새가 느껴진다, 반역자.

[name="凯尔希"]  你花了不少的时间找到我。
[name="ケルシー"]  私を見つけるのに随分と時間をかけたようだ。
[name="Kal'tsit"]  It took you a while to find me.
[name="켈시"]  날 찾는데 시간이 많이 걸렸구나.

[name="“皇帝的利刃”"]  ......若非叛乱的余波令我脱不开身，我早该来追杀你这弑主的罪人。
[name="「皇帝の利刃」"]  ……反乱の余波に巻き込まれなければ、貴様のような主殺しの罪人などとっくに始末できていたはずだ。
[name="'Emperor's Blade'"]  If it wasn't for the uprising and its aftermath, I would've come to lay down your punishment long ago.
[name="'황제의 칼날'"]  ……반란의 여파만 아니었어도 주인을 해친 죄인을 이미 벌하러 왔을 거다.

[name="“皇帝的利刃”"]  无能者放走了你，这令我蒙羞。而他们都已伏法。
[name="「皇帝の利刃」"]  無能な連中が貴様の逃亡を許した。これは恥ずべきことだが……そいつらはすでに全員処刑された。
[name="'Emperor's Blade'"]  The imbeciles allowed you to escape. This has been an embarrassment, and they have already been executed for their incompetence.
[name="'황제의 칼날'"]  무능한 자들이 너를 놓친 게 내겐 수치였다. 그들은 모두 형에 처해졌지.

[name="凯尔希"]  也许我要重新提醒你一遍，风雪能遮掩整座城市，却仍旧磨灭不去一个内卫的足迹。
[name="ケルシー"]  もう一度お前に言っておいた方がよさそうだな。吹雪は都市を丸ごと覆い隠せるがしかし、たった一人の近衛兵の足跡を消し去ることはできない。
[name="Kal'tsit"]  Perhaps I should remind you again. The snowstorm here can bury entire cities, but they cannot erase the footsteps of a Royal Guard.
[name="켈시"]  한 가지 사실을 다시 한번 일깨워 주지. 눈보라가 도시를 뒤덮을 순 있어도 한 근위병의 흔적은 지울 수 없어.

[name="凯尔希"]  你身处维多利亚。而我的身后百米有余，即是一座维多利亚伯爵的宅邸。
[name="ケルシー"]  お前は今ヴィクトリアにいる。そして私の百メートルほど後ろには、そのヴィクトリアの伯爵が所有する邸宅がある。
[name="Kal'tsit"]  You are in Victoria, and there stands the manor of a Victorian count not a hundred meters behind me.
[name="켈시"]  너는 지금 빅토리아에 있고, 내 뒤에 백여 미터 떨어진 곳은 빅토리아 백작의 저택이다.

[name="凯尔希"]  你真的清楚你行为的后果——
[name="ケルシー"]  お前は本当に、自分の行為がどのような結果を招くかわかっているのか。
[name="Kal'tsit"]  Do you understand the consequences of your actions—
[name="켈시"]  너의 행동이 어떤 결과를 초래할지 알고 있기는 한 거야……?

[name="“皇帝的利刃”"]  ——后果？
[name="「皇帝の利刃」"]  ――結果？
[name="'Emperor's Blade'"]  —Consequences?
[name="'황제의 칼날'"]  ……결과?

[name="“皇帝的利刃”"]  放弃你软弱的威胁，我双足站立之地，便是乌萨斯的伟大国土。
[name="「皇帝の利刃」"]  下手な脅しはやめろ。どこであろうと、私がこの両足で踏み締めているのならば、そこはすなわち偉大なるウルサスの国土だ。
[name="'Emperor's Blade'"]  Your threat is weak and empty. Wherever I stand, the earth beneath me belongs to the Empire of Ursus.
[name="'황제의 칼날'"]  알량한 위협 따윈 집어치워. 내 두 발이 서 있는 곳이 곧 우르수스의 위대한 땅이다.

[name="“皇帝的利刃”"]  在你说出“邪魔”二字之前，你甚至都没有与我对话的资格，叛国者。而稍后，我将会清楚你为何知道这最黑暗的秘密......
[name="「皇帝の利刃」"]  逆徒よ……貴様が「悪魔」という言葉を発するまで、貴様には私と口をきく資格すらなかった。これから、なぜ貴様がその暗きところに隠された秘密を知っているかはっきりさせる……
[name="'Emperor's Blade'"]  You never had the right to address me, traitor, not before the word 'demon' left your lips. Soon, I will beat out of you how you came to know this secret...
[name="'황제의 칼날'"]  네가 '데몬'이라는 단어를 꺼내기 전까지 네겐 나와 대화할 자격도 없었다, 반역자. 하지만 이제부터, 네가 어떻게 가장 어두운 비밀을 알고 있는지 말하게 될 거다.

[name="“皇帝的利刃”"]  你以为你对“邪魔”的了解足够建立起对话的余地？你背负着弑杀一位乌萨斯大公的罪责，又通晓了至暗的秘密。
[name="「皇帝の利刃」"]  「悪魔」への理解があれば、対話する余地があるとでも思っているなら大間違いだ。貴様は一人のウルサスの大公を暗殺した罪を背負い、最も秘匿されるべき秘密まで知っている。
[name="'Emperor's Blade'"]  Your understanding of the 'demons' does not grant you a dialogue. You murdered an Ursus Grand Duke, and you know of our darkest secrets.
[name="'황제의 칼날'"]  네가 '데몬'에 대해 뭔가 좀 안다고 나와 대화의 여지가 생겼다고 착각하는 건 아닌가? 너는 우르수스 대공을 시해한 죄를 지었고, 또 어둠의 비밀도 알고 있지.

[name="“皇帝的利刃”"]  嘶......诸多罪行，足以令你死上万次。
[name="「皇帝の利刃」"]  スゥー……貴様の犯した数々の罪、万死に値する。
[name="'Emperor's Blade'"]  Your countless crimes... are worthy of a thousand deaths.
[name="'황제의 칼날'"]  스으으으…… 그 모든 죄행은 천만번을 죽어도 마땅하다.

[name="凯尔希"]  ......看来我们暂且说服不了对方。
[name="ケルシー"]  ……どうやら説得するのは無理そうだな、お互いに。
[name="Kal'tsit"]  It seems we won't be convincing each other for the moment.
[name="켈시"]  ……아무래도 말이 잘 안 통하는 것 같군.

[name="凯尔希"]  但这仅限于......你对现状的评估。
[name="ケルシー"]  だがそれは……お前が現状をそう評価しているからにすぎないが。
[name="Kal'tsit"]  Though that applies only to... your evaluation of the situation on hand.
[name="켈시"]  하지만 이건…… 현 상황에 대한 네 평가에 불과해.

[name="“皇帝的利刃”"]  异类，唤出你的爪牙！
[name="「皇帝の利刃」"]  異端め、貴様の下僕を呼び出すがいい！
[name="'Emperor's Blade'"]  Beast, bare your fangs!
[name="'황제의 칼날'"]  이단 녀석, 네 졸개를 불러내라!

[name="“皇帝的利刃”"]  你瞒不住我！
[name="「皇帝の利刃」"]  不意をつこうとしても無駄だ！
[name="'Emperor's Blade'"]  You can't fool me!
[name="'황제의 칼날'"]  날 속일 순 없을 거다!

[name="凯尔希"]  ......Mon3tr。
[name="ケルシー"]  ……Mon3tr。
[name="Kal'tsit"]  Mon3tr...
[name="켈시"]  ……Mon3tr.

[name="Mon3tr"]  （躁动的嘶鸣）
[name="Mon3tr"]  （苛立つような雄たけび）
[name="Mon3tr"]  (Impatient braying)
[name="Mon3tr"]  크르르르르!!!!!

[name="凯尔希"]  Mon3tr，别轻敌。
[name="ケルシー"]  Mon3tr、敵を甘く見るなよ。
[name="Kal'tsit"]  Mon3tr, do not underestimate him.
[name="켈시"]  Mon3tr, 침착해.

[name="凯尔希"]  他并非普通人类。
[name="ケルシー"]  あいつは普通の人間ではない。
[name="Kal'tsit"]  He's no normal human.
[name="켈시"]  상대는 평범한 인간이 아니야.

[name="“皇帝的利刃”"]  藏在花园之中的......装置？不......那本身，是一只生物......嘶......
[name="「皇帝の利刃」"]  庭園に……何か装置が隠されていたのか？　いや……あれ自体が、生物なのか……スゥー……
[name="'Emperor's Blade'"]  You hid a device here in the garden... No... a creature...? *Hiss*...
[name="'황제의 칼날'"]  정원에 숨겨놓은…… 장치? 아니…… 저건, 생물 그 자체로군…… 스으으으……

[name="“皇帝的利刃”"]  你知晓“邪魔”，现在，又有一只连乌萨斯最深远的知识也未曾触及的怪物环伺身边......
[name="「皇帝の利刃」"]  貴様は「悪魔」を知っている。そして、ウルサスの最も深遠なる知によってさえ未知の化け物が、貴様のそばで様子をうかがっている……
[name="'Emperor's Blade'"]  You know of the 'demons,' and you have a monster serving you. One that Ursus's vast knowledge is yet unaware of.
[name="'황제의 칼날'"]  너는 '데몬'을 알고 있을뿐더러, 우르수스의 가장 깊은 지식마저 모르는 괴물을 두고 있었군……

[name="“皇帝的利刃”"]  或许，你犯下的累累罪行已经超过了我的预想。
[name="「皇帝の利刃」"]  ……貴様が犯した罪は、もはや私の予想を遥かに超えているのかもしれない。
[name="'Emperor's Blade'"]  Perhaps your crimes have far exceeded my expectations.
[name="'황제의 칼날'"]  어쩌면 네가 지금까지 범한 죄행은 내 예상을 훌쩍 뛰어넘었을지도 모르겠군.

[name="凯尔希"]  又或者，我令一个内卫，感到震撼。
[name="ケルシー"]  どうやら一近衛兵にとっては、大きな衝撃だったようだな。
[name="Kal'tsit"]  Or perhaps I managed to make an impression on a Royal Guard.
[name="켈시"]  어쩌면 내가 황제의 근위병을 놀라게 한 건지도 모르겠네.

[name="“皇帝的利刃”"]  ......嘶。
[name="「皇帝の利刃」"]  ……スゥー。
[name="'Emperor's Blade'"]  *Hiss*...!
[name="'황제의 칼날'"]  스으으으……

[name="“皇帝的利刃”"]  我不否认，叛国者。
[name="「皇帝の利刃」"]  否定はしない、逆徒よ。
[name="'Emperor's Blade'"]  I won't deny it, traitor.
[name="'황제의 칼날'"]  부인하지 않겠다, 반역자.

[name="“皇帝的利刃”"]  但现在我愈发好奇，是什么能驱使你这样的人背叛祖国......不，不，又或者，我仓促的调查并没能发掘你的全貌。
[name="「皇帝の利刃」"]  だがますます興味深い。一体何が貴様に祖国を裏切らせたのか……いや、違うな。おそらく、拙速な調査などでは貴様の正体を暴けていないのだろう。
[name="'Emperor's Blade'"]  But you have my curiosity. What drove you to betray our homeland...? No, no... Perhaps... my investigations did not fully uncover your entire past.
[name="'황제의 칼날'"]  내게 가장 흥미로운 것은, 대체 무엇 때문에 네놈이 조국을 배신했는지다…… 아니, 아니지. 어쩌면 급하게 조사하느라 네 정체를 밝혀내지 못했을 수도 있겠군.

[name="“皇帝的利刃”"]  看来确实如此，比起那些逃往萨米的罪人，你确实留有一手。
[name="「皇帝の利刃」"]  どうやらそうらしいな。サーミに逃げた罪人たちに比べると、確かに貴様は一味違う。
[name="'Emperor's Blade'"]  And it looks like that is indeed the case. Unlike the criminals who escaped to Sami, it appears you still have a trick up your sleeve.
[name="'황제의 칼날'"]  아무래도 그런 것 같군. 사미로 달아난 죄인들에 비하면 너는 확실히 한 수 위다.

[name="“皇帝的利刃”"]  但千万别会错意了......要杀你，依旧易如反掌。
[name="「皇帝の利刃」"]  だが勘違いするな……貴様を殺すなど、造作もないことだ。
[name="'Emperor's Blade'"]  Do not get the wrong idea... It is hardly a difficult matter... to kill you.
[name="'황제의 칼날'"]  그렇다고 오해하진 마라…… 널 죽이는 건 여전히 식은 죽 먹기니까.

[name="凯尔希"]  ......你在浸染这里的空间？
[name="ケルシー"]  ……辺りが黒く染まってきているようだが？
[name="Kal'tsit"]  I suppose it's why you are staining this area around us?
[name="켈시"]  ……주변 공간을 침식하고 있는 건가?

[name="“皇帝的利刃”"]  我自有分寸，不劳外人提醒。
[name="「皇帝の利刃」"]  限度は把握している。貴様に口を出されるまでもない。
[name="'Emperor's Blade'"]  You needn't concern yourself. I know what I am doing.
[name="'황제의 칼날'"]  네가 굳이 알려줄 필요는 없다.

[name="凯尔希"]  ——Mon3tr！
[name="ケルシー"]  ――Mon3tr！
[name="Kal'tsit"]  —Mon3tr!
[name="켈시"]  Mon3tr!

[name="Mon3tr"]  （悲鸣）——
[name="Mon3tr"]  （悲鳴）――
[name="Mon3tr"]  (Wailing)—
[name="Mon3tr"]  (구슬프게 울부짖으며) 크르르……

[name="“皇帝的利刃”"]  嘶......竟坚硬至此？
[name="「皇帝の利刃」"]  スゥー……これほどまでに硬いとは。
[name="'Emperor's Blade'"]  *Hiss*... I did not expect it to be this hard.
[name="'황제의 칼날'"]  스으으으…… 이토록 단단하다니.

[name="“皇帝的利刃”"]  倘若你的血肉之躯也有这般强度，我的确无从下手。
[name="「皇帝の利刃」"]  貴様の肉体も同じ強度なら、確かに手の下しようがないな。
[name="'Emperor's Blade'"]  If your own flesh and blood is also as hardened, then, indeed, it makes you a formidable foe.
[name="'황제의 칼날'"]  네 몸뚱이도 이렇게 단단하다면 확실히 어찌할 도리가 없겠군.

[name="凯尔希"]  Mon3tr，回来，不要深追。
[name="ケルシー"]  Mon3tr、戻ってこい。深追いするな。
[name="Kal'tsit"]  Mon3tr, come back. Don't chase after him.
[name="켈시"]  Mon3tr, 돌아와. 너무 쫓지 마라.

[name="凯尔希"]  避开那些黑色的烟雾。那根本就不是烟雾。
[name="ケルシー"]  その黒い煙は避けろ。それはそもそも煙じゃない。
[name="Kal'tsit"]  Avoid the black mist. That's not mist at all.
[name="켈시"]  저 검은 연기를 피해. 저건 연기가 아니야.

[name="凯尔希"]  这甚至超过了常规法术的范畴......看来我的确太久未曾接触过帝国的利刃，你们进步神速。
