0:00 A.M.    天气/沙尘
[name="Rat King"]   I'm hurt.
[name="래트킹"]   그거 참 섭하구먼.

[name="鼠王"]   ——
[name="鼠王"]   ——。
[name="Rat King"]   ......
[name="래트킹"]   ……

[name="董阿伯"]   ......这是阿发的墓，你也许不认识吧。
[name="董"]   ……これはファーの墓だ、アンタは知らねぇだろうが。
[name="Uncle Tung"]   ...This is Ah Faat's grave. You probably don't know him.
[name="동씨 아저씨"]   ……이건 아팟의 묘라네. 자넨 아마 모르겠지만.

[name="董阿伯"]   这是癞子陈的，这是假阎王的。
[name="董"]   これはハゲ陳、こっちは偽閻魔の。
[name="Uncle Tung"]   This one's Rascally Chan's, and over here is Fake Yama.
[name="동씨 아저씨"]   여기는 막가파 첸씨, 그리고 여긴 가염파 왕씨의 묘지.

[name="董阿伯"]   后边住着老吴和铁疯子，还有安老八，安老八家里有钱，给他安置在山坡上了。
[name="董"]   あと後ろには呉さんと鉄狂人、それと安八だが、家が金持ちでな、そいつを山腹に安置した。
[name="Uncle Tung"]   Then in the back is Old Wu and the Steel Psycho, plus Lucky On. Lucky On's family was rich, so he got the hillside plot.
[name="동씨 아저씨"]   뒤에 있는 건 오씨랑 미치광이 철씨, 그리고 저긴 안씨네 여덟째 묫자리네. 안 형네는 돈이 많아서, 묘를 언덕 위에 안치했더군.

[name="鼠王"]   人很多。
[name="鼠王"]   知り合いが多いのじゃな。
[name="Rat King"]   So many.
[name="래트킹"]   많이들 갔구먼.

[name="董阿伯"]   还好，至少都是邻居。我们也该想想以后的住处了。
[name="董"]   まぁな、みんなご近所さんだ。俺らもここに入る時のことを、少しは考えるべきかもな。
[name="Uncle Tung"]   At least they're all neighbors. We should think about where we'll stay too.
[name="동씨 아저씨"]   괜찮아, 다 이웃인데 뭐, 그리고 인제 우리도 슬슬 머물 곳을 생각해둬야지.

[name="鼠王"]   现在想这个还太早了，还是说，你其实得了什么绝症？
[name="鼠王"]   いま考えるのはまだ早いじゃろう。それとも、実は不治の病でも抱えておるのか？
[name="Rat King"]   I think it's still too early for that. Or are you trying to tell me you've got some terminal illness?
[name="래트킹"]   그런 걸 생각하기엔 아직 너무 이르지 않나? 아니면, 무슨 죽을병이라도 걸린 겐가?

[name="董阿伯"]   也不早了。我们活得不够久，所以总觉得自己经历了很多大风大浪。
[name="董"]   早くはないだろ。俺たちはまだまだこれからだ、若いうちはちょっとしたことがあっただけで波乱万丈に感じるもんだ。
[name="Uncle Tung"]   It's not early. We don't live long enough, so it always feels like we've been through tough times.
[name="동씨 아저씨"]   이르긴 무슨, 우리 수명은 그리 길지 않아. 그래서 그런가, 지금까지 풍파를 너무 많이 겪었나… 싶기도 하고.

[name="董阿伯"]   像我这种人，兄弟们用命把我们救下来了，过几天安稳日子，回头再想想自己这辈子——
[name="董"]   俺みたいな奴はよ、仲間たちが命がけで救ってくれて、それから平穏な暮らしができている。今になってふと人生を振り返ってみれば――
[name="Uncle Tung"]   Like me. Our brothers gave their lives for us. But now that I've settled down, I look back and reflect on my life...
[name="동씨 아저씨"]   나 같은 놈 살리겠다고 형제들은 목숨 바쳐 구해줬었는데… 평온한 날들을 보내다 문득 내 인생을 되돌아보니…

[name="董阿伯"]   好像也没多大个事，毕竟干大事的，都过不上安稳日子了。
[name="董"]   別に大したことなかったなって思うわけよ。本当に大したことを成し遂げる奴ってのは、平穏な暮らしなんかとは無縁だろうからな。
[name="Uncle Tung"]   And nothing seems like that big a deal anymore. If there was anything really that big, I wouldn't be able to enjoy a peaceful life.
[name="동씨 아저씨"]   별 큰일을 하지도 않은 것 같더라고. 하긴, 애초에 큰일을 했으면 이리 평온하게 지낼 수도 없었겠지만.

[name="鼠王"]   搞什么，卖个鱼丸卖得大彻大悟了？
[name="鼠王"]   何を言っとるんじゃ。魚団子をこねすぎて、悟りでも開いたのか？
[name="Rat King"]   Oh my. Did selling finballs bring you such enlightenment?
[name="래트킹"]   어묵 팔다가 깨달음이라도 얻으셨나? 이 양반이 갑자기 왜 이래?

[name="董阿伯"]   说实话，买菜涨价比黑手党要命的多。
[name="董"]   そうかもな。正直に言うとな、マフィアなんかよりも食材の値上がりの方がよほど大変だぜ。
[name="Uncle Tung"]   Honestly, food price inflation is a lot more dangerous to me than the mob.
[name="동씨 아저씨"]   솔직히 말해서, 이젠 마피아보다 채솟값 오르는 게 더 무서워.

[name="董阿伯"]   ......头儿，你真不考虑让我以后做你邻居？我看这里风水奇好，听说墓地联买会便宜不少。
[name="董"]   ……なぁお頭、本当に俺とご近所さんにならねぇか？　ここは風水が上等だし、聞くところによると、墓地も「まとめ買い」の方が安くなるらしいじゃねぇか。
[name="Uncle Tung"]   ...Dai Lo, won't you be my neighbor here? The Feng Shui is excellent, and I hear you get a better deal buying the plots in pairs.
[name="동씨 아저씨"]   두목 형씨…… 정말 나랑 이웃할 생각 없어? 여기 풍수지리가 나름 괜찮다더라, 공동구매하면 값도 많이 싸지는데.

[name="鼠王"]   够了没？
[name="鼠王"]   まだ言うか？
[name="Rat King"]   Are you done?
[name="래트킹"]   그만하지?

[name="董阿伯"]   开个玩笑，玩笑。哎，你好歹还有个女儿，我就是个孤家寡人咯。
[name="董"]   冗談さね、冗談。全く、アンタにはちゃんと娘がいるだろう。俺なんか寂しい独り身だぞ。
[name="Uncle Tung"]   I'm joking. It's a joke. Aiya. At least you have a daughter. I'm going to die alone.
[name="동씨 아저씨"]   농담이야, 농담. 에휴… 자넨 그나마 딸이라도 있지, 나는 그냥 독거노인이잖나.

[name="鼠王"]   不是有贫民窟的那些孩子跟着你吗？还有那个叫阿孑的小子。
[name="鼠王"]   スラムの子供たちが、お主になついているではないか？　それからあのジェイ坊とか言う若者もおるじゃろ。
[name="Rat King"]   You have all the kids in the slums with you, don't you? And that Ah Fil boy.
[name="래트킹"]   슬럼가에는 자네를 따르는 아이들이 있지 않나? 누구더라 그, 제이라는 녀석도 있고.

[name="董阿伯"]   和血亲终究是不一样的，老了之后，才会真正意识到这点。
[name="董"]   血筋の違いはどうにもならねぇよ。この歳になると、ようやく実感するもんだぜ。
[name="Uncle Tung"]   But there's no blood. It makes a difference when you get old.
[name="동씨 아저씨"]   그래도 자기 피붙이랑 같나. 늙고 나서야 확실히 깨달았어.

[name="董阿伯"]   ——所以你要活得比我久一点，但也不要太久，稍微久一点就好，我在下面等你。
[name="董"]   ——だからアンタには俺より長生きして欲しいんだ。けどな、長すぎるのはダメだ。少しだけぐらいがちょうどいい。俺は下で待ってるからよ。
[name="Uncle Tung"]   ...So you have to outlive me, a bit. Not too much. Just a bit. I'll wait for you down there.
[name="동씨 아저씨"]   ……그러니까 자넨 나보단 오래 살아야 해. 그래도 너무 오래는 말고, 나보다 조금만 더 오래 살다 와. 내가 밑에서 기다리고 있을 테니까.

[name="鼠王"]   ......你是铁了心要找机会呛我？
[name="鼠王"]   ……お主、どうしてもこの話がしたいんだな？
[name="Rat King"]   Are you always looking for ways to needle me?
[name="래트킹"]   자네…… 지금 작정하고 이러는 겐가?

[name="鼠王"]   说起来，过会还要再去见个老朋友，要来喝一杯吗？
[name="鼠王"]   そういえば、後でもう一人の旧友に会いに行くのじゃが、一杯飲みに来ぬか？
[name="Rat King"]   By the way, I'm meeting an old friend later tonight. Would you like to join us for a drink?
[name="래트킹"]   그나저나, 잠시 후에 옛 친구를 보러 갈 건데, 같이 한잔할 텐가?

[name="董阿伯"]   不了，我怕阿孑那小子真的去惹事，得去看着点。
[name="董"]   いや、止めておくさ。ジェイの小僧が面倒事に首を突っ込んでないか気になってな、ちっとばかし見に行ってやらねえと。
[name="Uncle Tung"]   No thanks. I'm worried Ah Fil is off getting himself into trouble. I'd better look into it.
[name="동씨 아저씨"]   술은 됐네. 제이 녀석이 진짜 사고라도 쳤을까 걱정돼서 가봐야겠어.

[name="鼠王"]   我会帮你看着点的。
[name="鼠王"]   心配せんでよい、ワシが見ておいてやろう。
[name="Rat King"]   I'll look into it for you.
[name="래트킹"]   그럼, 내가 대신 가 봐주도록 하지.

[name="董阿伯"]   可我还剩几个活着的老朋友？不都在这儿了吗？
[name="董"]   俺に生きてる旧友なんてまだいると思うか？　みんなここで眠ってるよな？
[name="Uncle Tung"]   And how many old friends do I have left? I think they're all down there.
[name="동씨 아저씨"]   그리고 말이야, 나한테 살아있는 옛 친구가 남아 있긴 하나? 다 여기 있잖아?

[name="鼠王"]   还有一个。
[name="鼠王"]   なに、まだ一人おるじゃろ。
[name="Rat King"]   You have one.
[name="래트킹"]   한 명 더 있지.

[name="董阿伯"]   ——我和姓魏的聊不来，和他打交道久了，真的会短命的。
[name="董"]   ——俺はウェイの奴とは相性悪ぃんだよ。あいつと長く付き合ってると、本当に寿命が縮む。
[name="Uncle Tung"]   I can't talk with the one called Wei. I've been dealing with him a long time. It would be very short-lived.
[name="동씨 아저씨"]   ……성씨가 '웨이'인 그 양반 얘기하는 거라면 관두게. 나랑은 안 맞아. 같이 있으면 진짜 제 명엔 못 살 게야.

[name="鼠王"]   但当年帮魏彦吾挡下一枚流弹，这辈子都没法直着腿走路的人，是你。
[name="鼠王"]   だがあの時ウェイを流れ弾から守り、一生まともに歩けなくなった奴は、お主自身じゃろうが。
[name="Rat King"]   But you took a bullet for Wei Yenwu. It's why you can't walk straight anymore.
[name="래트킹"]   하지만 그 웨이옌우를 위해 총알을 막다가 평생 똑바로 못 걷게 된 건 바로 자네지 않나.

[name="董阿伯"]   你以为我想吗？靠，别提这件事，我一直感觉自己亏惨了。
[name="董"]   俺がしたくてやったと思ってるのか？　クソッ、あれを思い出させるなよ。俺は今でもずっと損したと思ってんだ。
[name="Uncle Tung"]   You think I don't know? Feh, I don't want to talk about this. It always makes me feel wretched.
[name="동씨 아저씨"]   나라고 그러고 싶었는 줄 알아? 젠장, 그 얘기는 꺼내지도 말어. 내가 너무 밑지는 장사를 했어.

[name="董阿伯"]   ......但至少龙门可以直着腿走路了，也不亏吧。
[name="董"]   ……まぁ、でもよ。この龍門がちゃんと歩けるようになったことを考えれば、この損も悪くねぇな。
[name="Uncle Tung"]   ...But at least Lungmen can walk straight. At least she's not wretched.
[name="동씨 아저씨"]   ……하지만 적어도 용문은 멀쩡하니, 따지고 보면 그렇게 손해는 아닌가.

[name="鼠王"]   你啊，一点没变，不过这样也好。
[name="鼠王"]   お主は少しも変わらぬな。それがお主の良いところでもあるが。
[name="Rat King"]   You're the same as you ever were. And I guess that's a good thing.
[name="래트킹"]   자넨 정말 조금도 변하지 않았구먼그래, 뭐 그것도 나쁘지 않지.

[name="鼠王"]   你要是真的不想见他，就先走吧。
[name="鼠王"]   本当に奴に会いたくないのなら、先に行ってくれて構わぬぞ。
[name="Rat King"]   If you've really seen enough of him, then you better be on your way.
[name="래트킹"]   정말 만날 생각이 없다면, 먼저 일어나시게.

[name="鼠王"]   而且他见到你，我怕也没什么话说。
[name="鼠王"]   まぁ、奴とてお主に会ったところで、話すことは何もないのかもしれぬな。
[name="Rat King"]   And even if he did see you, he probably wouldn't know what to say.
[name="래트킹"]   하긴, 웨이옌우도 딱히 자네랑 할 말은 없겠군.

[name="董阿伯"]   你总算肯放我走了，我好歹也是个伤员，林。
[name="董"]   やっと俺を解放する気になったか？　俺はこう見えてもな、一応負傷兵なんだぜ、リンさんよ。
[name="Uncle Tung"]   You finally let me go, Lin, this poor old wounded man.
[name="동씨 아저씨"]   드디어 보내주는구먼, 이래 봬도 나도 부상자라고, 린.

[name="鼠王"]   ......
[name="鼠王"]   ……。
[name="Rat King"]   ......
[name="래트킹"]   ……

[name="鼠王"]   姓董的。
[name="鼠王"]   董や。
[name="Rat King"]   Mr. Tung.
[name="래트킹"]   동씨.

[name="董阿伯"]   没听见。
[name="董"]   聞こえねぇよ。
[name="Uncle Tung"]   What's that?
[name="동씨 아저씨"]   안 들려.

[name="鼠王"]   活久一点，多卖点鱼丸。
[name="鼠王"]   お主は少しでも長く生きて、ちゃんと商売をするのだぞ。
[name="Rat King"]   Live a while longer. Sell some more finballs.
[name="래트킹"]   오래 사시게. 어묵도 많이 팔고.

[name="鼠王"]   先考虑在龙门买个门面，开家店，收几个徒弟，然后再想想棺材搁哪儿，不着急。
[name="鼠王"]   まずこの龍門で店舗を買って店を開け。そして弟子を取るのだ。棺桶をどこにしまうか、そんなコトはまた後で考えればいい。
[name="Rat King"]   Buy yourself a building, open a restaurant, take a few apprentices, and then maybe think about where to put your coffin. There's no rush.
[name="래트킹"]   일단 용문에서 가게도 하나 차리고, 제자도 좀 받아. 묫자리 생각하는 건 그다음에 해도 늦지 않아.

[name="鼠王"]   鼠王还活着，轮不到你们送死。
[name="鼠王"]   ワシがまだ死んでおらん限り、お主らもちゃんと生きるんじゃ。
[name="Rat King"]   The Rat King still lives. It's not your turn to die yet.
[name="래트킹"]   래트킹이 아직 살아있으니… 자네들은 아직 죽을 때가 아닐세.

[name="董阿伯"]   ......得嘞。
[name="董"]   ……へいへい、分かったよ。
[name="Uncle Tung"]   ...fine.
[name="동씨 아저씨"]   ……그래.

