古米是宿舍里第二个醒来的人，她有个习惯。
グムは、ズィマー、イースチナとの三人が暮らす宿舎で二番目に目覚める。彼女には習慣がある。
Gummy is the second one in her dorm to wake up every morning. And she has a habit.
숙소에서 두 번째로 빨리 일어나는 굼에게는 습관이 하나 있다.

一旦被真理叫醒，她就会握握真理的手，然后用同样的方法到隔壁去叫醒凛冬。
イースチナに起こされると、彼女の手を握り、同じ方法で隣のベッドのズィマーを起こすのだ。
As soon as Istina wakes her, they share a handshake. Gummy then goes next door to wake Zima in the same fashion.
이스티나가 굼을 깨우면, 굼은 이스티나의 손을 꼭 잡고 같은 방식으로 옆방의 지마를 깨운다.

至于凛冬握不握她的手，纯看“冬将军”醒来时的心情。
ただし、ズィマーが彼女の手を握るかどうかは、「冬将軍」が目覚めた時の機嫌次第ではあるが。
Whether "The General" decides to shake her hand or not depends entirely on her mood.
지마가 그녀의 손을 잡느냐 잡지 않느냐로, '동장군'이 깨어났을 때의 컨디션을 확인할 수 있다.

6:30 a.m.
6:30 a.m.
6:30 a.m.
6:30 a.m.

罗德岛宿舍区  真理与古米的宿舍
[name="굼"]  어라?

[name="坚雷"]  古米你咬我腰干嘛？
[name="ジュナー"]  グム！　なんで急に腰に噛み付くの！
[name="Dur-nar"]  Gummy, why are you chewing on my hip?
[name="듀나"]  굼! 왜 내 허리를 물고 있는 거야!

[name="古米"]  啊，呃，唔唔。
[name="グム"]  えっ、うーん、あれれ？
[name="Gummy"]  Ah, mm, hmm...
[name="굼"]  아, 으윽…… 어라?

[name="古米"]  对不起教官！！！
[name="グム"]  ご、ごめんなさい教官！！！
[name="Gummy"]  S-sorry, Instructor!
[name="굼"]  교관님, 미안해!!

11:55 a.m.
11:55 a.m.
11:55 a.m.
11:55 a.m.

罗德岛食堂   用餐区
ロドス食堂 食事エリア
Rhodes Island Cafeteria - Dining Area
로도스 아일랜드 식당 - 식사 구역

[name="古米"]  （吞食面包）
[name="グム"]  （パンを丸呑み）
[name="Gummy"]  (Gummy is practically inhaling the bread in her hands...)
[name="굼"]  (빵을 먹는다.)

[name="古米"]  （一口闷汤）
[name="グム"]  （一口でスープを飲み干す）
[name="Gummy"]  (...washing it down with a swig of soup.)
[name="굼"]  (스프를 마신다.)

[name="坚雷"]  不，不急啊，古米，慢慢吃，下午还要训练呢，啊。
[name="ジュナー"]  あ、慌てないでグム。ゆっくりよく噛んで食べなさい。午後には訓練もあるんだから。
[name="Dur-nar"]  C-calm down, Gummy, the food’s not going anywhere. And we got training in the afternoon, y’know.
[name="듀나"]  굼, 천천히 먹어. 오후에도 훈련 있잖아, 정말이지…

[name="古米"]  （光盘行动）
[name="グム"]  （きれいに平らげる）
[name="Gummy"]  (She doesn’t leave a single scrap on her plate...)
[name="굼"]  (식판을 비운다.)

[name="古米"]  （再来一份）
[name="グム"]  （おかわり）
[name="Gummy"]  (...and doesn’t hesitate to reach for seconds.)
[name="굼"]  (한 그릇 더 가져온다.)

[name="坚雷"]  古米？
[name="ジュナー"]  グム？
[name="Dur-nar"]  Gummy?
[name="듀나"]  굼?

[name="古米"]  （横扫千食）
[name="グム"]  （食べ物バキューム）
[name="Gummy"]  (In no time, she’s gobbled up an entire table full of food.)
[name="굼"]  (눈 깜짝할 사이에 음식을 먹어 치운다.)

[name="坚雷"]  看来现在不太方便打扰她呢......
[name="ジュナー"]  今は話しかけない方がいいみたいね……
[name="Dur-nar"]  Guess you’re not feeling talkative...
[name="듀나"]  아무래도 지금은 방해하면 안 되겠네……

[name="坚雷"]  等一会好了。
[name="ジュナー"]  小言は後にしましょ。
[name="Dur-nar"]  I’ll get back to you later.
[name="듀나"]  조금 더 기다려야겠다.

[name="古米"]  唔啊，终于活过来了！
[name="グム"]  ふわぁ、生き返った！
[name="Gummy"]  Whew. I feel like a whole new Gummy!
[name="굼"]  으아, 이제 좀 살 것 같다!

[name="古米"]  教官，你不饿吗？
[name="グム"]  あれ？　教官は食べないの？　お腹空いてないの？
[name="Gummy"]  Instructor, don’t you want to eat?
[name="굼"]  교관님, 배 안 고파?

[name="坚雷"]  饿啊，只是我刚把吃的拿过来，就到你肚子里了。
[name="ジュナー"]  そりゃもちろん空いてるけど、私が持ってきた料理は全部あなたのお腹の中よ。
[name="Dur-nar"]  Sure do. But somehow all the food I brought out disappeared into your belly.
[name="듀나"]  고프지. 내가 가져온 음식을 네가 몽땅 먹어버렸으니까.

[name="古米"]  对不起教官！！
[name="グム"]  えっ、ごめんなさい教官！！
[name="Gummy"]  I’m so sorry, Instructor!!
[name="굼"]  미안해!!

[name="坚雷"]  没事没事，我再去拿就好了。
[name="ジュナー"]  いいわよ、また取ってくればいいだけだから。
[name="Dur-nar"]  Don’t worry about it, I can always get more.
[name="듀나"]  괜찮아, 괜찮아. 다시 가져오면 되니까.

[name="坚雷"]  不过，你怎么会饿成这样，早饭没好好吃吗？
[name="ジュナー"]  でも、そこまでお腹を空かせてたなんてね。朝ご飯食べてないの？
[name="Dur-nar"]  By the way, how’d you end up so hungry? You skip breakfast or something?
[name="듀나"]  그런데, 왜 그렇게 굶주렸던 거야? 아침 안 먹었어?

[name="古米"]  今天早上醒晚了，没来得及吃饱，所以就......
[name="グム"]  今日の朝はちょっと寝坊しちゃって、食べる時間がなかったの。だから……
[name="Gummy"]  I overslept this morning and didn’t have time to eat, so...
[name="굼"]  늦잠을 자서 밥 먹을 시간이 없었어. 그래서……

[name="坚雷"]  你啊，或许是那种吃不饱的类型哦。
[name="ジュナー"]  なるほどね。それにしても、すごい量を食べたわね。あなたはもしかすると、どれだけ食べても食べ足りないってタイプかもね。
[name="Dur-nar"]  Y’know, you might just be that type of girl. With a bottomless pit for a stomach.
[name="듀나"]  너는 어쩌면 포만감을 느끼지 못하는 타입일지도 모르겠네.

[name="古米"]  是吗？
[name="グム"]  そうなの？
[name="Gummy"]  Really?
[name="굼"]  그래?

[name="坚雷"]  是哦，就像那边那个一样。
[name="ジュナー"]  ええ、たぶん。あそこのあの子と同じで。
[name="Dur-nar"]  Yup, just like that one over there.
[name="듀나"]  그래. 저 녀석처럼 말이야.

[name="古米"]  小刻怎么又开始往厨房冲了？！我得——
[name="グム"]  ケーちゃん……どうしてまたキッチンに行こうとしてるの！？　グムが――
[name="Gummy"]  Kay? She’s charging the kitchen again?! I better—
[name="굼"]  케오, 왜 또 주방으로 가는 거지?! 굼이……

[name="坚雷"]  没事没事，厨房有人专门负责盯着她，门口也专门放了些好吃的来做缓冲，就算溜进去，也没多大影响。
[name="ジュナー"]  大丈夫大丈夫、キッチンには専属の見張り役がいるし、入り口にもおやつを置いて足止めできるようにしてあるから。中に入られても大きな影響は出ないはずよ。
[name="Dur-nar"]  Relax, we got someone keeping an eye on her. Plus, they laid out some goodies near the door just in case she gets in. She won’t make it to anything important.
[name="듀나"]  주방에도 감시하는 사람이 있으니까 괜찮아. 입구에도 음식을 좀 놔뒀으니까, 들어가더라도 별 문제는 없을 거야.

[name="古米"]  我还以为厨房门口的零食篮是给大家上岗前充饥用的。
[name="グム"]  あのおやつカゴ？　あれは仕事前に腹ごしらえするためのものだって思ってたよ。
[name="Gummy"]  Oh, I thought those were welcome baskets for new recruits...
[name="굼"]  주방 입구에 있는 간식 바구니, 난 또 일하기 전에 배고프면 먹으라고 놔둔 줄 알았지 뭐야.

[name="坚雷"]  也有这部分因素在内吧，只要达到效果就行。
[name="ジュナー"]  そのためでもあるだろうけど、効果があればいいのよ。
[name="Dur-nar"]  Yeah that too. Whatever gets the job done.
[name="듀나"]  그런 의미도 있지만, 효과만 있으면 충분해.

[name="坚雷"]  看，这不是出来了？
[name="ジュナー"]  ほら、出てきたでしょ？
[name="Dur-nar"]  See, she’s done.
[name="듀나"]  봐봐, 나왔지?

[name="坚雷"]  要是把那扇门封死，她肯定会很伤心的，偶尔让进进门，享受一下胜利，刻俄柏就添不了太多麻烦。
[name="ジュナー"]  もしあのドアを閉め切っちゃったら、あの子はきっと傷つくわ。たまには中に入れてあげて、勝利を経験させてあげないと。そうすればあの子もそこまで大きな面倒事は起こさないでしょうし。
[name="Dur-nar"]  If we sealed that door, it’d hurt her feelings. Letting her in every now and then lets her feel like she won. And it doesn’t cost us much.
[name="듀나"]  문이 닫혀서 못 들어가면 케오베는 분명히 속상해할 거야. 하지만 가끔 들어가서 승리를 만끽하게 해준다면, 케오베도 크게 민폐를 끼치지는 않겠지.

[name="古米"]  原来是这样。
[name="グム"]  そういうことだったんだ。
[name="Gummy"]  Oh...
[name="굼"]  그런 거였구나…

[name="古米"]  那，门口负责看着她的是谁呢？
[name="グム"]  じゃあ、見張り役っていうのは誰？
[name="Gummy"]  Um, so who’s in charge of keeping an eye on her?
[name="굼"]  그러면 입구에서 케오베를 감시하는 사람은 누구야?

[name="坚雷"]  今天的话，远山吧。
[name="ジュナー"]  今日はギターノのはずよ。
[name="Dur-nar"]  Gitano’s on duty today.
[name="듀나"]  오늘은 기타노였을걸?

[name="古米"]  原来如此，远山姐姐的话的确是什么都能预料到呢。
[name="グム"]  なぁるほど！　ギターノお姉ちゃんならきっと最初から、この結果もお見通しだね。
[name="Gummy"]  Good choice. She’s always got it together.
[name="굼"]  그렇구나. 기타노 언니라면 뭐든지 예측할 수 있을 테니까.

[name="坚雷"]  对了，我有个问题想问问你，和下午的训练也有些关系。
[name="ジュナー"]  そうだ。ねえグム、ひとつ聞きたいことがあるの。午後の訓練にも関わることなんだけど。
[name="Dur-nar"]  That reminds me, I have to ask you something. It has to do with training.
[name="듀나"]  맞아. 그러고 보니 오후 훈련 관련해서 묻고 싶은 게 좀 있는데.

[name="古米"]  嗯，您问吧教官。
[name="グム"]  うん、何でも聞いて。
[name="Gummy"]  Mm, sure. What is it?
[name="굼"]  응, 뭔데?

[name="坚雷"]  你好像没法连续快速地挥动手臂呢，能告诉我原因吗？
[name="ジュナー"]  あなたは腕を連続して素早く振れない、あるいは振らないようにしてるように見えるけど、理由を教えてくれる？
[name="Dur-nar"]  I notice you have trouble moving your arms, especially in quick, repetitive motions. Why is that?
[name="듀나"]  팔을 연속으로 빠르게 휘두르지 못하는 것 같은데, 이유를 알 수 있을까?

[name="古米"]  唉？
[name="グム"]  えっ？
[name="Gummy"]  Eh?
[name="굼"]  에?

[name="坚雷"]  实战的时候也是，在厨房做切配的时候也是，只要挥两下手就会顿住。
[name="ジュナー"]  実戦の時も、キッチンで包丁を使う時も、二回腕を振ったらそこで一旦止まるでしょ。
[name="Dur-nar"]  I’ve watched you in combat, and it’s the same in the kitchen. You get two good strokes in and then you have to stop.
[name="듀나"]  실전에서도, 주방에서 요리할 때도 마찬가지로, 두 번 휘두른 다음 멈추던데.

[name="古米"]  大概是......习惯吧。
[name="グム"]  多分……習慣……だと思うよ。
[name="Gummy"]  I guess... it’s a habit?
[name="굼"]  아마…… 습관일 거야.

[name="坚雷"]  习惯——吗。这可不是个好习惯，能试着矫正一下吗？
[name="ジュナー"]  習慣――ね。それなら仕方ないって言ってあげたいところだけど、良い習慣とは言えないわ。直るかどうか試してみない？
[name="Dur-nar"]  Huh—? Well, that’s a bad habit if I ever saw one. Can we fix it?
[name="듀나"]  습관이라…… 좋은 습관이 아닌데, 고칠 수 있을까?

[name="坚雷"]  战场上出现停顿可是会致命的。
[name="ジュナー"]  戦場で動きが止まっちゃうと命に関わるし――
[name="Dur-nar"]  Because stopping like that on the battlefield is gonna get you killed.
[name="듀나"]  전쟁터에서 멈춘다면 치명적인 일이 될 수도 있다고.

[name="坚雷"]  如果你能克服这个问题的话，下一届罗德岛切配大赛的冠军头衔说不定就是你的哦。
[name="ジュナー"]  もしそれが克服できれば、次のロドス包丁使い大会のチャンピオンの称号は、あなたに贈られるかもしれないわよ。
[name="Dur-nar"]  But if we can cure you, I’m sure you’ve got the next Rhodes Island Chopping Competition in the bag.
[name="듀나"]  이 문제를 극복한다면, 다음번 로도스 아일랜드 요리 대회의 우승자는 네가 될 수 있을지도?

[name="古米"]  ......
[name="グム"]  ……
[name="Gummy"]  ......
[name="굼"]  ……

[name="坚雷"]  不尝试一下吗？
[name="ジュナー"]  やってみない？
[name="Dur-nar"]  Give it a try?
[name="듀나"]  어때? 노력 한번 안 해볼래?

[name="古米"]  ......
[name="グム"]  ……
[name="Gummy"]  ......
[name="굼"]  ……

[name="古米"]  试试......看吧......
[name="グム"]  試して……みる……
[name="Gummy"]  Okay... I’ll try...
[name="굼"]  한번…… 해볼게……

[name="坚雷"]  好，那下午重装干员培训结束以后我们试试看。
[name="ジュナー"]  よし、じゃあ午後の重装オペレーターの研修が終わった後に、挑戦しましょ。
[name="Dur-nar"]  Good. We’ll get to it after defender practice.
[name="듀나"]  좋아. 그럼 오후에 디펜더 훈련 끝내고 한번 해보자.

[name="坚雷"]  能不能矫正，有没有效果到时候再说。
[name="ジュナー"]  効果があるかないかはやってみてからね。
[name="Dur-nar"]  We won’t know if we can fix that habit until we try.
[name="듀나"]  고칠 수 있을지, 효과가 있을지는 그때 이야기해 보자고.

[name="坚雷"]  现在的话。
[name="ジュナー"]  今はとにかく――
[name="Dur-nar"]  But for now...
[name="듀나"]  아무튼 지금은 일단……

[name="坚雷"]  先填饱肚子。
[name="ジュナー"]  お腹を満たしましょう。
[name="Dur-nar"]  We gotta eat.
[name="듀나"]  일단 먹고 보자.

[name="古米"]  嗯。
[name="グム"]  うん。
[name="Gummy"]  Yeah.
[name="굼"]  응.

3:00  p.m.
3:00  p.m.
3:00  p.m.
3:00  p.m.

罗德岛训练中心   重装干员训练室
ロドス訓練センター 重装オペレーター訓練室
Rhode Island Training Center - Defender Training Room
로도스 아일랜드 훈련 센터 - 디펜더 오퍼레이터 훈련실

[name="坚雷"]  这是今天最后的训练了，各位坚持一下。
[name="ジュナー"]  これが今日最後の訓練よ、みんな気合い入れて。
[name="Dur-nar"]  Last round of the day. Let’s power through.
[name="듀나"]  오늘의 마지막 훈련이야. 조금만 더 버텨.

[name="坚雷"]  平板支撑四组，计时——
[name="ジュナー"]  プランク四セット、用意――
[name="Dur-nar"]  I want four sets of planks, time—
[name="듀나"]  플랭크 4세트, 준비……

[name="坚雷"]  开始！
[name="ジュナー"]  始め！
[name="Dur-nar"]  Start!
[name="듀나"]  시작!

[name="坚雷"]  还有十秒！
[name="ジュナー"]  残り十秒！
[name="Dur-nar"]  Ten seconds!
[name="듀나"]  아직 10초 남았어!

[name="坚雷"]  三，二，一！
[name="ジュナー"]  三、ニ、一！
[name="Dur-nar"]  Three, two, one!
[name="듀나"]  3, 2, 1!

[name="坚雷"]  结束！
[name="ジュナー"]  そこまで！
[name="Dur-nar"]  Stop!
[name="듀나"]  끝!

[name="坚雷"]  今天的训练到此全部完成，各位可以去休息了。
[name="ジュナー"]  今日はこれでおしまい！　みんなゆっくり休んでね。
[name="Dur-nar"]  Okay, we’re done. Go cool off.
[name="듀나"]  오늘 훈련은 여기까지야. 모두 돌아가서 쉬어.

[name="重装干员们"]  耶！！！！
[name="重装オペレーターたち"]  はい！！！！
[name="Defender Operators"]  Woo!
[name="디펜더 오퍼레이터들"]  예!!!!

[name="坚雷"]  古米。
[name="ジュナー"]  グム。覚えてる？
[name="Dur-nar"]  Gummy.
[name="듀나"]  굼.

[name="古米"]  在，教官！
[name="グム"]  覚えてるよ、教官。
[name="Gummy"]  Yes, ma’am!
[name="굼"]  응, 교관님!

[name="坚雷"]  有时间吗，我们试一下中午说的事吧。
[name="ジュナー"]  じゃあお昼に話したこと、試してみましょ。
[name="Dur-nar"]  You ready? What we talked about at lunch?
[name="듀나"]  시간 있어? 점심에 얘기했던 거, 한번 해볼까?

[name="古米"]  好的教官！
[name="グム"]  うん！
[name="Gummy"]  Yes, ma’am!
[name="굼"]  알았어!

[name="坚雷"]  那我去拿训练盾，你用你趁手的武器就好。
[name="ジュナー"]  私は訓練用の盾を取ってくるわね。あなたは手頃な武器を使うといいわ。
[name="Dur-nar"]  I'll get the training shield, and you can use your weapon there.
[name="듀나"]  훈련용 방패를 가지고 올 테니까, 너는 네 손에 잘 맞는 무기를 쓰도록 해.

[name="坚雷"]  放松些，这样能对你恢复有所帮助。
[name="ジュナー"]  リラックスするのよ。その方がうまくいきやすいと思うから。
[name="Dur-nar"]  Now relax. That’s gonna be an important part of your rehab.
[name="듀나"]  긴장 풀어. 긴장하면 습관 못 고친다?

[name="古米"]  好的！
[name="グム"]  わかった！
[name="Gummy"]  Right!
[name="굼"]  알았어!

[name="坚雷"]  听好了古米，接下来你要试着用全力攻击我。
[name="ジュナー"]  いい？　グム。今から全力で、かつ連続で私に攻撃しなさい。
[name="Dur-nar"]  Okay, Gummy. I want you to hit me as hard as you can.
[name="듀나"]  잘 들어, 굼. 전력으로 나를 공격해 봐.

[name="坚雷"]  我知道刚刚训练完肯定很累，但就是这种时候才能对你有帮助。
[name="ジュナー"]  さっきの訓練でヘトヘトだろうけど、そんな状態だからこそ意味があるのよ。
[name="Dur-nar"]  I know you’re tired from afternoon training, but it’s actually the perfect time to work on this.
[name="듀나"]  막 훈련이 끝나서 힘든 건 알겠지만, 이럴 때야말로 큰 도움이 될 거야.

[name="坚雷"]  明白了吗。
[name="ジュナー"]  わかった？
[name="Dur-nar"]  You get me?
[name="듀나"]  알았어?

[name="古米"]  明白。
[name="グム"]  わかった。
[name="Gummy"]  I get you.
[name="굼"]  응응!

[name="坚雷"]  那好，来，把剩下的力气全用出来。
[name="ジュナー"]  よろしい。じゃあ残った力を全部ぶつけてきなさい。
[name="Dur-nar"]  Great. Now gimme whatever’s left in the tank.
[name="듀나"]  좋아. 그러면 온 힘을 다해봐라.

[name="古米"]  嘿哈！
[name="グム"]  たあっ！
[name="Gummy"]  Hyah!
[name="굼"]  흐압!

[name="坚雷"]  再来。
[name="ジュナー"]  もう一回。
[name="Dur-nar"]  Again.
[name="듀나"]  다시.

[name="古米"]  哈呀！
[name="グム"]  はあっ！
[name="Gummy"]  Hyah!
[name="굼"]  하아!

[name="坚雷"]  再来。
[name="ジュナー"]  もう一回。
[name="Dur-nar"]  Again.
[name="듀나"]  다시.

[name="古米"]  呀！
[name="グム"]  やあっ！
[name="Gummy"]  Nngh!
[name="굼"]  이얍!

[name="坚雷"]  再来，不许停！
[name="ジュナー"]  もう一回、手を止めるな！
[name="Dur-nar"]  Again! Keep going!
[name="듀나"]  다시. 멈추지 마!

[name="古米"]  哈！！
[name="グム"]  はっ！
[name="Gummy"]  Gah!!
[name="굼"]  하앗!!

[name="坚雷"]  再来！
[name="ジュナー"]  もう一回！
[name="Dur-nar"]  Again!
[name="듀나"]  다시!

[name="坚雷"]  （如果是条件反射和肌肉控制刚刚那几下应该挥下来了。）
[name="ジュナー"]  （ここまで疲れていたら、意思の力だけで筋肉をコントロールするのは難しいわ。普通なら勢いで三発目を振り下ろしてしまうはず。それなのに……）
[name="Dur-nar"]  (If it’s a conditioned reflex, that should have shaken out some more swings.)
[name="듀나"]  (방금 전 조건 반사나 근육의 상태를 보면, 몇 번은 더 휘두를 수 있을 것 같은데.)

[name="坚雷"]  （自己无意识收住了？）
[name="ジュナー"]  （どうして三発目が出ないの？）
[name="Dur-nar"]  (Is she stopping herself involuntarily?)
[name="듀나"]  (자신의 무의식에 사로잡힌 건가?)

[name="坚雷"]  （为什么？）
[name="ジュナー"]  （この子は、無意識に攻撃を止めてるってこと？）
[name="Dur-nar"]  (But why?)
[name="듀나"]  (왜지?)

[name="坚雷"]  古米，挥下来！
[name="ジュナー"]  グム、三発目を出しなさい！
[name="Dur-nar"]  Gummy, swing!
[name="듀나"]  굼, 휘둘러!

[name="古米"]  教官我做不到！
[name="グム"]  できないよ！
[name="Gummy"]  I can’t do it!
[name="굼"]  못 하겠어!

[name="坚雷"]  挥啊！
[name="ジュナー"]  やりなさい！
[name="Dur-nar"]  Swing!
[name="듀나"]  휘두르라고!

[name="古米"]  我真的不行！
[name="グム"]  本当にできない！
[name="Gummy"]  I can’t!
[name="굼"]  정말 못 하겠어!

[name="坚雷"]  这是命令！
[name="ジュナー"]  これは命令よ！
[name="Dur-nar"]  That’s an order!
[name="듀나"]  명령이야!

[name="坚雷"]  古米！
[name="ジュナー"]  グム！
[name="Dur-nar"]  Gummy!
[name="듀나"]  굼!

[name="坚雷"]  我命令你——
[name="ジュナー"]  命令よ、振り下ろ――
[name="Dur-nar"]  I order you to——
[name="듀나"]  이건 명령이라고……

古米是个料理好手，她有个习惯。
料理人のグムには、習慣がある。
Gummy is a good cook, but she has a habit.
훌륭한 요리사인 굼에게는 한 가지 습관이 있다.

切东西时只切两下。如果第三刀切下去——
彼女は、ものを切る時は二回しか切らない。もし三回目を振り下ろせば――
She chops only twice. Should she ever chop a third time——
그건 바로, 무언가를 자를 때는 딱 두 번만 자르는 습관이다. 만약 세 번째로 무언가를 자르게 된다면……

会把砧板连厨房桌面一起砍断。
まな板を、調理台ごと叩き切ってしまうからだ。
She’ll chop straight through the cutting board, right into the counter itself.
도마는 물론이고, 주방 테이블까지 함께 잘라버리게 된다.

[name="坚雷"]  唔啊！
[name="ジュナー"]  うわっ！
[name="Dur-nar"]  Ngah!
[name="듀나"]  으아악!

[name="坚雷"]  唔，哈，哈......
[name="ジュナー"]  うっ、はぁっ、はぁっ……
[name="Dur-nar"]  Nng... Phew...
[name="듀나"]  윽, 하, 하아……

[name="古米"]  教官！
[name="グム"]  教官！
[name="Gummy"]  Instructor!
[name="굼"]  교관님!

[name="坚雷"]  啊，没事没事，好久没有挨这么重的冲击了。
[name="ジュナー"]  うん、大丈夫。でもこんな重い衝撃は久々に味わったわ。
[name="Dur-nar"]  I’m fine, I’m fine. It’s just been a long time since I took a hit like that.
[name="듀나"]  아, 괜찮아. 이렇게 큰 충격은 오랜만이네.

[name="坚雷"]  这也是你的习惯吗？
[name="ジュナー"]  これもあなたの習慣の一つ？
[name="Dur-nar"]  Is this another one of your "habits"?
[name="듀나"]  이것도 네 습관인 거야?

[name="古米"]  对不起教官......
[name="グム"]  ごめんなさい教官……
[name="Gummy"]  Sorry, Instructor...
[name="굼"]  미안해 교관님……

[name="坚雷"]  别怕，我一点事都没有。
[name="ジュナー"]  謝らないの！　私はピンピンしてるでしょ。
[name="Dur-nar"]  Relax. I told you, I’m fine.
[name="듀나"]  괜찮아. 난 멀쩡하니까.

[name="坚雷"]  只是你这个问题，好像还有点复杂。
[name="ジュナー"]  でもこの問題は、ちょっと複雑みたいね。
[name="Dur-nar"]  But it looks like this problem of yours is more complicated than I thought.
[name="듀나"]  그런데 네 문제는 조금 복잡한 것 같네.

[name="坚雷"]  第三下挥击你会下意识用尽全力，对吧。
[name="ジュナー"]  あなたは連続して攻撃すると、手を止めない限り三発目に無意識で全力を出しちゃう、そうでしょ。
[name="Dur-nar"]  On your third swing, you subconsciously put your full strength into it. Is that right?
[name="듀나"]  세 번째 공격에서 무의식적으로 전력을 다하는구나. 그렇지?

[name="古米"]  嗯......
[name="グム"]  うん……。
[name="Gummy"]  Yeah...
[name="굼"]  응……

[name="坚雷"]  第四下应该也是挥不出来了。
[name="ジュナー"]  四発目もきっと振れないでしょうね。
[name="Dur-nar"]  And I’m guessing that takes a fourth swing off the table.
[name="듀나"]  네 번째 공격은 무리일 것 같고.

[name="坚雷"]  刚刚那一下要是在厨房，砧板可能都要被切成两段。
[name="ジュナー"]  さっきのをもしキッチンで出してたら、まな板は真っ二つだし……
[name="Dur-nar"]  If we were in the kitchen just now, you’d’ve chopped that cutting board into a nice, clean pair.
[name="듀나"]  방금 같은 일을 주방에서 했다면, 도마가 두 동강이 났겠지.

[name="坚雷"]  本来以为只是克服一个关卡的问题，这个......还真有点麻烦。
[name="ジュナー"]  ポイントだけ克服すればと思ってたけど、これはちょっと大変そうだわ。
[name="Dur-nar"]  Here I thought we just had to push you over the edge... Turns out there’s something else going on here.
[name="듀나"]  네 문제를 해결하려고 했던 것뿐인데, 이건…… 조금 까다롭겠어.

[name="坚雷"]  看来是我太心急了，对不起，古米。
[name="ジュナー"]  私が急ぎすぎたのね。ごめんなさい、グム。
[name="Dur-nar"]  I jumped headfirst into this without really feeling it out. Sorry, Gummy.
[name="듀나"]  아무래도 내가 너무 성급했던 모양이다. 미안해, 굼.

[name="古米"]  没，没有的事。
[name="グム"]  だ、大丈夫だよ。
[name="Gummy"]  It’s... it’s fine.
[name="굼"]  괜, 괜찮아!

[name="古米"]  是我给教官添麻烦了......
[name="グム"]  それにグムこそごめんなさい。教官に迷惑かけちゃって……
[name="Gummy"]  It’s my fault for being a lousy student.
[name="굼"]  내가 더 미안하지……

[name="坚雷"]  解散吧，你可以回去好好休息了，后面的事情我再想想。
[name="ジュナー"]  それはいいって言ったでしょ？　じゃあ今日はここまでにしましょうか。戻ってゆっくり休んでね。私は今後、どうしていくか考えてみるわ。
[name="Dur-nar"]  Let’s call it for today. You go home and rest up. Give me some time to noodle on this.
[name="듀나"]  오늘은 여기까지 하자. 돌아가서 푹 쉬어. 나도 앞으로 어떻게 할지 한 번 생각해볼 테니까.

[name="坚雷"]  如果还想尝试一下的话，可以随时来找我。
[name="ジュナー"]  もしまた試してみたくなったら、いつでも私に言ってちょうだい、グム。
[name="Dur-nar"]  But if you want to try again, you know where to find me.
[name="듀나"]  또 해보고 싶으면, 언제든지 찾아오라고.

[name="古米"]  那我先回去了。
[name="グム"]  うん……じゃあグム、先に戻るよ。
[name="Gummy"]  I could use a break.
[name="굼"]  그럼 오늘은 이만…

[name="古米"]  再见教官。
[name="グム"]  またね、教官。
[name="Gummy"]  See you later, Instructor.
[name="굼"]  …먼저 가볼게.

[name="坚雷"]  嗯，拜拜。
[name="ジュナー"]  ええ、じゃあね。
[name="Dur-nar"]  Bye-bye.
[name="듀나"]  응, 수고했어.

[name="坚雷"]  ......
[name="ジュナー"]  ……
[name="Dur-nar"]  ......
[name="듀나"]  ……

[name="坚雷"]  （好麻。）
[name="ジュナー"]  （腕がじんじんする。）
[name="Dur-nar"]  (I can’t feel my arm.)
[name="듀나"]  (팔에 감각이 없어……)

[name="坚雷"]  （啊啊啊好麻好麻。）
[name="ジュナー"]  （ああ、肩まで痺れてるわ。）
[name="Dur-nar"]  (It’s totally numb.)
[name="듀나"]  (아야야…… 찌릿찌릿하네.)

[name="坚雷"]  （乌萨斯童子军力气怎么那么大啊。）
[name="ジュナー"]  （ウルサスのボーイスカウトはなんであんなに力が強いのよ。）
[name="Dur-nar"]  (Those Ursus Youth Scouts are stupid strong.)
[name="듀나"]  (우르수스 스카우트의 힘이 이렇게나 세단 말이야?)

[name="坚雷"]  （该去医疗部和嘉维尔聊聊天了。）
[name="ジュナー"]  （医療部にガヴィルの顔を拝みに行く必要がありそうね。）
[name="Dur-nar"]  (I better pay Gavial a visit in Medical.)
[name="듀나"]  (의료팀에 잠깐 가봐야겠다. 가비알 얼굴도 볼 겸.)

[name="坚雷"]  （顺便带点吃的给她。）
[name="ジュナー"]  （ついでにおやつを持ってってあげるか。）
[name="Dur-nar"]  (I’ll grab her something to eat on the way.)
[name="듀나"]  (가는 김에 먹을 거라도 좀 가져다줄까.)

4:30 p.m.
4:30 p.m.
4:30 p.m.
4:30 p.m.

罗德岛宿舍区   凛冬、真理与古米的宿舍
ロドス宿舎エリア ズィマー、イースチナ、グムの宿舎
Rhodes Island Dormitories - Zima, Istina, and Gummy’s Quarters
로도스 아일랜드 숙소 구역 - 지마, 이스티나, 굼의 숙소

古米一个人回到了宿舍。
グムは一人で宿舎に戻った。
Gummy goes back home alone.
홀로 숙소로 돌아온 굼은,

古米没有开灯。
グムは部屋の明かりを付けなかった。
She does not turn on the lights.
불을 켜지 않았다.

