AM10：21 罗德岛训练场
a.m. 10:21 ロドス訓練場
10:21 AM Rhodes Island Training Ground
10:21 a.m.  로도스 아일랜드 훈련장
[name="格瑞斯教官"]     好了，跟你们聊的也差不多了，你们收拾一下去洗个澡吃午饭吧，为下午的团队实战训练做好准备。
[name="グレース教官"]     よし、お喋りはこの辺にしておこう。片付けたらシャワーを浴びて昼飯にするといい。午後の団体実戦テストに向けて、しっかり準備をしておくんだぞ。
[name="Instructor Grace"]     All right, that's enough chatting for now. You girls pack up, go take a shower, have lunch, and get ready for the group training this afternoon.
[name="그레이스 교관"]     자, 수다는 이쯤 하고 정리하지. 점심 먹기 전에 씻어 둬라. 오후 단체 실전 테스트 준비해야지.

[name="芬"]     格瑞斯老师呢？
[name="フェン"]     グレース先生はどうされるんですか？
[name="Fang"]     What about you?
[name="팽"]     그레이스 선생님은요?

[name="格瑞斯教官"]     我？我要去别的教官那里把你们这次的测试资料拿来，然后一起送到杜宾那里去。
[name="グレース教官"]     俺は他の教官たちから君たちのテスト資料を回収して、ドーベルマン教官に持っていく仕事が残ってる。
[name="Instructor Grace"]     Me? I'm going to gather up the other teachers and we'll take your test results to Dobermann.
[name="그레이스 교관"]     나? 다른 교관들이 매긴 너희 테스트 자료 모아다가 도베르만 교관님께 보내줘야 하는데.

[name="芬"]     啊，这个让我来吧。
[name="フェン"]     あっ、それは私に任せてください。
[name="Fang"]     Oh, I can do that for you.
[name="팽"]     아, 그건 제가 할게요.

[name="格瑞斯教官"]     嗯？可以吗？
[name="グレース教官"]     えっ？　いいのか？
[name="Instructor Grace"]     Really? You can?
[name="그레이스 교관"]     그래? 시간 괜찮겠어?

[name="芬"]     嗯，去吃饭的话也要路过杜宾老师的宿舍的。
[name="フェン"]     はい、ドーベルマン教官の部屋は食堂に行く通り道ですから。
[name="Fang"]     Sure. We'll pass Instructor Dobermann's room on the way to the cafeteria.
[name="팽"]     네. 식사하러 갈 때 도베르만 선생님 숙소 쪽을 지나가거든요.

[name="米格鲁"]     啊，我也要一起去。
[name="ビーグル"]     あっ、わたしも一緒に行きます。
[name="Beagle"]     Oh. I'll go too.
[name="비글"]     아, 그러면 저도 같이 가요.

[name="克洛丝"]     呃，我就免了，我今天还不想那么早见到杜宾老师。
[name="クルース"]     私は遠慮しておくよ、こんなに早く教官に会いたくないからねぇ。
[name="Kroos"]     Um, I'll pass. I'm in no hurry to see Instructor Dobermann.
[name="크루스"]     윽, 난 됐어… 오후 테스트 전부터 도베르만 선생님을 만나고 싶진 않다고오…

[name="格瑞斯教官"]     那就拜托你们了。
[name="グレース教官"]     では君たちに任せるよ。
[name="Instructor Grace"]     Thanks a lot, ladies.
[name="그레이스 교관"]     그래, 그럼 부탁할게.

[name="格瑞斯教官"]     对了，千万别告诉杜宾我和你们说过刚才的话啊，千万！
[name="グレース教官"]     そうだ、さっきの話はドーベルマン教官に絶対言わないようにな。絶対だぞ！
[name="Instructor Grace"]     Oh, and uh, don't tell Dobermann what I just told you. Ever.
[name="그레이스 교관"]     아 그리고, 방금 얘기, 도베르만 교관님한테 하면 안 된다. 절대로!

[name="米格鲁"]     杜宾老师！
[name="ビーグル"]     ドーベルマン教官！
[name="Beagle"]     Instructor Dobermann!
[name="비글"]     도베르만 선생님!

[name="杜宾"]     嗯？怎么是你们两个过来。
[name="ドーベルマン"]     おや？　二人でどうした。
[name="Dobermann"]     Oh? What are you two doing here?
[name="도베르만"]     음? 둘이 여긴 웬일이지?

[name="芬"]     我们正好顺路，就替格瑞斯教官把这次的测试结果还有一些别的资料送过来了。
[name="フェン"]     はい、グレース教官の代わりにテストの結果と諸々の資料を届けに来ました。
[name="Fang"]     We're bringing you some test results, and I guess some other information from Instructor Grace.
[name="팽"]     지나가는 길에 그레이스 선생님 대신 테스트 결과 자료를 가져다 드리려고요.

[name="芬"]     老师，我这次通过了！
[name="フェン"]     教官、今回私は合格でした！
[name="Fang"]     I passed!
[name="팽"]     선생님, 저 통과했습니다!

[name="杜宾"]     让我看看，嗯......很好。
[name="ドーベルマン"]     見せてみろ、ほう……悪くない。
[name="Dobermann"]     Let's see here... Oh, good.
[name="도베르만"]     어디 보자…… 음…… 나쁘지 않군.

[name="杜宾"]     其他人......克洛丝、米格鲁、芙蓉没有通过，炎熔通过了吗。
[name="ドーベルマン"]     他のメンバーは……クルース、ビーグル、ハイビスカスが不合格、ラヴァは合格したのか。
[name="Dobermann"]     The others.... Kroos, Beagle, and Hibiscus didn't pass. Did Lava?
[name="도베르만"]     다른 사람들은…… 크루스, 비글, 히비스커스가 탈락, 라바가 통과인가.

[name="米格鲁"]     对不起......
[name="ビーグル"]     うぅ、申し訳ございません……
[name="Beagle"]     Sorry....
[name="비글"]     죄송합니다……

[name="杜宾"]     没事，你有进步。
[name="ドーベルマン"]     大丈夫だ、進歩は見られる。
[name="Dobermann"]     It's okay, you're making progress.
[name="도베르만"]     괜찮다. 그래도 발전했네.

[name="杜宾"]     至于克洛丝，你回去叫她下午做好心理准备。
[name="ドーベルマン"]     だがクルースに関しては、午後の訓練は覚悟をしておくようにと伝えてくれ。
[name="Dobermann"]     Go on back and tell Kroos to be ready for this afternoon.
[name="도베르만"]     크루스한텐 오후 때 각오하라고 전해둬라.

[name="米格鲁"]     啊哈哈哈。
[name="ビーグル"]     アハハハ。
[name="Beagle"]     Ahahahaha.
[name="비글"]     아하하하……

[name="杜宾"]     好了，回去好好休息吧。
[name="ドーベルマン"]     よし、戻って休むといい。
[name="Dobermann"]     Go on. Rest up.
[name="도베르만"]     그래. 가서 푹 쉬어둬.

[name="米格鲁"]     好的！
[name="ビーグル"]     はい！
[name="Beagle"]     Okay!
[name="비글"]     네!

[name="芬"]     那个，杜宾老师，你在打扫房间吗？
[name="フェン"]     あの、教官、部屋の掃除をされているんですか？
[name="Fang"]     Hey, Instructor Dobermann, are you cleaning your room?
[name="팽"]     저기… 도베르만 선생님. 방 청소하시나요?

[name="杜宾"]     嗯，我会定期打扫一下。
[name="ドーベルマン"]     ああ、定期的にするようにしている。
[name="Dobermann"]     Yes. I do so regularly.
[name="도베르만"]     그래. 주기적으로 하지.

[name="芬"]     能让我来帮忙吗？
[name="フェン"]     お手伝いしてもいいですか？
[name="Fang"]     Can I help you?
[name="팽"]     도와드릴까요?

[name="杜宾"]     嗯？为什么？
[name="ドーベルマン"]     なに？　なぜだ？
[name="Dobermann"]     Huh? Why?
[name="도베르만"]     음? 왜지?

[name="芬"]     诶，因为一直都是杜宾老师在引导我们，偶尔也想帮上老师的忙。
[name="フェン"]     ええっと、いつもドーベルマン教官にはお世話になっているので、たまにはお役に立ちたくて。
[name="Fang"]     Um. Sometimes you want to give back to your teacher, you know?
[name="팽"]     음, 도베르만 선생님이 저희를 이끌어 주시니까, 가끔은 도와드리고 싶어서요.

[name="米格鲁"]     啊，那我也要帮忙！
[name="ビーグル"]     あ、それならわたしもお手伝いします！
[name="Beagle"]     Oh, I'll help too!
[name="비글"]     아, 그러면 저도 도울래요!

[name="杜宾"]     ......
[name="ドーベルマン"]     ……
[name="Dobermann"]     ........
[name="도베르만"]     ……

[name="芬"]     唔，会有什么不方便的地方吗？
[name="フェン"]     あの、もしかしてご迷惑でしょうか？
[name="Fang"]     Er, unless we'd get in the way?
[name="팽"]     아, 혹시 불편하신가요?

[name="杜宾"]     ......不，没什么，我只是有些惊讶，我还以为你们会有些怕我。
[name="ドーベルマン"]     ……いや、なんでもない。ただ少し驚いてな、お前たちには怖がられていると思っていたから。
[name="Dobermann"]     ...No, not at all. I'm just a little surprised. I thought you were scared of me.
[name="도베르만"]     ……아니다. 단지 놀랐을 뿐이다. 너희가 날 무서워하고 있는 줄 알았거든.

[name="芬"]     怎么会呢，我很尊敬杜宾老师的。
[name="フェン"]     そんなことありません。教官のことは尊敬しています。
[name="Fang"]     No way! I have a lot of respect for you, Instructor.
[name="팽"]     그럴 리가요. 저는 도베르만 선생님을 아주 존경하는걸요.

[name="米格鲁"]     我也是！
[name="ビーグル"]     わたしもです！
[name="Beagle"]     Me too!
[name="비글"]     저도요!

[name="杜宾"]     好吧，那就麻烦你们了。
[name="ドーベルマン"]     そうか、ではよろしく頼む。
[name="Dobermann"]     All right. I'll take the help. Thanks.
[name="도베르만"]     그래. 그러면 부탁 하마.

[name="芬&米格鲁"]     好！
[name="二人"]     はい！
[name="Fang & Beagle"]     Okay!
[name="팽&비글"]     네!

[name="米格鲁"]     杜宾老师的房间里的东西，意外的多呢......
[name="ビーグル"]     ドーベルマン教官の部屋、意外と物が多いですね……
[name="Beagle"]     There's a lot more stuff in here than I expected...
[name="비글"]     도베르만 선생님 방에는 의외로 물건이 많네요……

[name="杜宾"]     嗯？会很奇怪吗？
[name="ドーベルマン"]     うん？　変か？
[name="Dobermann"]     Oh? Is that odd?
[name="도베르만"]     음? 이상한가?

[name="米格鲁"]     啊，不是，我只是觉得杜宾老师给人房间里很整洁，东西很少的印象。
[name="ビーグル"]     あ、いえ。ただ教官は、部屋に必要最低限の物しか置かないイメージでしたので。
[name="Beagle"]     No. I just always thought of you as an instructor with a tidy room, the type who wouldn't keep a lot of stuff.
[name="비글"]     아니요. 도베르만 선생님은 방도 깔끔하고, 물건도 적을 것 같았거든요.

[name="杜宾"]     ......刚来到罗德岛时我确实没有带很多东西。
[name="ドーベルマン"]     ……確かにロドスに来る時は、それほど物は持ってこなかった。
[name="Dobermann"]     ....I really didn't bring much with me when I first came to Rhodes Island.
[name="도베르만"]     ……막 로도스 아일랜드에 왔을 때는 별로 없었지.

[name="杜宾"]     不过我毕竟在这里生活几年了。
[name="ドーベルマン"]     だがもうここで何年も生活しているからな。
[name="Dobermann"]     But I've been living here for a few years now.
[name="도베르만"]     하지만 나도 여기서 생활한 지 오래 지났으니까.

[name="芬"]     对哦，杜宾老师是很早加入罗德岛的吧？
[name="フェン"]     そうでした、教官はすごく早くにロドスに加入されたんですよね？
[name="Fang"]     Oh, right. Instructor Dobermann joined Rhodes Island a long time ago?
[name="팽"]     도베르만 선생님은 오래전부터 로도스 아일랜드에 계셨죠?

[name="杜宾"]     嗯，相比大部分干员来说确实是这样。
[name="ドーベルマン"]     ああ、ほとんどのオペレーターと比べるとそうなる。
[name="Dobermann"]     Yes, compared to most operators. It's been a while.
[name="도베르만"]     그래. 다른 오퍼레이터들보다는 그렇지.

[name="芬"]     杜宾老师是为什么加入罗德岛的呢？
[name="フェン"]     あの、教官はどうしてロドスに加入されたんですか？
[name="Fang"]     Why did you join up, Instructor?
[name="팽"]     도베르만 선생님은 어떻게 로도스 아일랜드에 오셨나요?

[name="杜宾"]     ......
[name="ドーベルマン"]     ……
[name="Dobermann"]     ........
[name="도베르만"]     ……

[name="芬"]     啊，抱歉，是不方便说的话题吗？
[name="フェン"]     あ、すみません。話しづらい話題でしたか？
[name="Fang"]     Oh, sorry. Is that a bad question?
[name="팽"]     아… 죄송해요. 불편한 화제인가요?

[name="杜宾"]     不，只是并不适合现在说，等有机会吧。
[name="ドーベルマン"]     いや。ただ、今はそれを語るタイミングじゃないというだけさ。時が来たら話そう。
[name="Dobermann"]     No. It's just, now's not the time. We'll talk about it later.
[name="도베르만"]     아니다. 지금 할 이야기는 아니니, 나중에 해주지.

[name="米格鲁"]     好呀好呀。
[name="ビーグル"]     わかりました。その時を待ってます！
[name="Beagle"]     Okay.
[name="비글"]     알겠습니다, 기다릴게요!

[name="杜宾"]     你也很想知道吗？
[name="ドーベルマン"]     なんだ、お前も知りたいのか？
[name="Dobermann"]     Are you curious too?
[name="도베르만"]     너도 궁금한가?

[name="米格鲁"]     诶？嗯......嗯！因为我想多了解一些杜宾老师。
[name="ビーグル"]     えっ？　あっ……はい！　わたし、教官のことをもっと知りたいんです。
[name="Beagle"]     Eh? Yes... I am! I really want to know more about you, Instructor.
[name="비글"]     네? 네…… 네! 도베르만 선생님에 대해서 더 알고 싶어요.

[name="杜宾"]     多了解我......吗。
[name="ドーベルマン"]     もっと知りたい……か。
[name="Dobermann"]     Know more about me... huh?
[name="도베르만"]     더 알고 싶다……라.

[name="杜宾"]     呵。
[name="ドーベルマン"]     フッ。
[name="Dobermann"]     Heh.
[name="도베르만"]     훗.

[name="芬"]     衣柜里也干脆清扫一下好了......
[name="フェン"]     タンスの中も掃除しますよね？
[name="Fang"]     Might as well start on the wardrobe...
[name="팽"]     옷장도 청소해야겠다……

[name="芬"]     咦，杜宾老师，这是军服吗？
[name="フェン"]     ……あれ、ドーベルマン教官、これは軍服ですか？
[name="Fang"]     Hey, Instructor Dobermann, is this a uniform?
[name="팽"]     어? 도베르만 선생님, 이건 군복인가요?

[name="杜宾"]     嗯？嗯。
[name="ドーベルマン"]     うん？　ああ。
[name="Dobermann"]     Huh? Yes.
[name="도베르만"]     음? 어.

[name="杜宾"]     这是我离开军队时留下的纪念品。
[name="ドーベルマン"]     これは私が軍隊を離れる時に残しておいた記念品だ。
[name="Dobermann"]     It's a souvenir I kept from my time in the Army.
[name="도베르만"]     내가 군을 떠날 때 남겨둔 기념품이지.

[name="米格鲁"]     哇，好帅的军服啊。
[name="ビーグル"]     わぁ、かっこいいですね。
[name="Beagle"]     Wow, it's very cool.
[name="비글"]     정말 멋진 군복이네요.

[name="芬"]     确实呢......所以杜宾老师曾经属于哪一边呢？
[name="フェン"]     確かに……ちなみに教官は「どちら側」に所属してらっしゃったんですか？
[name="Fang"]     It is.... So which side did you fight on?
[name="팽"]     그렇구나…… 그럼 선생님은 어느 쪽에 계셨나요?

[name="杜宾"]     看来你对玻利瓦尔有些了解。
[name="ドーベルマン"]     ほう、ボリバルについて多少なりとも知識はあるようだな。
[name="Dobermann"]     You know a bit about Bolivar, huh?
[name="도베르만"]     볼리바르에 대해 알고 있는 것 같군.

[name="杜宾"]     对了，米格鲁也是玻利瓦尔出身，我记得是移民去了哥伦比亚吧。
[name="ドーベルマン"]     そうだ、ビーグルもボリバル出身だったな。移民でクルビアに移ったんだったか。
[name="Dobermann"]     And don't I remember that Beagle is also of Bolivarian origin? You immigrated to Columbia, is that right?
[name="도베르만"]     그래, 비글도 출신은 볼리바르였지? 그러다 나중에 컬럼비아로 이민을 간 거고.

[name="米格鲁"]     嗯，我也只是从我父母那里听说了玻利瓦尔的情况，所以有些好奇。
[name="ビーグル"]     はい。でもボリバルの状況は両親から少し聞いただけですので、わたしも気になって。
[name="Beagle"]     Yes, but I've only heard about Bolivar from my parents. I'd love to hear more about it.
[name="비글"]     네. 볼리바르에 대해선 부모님한테만 들어서 궁금해요.

[name="米格鲁"]     啊，请不要误会，我不是为了知道这个才......
[name="ビーグル"]     あ、だけど誤解しないでください。それを知るために部屋に来たわけじゃ……
[name="Beagle"]     Oh, but it's not like I just came because...
[name="비글"]     아, 오해는 하지 말아 주세요. 이것 때문에 온 건 아니고요……

[name="杜宾"]     没关系，即使你真的为了这个而来也很正常......
[name="ドーベルマン"]     いや気にするな、仮にそのために来たのだとしても何ら問題ない……
[name="Dobermann"]     Relax. Even if you did, it's okay.
[name="도베르만"]     괜찮다. 이것 때문에 왔다고 해도 이상하지 않지……

[name="杜宾"]     过来帮我拉住被套。
[name="ドーベルマン"]     シーツを引っ張ってくれないか。
[name="Dobermann"]     Come help me with the bedding.
[name="도베르만"]     이쪽으로 와서 커버 좀 당겨줄래?

[name="米格鲁"]     来了！
[name="ビーグル"]     はい！
[name="Beagle"]     Okay!
[name="비글"]     네!

[name="杜宾"]     嗯，这样就行了，谢谢。
[name="ドーベルマン"]     よし、これでいい。ありがとう。
[name="Dobermann"]     There we go. Thanks.
[name="도베르만"]     이걸로 됐다. 고맙다.

[name="杜宾"]     玻利瓦尔境内现在有三股势力，名义上的官方是莱塔尼亚掌控的傀儡政府，因为他们主导的对抗哥伦比亚的战争取得了胜利。
[name="ドーベルマン"]     前提として、ボリバルには三つの勢力がある。一つ目はリターニアが操る傀儡の政府だ。彼らは先導したクルビアへの抗争で勝利を収めた功績もあり、名義上の公式勢力になっている。
[name="Dobermann"]     There are currently three factions in Bolivar. The nominal, official government is a puppet controlled by Leithanien, since they led the forces that won the war against Columbia.
[name="도베르만"]     볼리바르에는 세 개의 세력이 있다. 첫 번째는 라이타니엔의 꼭두각시 정부다. 그들이 주도한 컬럼비아와의 전쟁에서 승리한 공적 덕분에, 명목상으론 공식 세력이 되었지.

[name="杜宾"]     由议会分化出来的自治政府一直在寻找取而代之的机会，而且他们有着充足的资金来源，所以可以和傀儡政府叫板。
[name="ドーベルマン"]     二つ目は議会が細分化されて生まれた自治政府だ。常に傀儡の政府に取って代わる機会を伺っていて、十分な資金源を有することもあり、現政府の対抗勢力となっている。
[name="Dobermann"]     Then the Autonomous Government resulted from a parliamentary split. They've been looking for a chance to seize power. They're well-funded, and offer a challenge to the puppet government.
[name="도베르만"]     두 번째는 의회에서 세분화된 자치 정부다. 계속 꼭두각시 정부를 휘어잡아 자신들이 그 위치로 올라갈 기회를 엿보고 있지. 그렇게 정부에 반기를 들 수 있는 건, 그만큼 충분한 자금줄이 있기 때문이겠지만.

[name="杜宾"]     剩下的一支势力则是由苦于两拨实力斗争而决定揭竿起义的普通民众组成的玻利瓦尔反抗军。
[name="ドーベルマン"]     残りの一つは、二つの勢力の削り合いに苦しんだ一般市民たちが旗揚げした、ボリバル反抗軍だ。
[name="Dobermann"]     Last, we have the Bolivarian Resistance, an uprising made up of ordinary people fed up with the struggles of the powerful.
[name="도베르만"]     그리고 나머지 하나는, 두 세력의 싸움에 지쳐 들고일어난 국민들로 이루어진, 볼리바르 저항군이다.

[name="杜宾"]     我曾经隶属于自治政府，职位是上校。
[name="ドーベルマン"]     私はかつて自治政府に所属しており、階級は上校だった。
[name="Dobermann"]     I served the Autonomous Government, at the rank of colonel.
[name="도베르만"]     당시 나는, 자치 정부 소속의 대령으로 있었다.

[name="米格鲁"]     哇，上校，杜宾老师好厉害啊！
[name="ビーグル"]     わぁ、上校ですか！　すごいです！
[name="Beagle"]     Wow, a colonel! Instructor Dobermann is awesome!
[name="비글"]     우와~ 대령이라니, 대단해요!

[name="芬"]     上校，确实是很高的职位了呢。
[name="フェン"]     とても高い階級ですね。
[name="Fang"]     That's a high rank.
[name="팽"]     대령… 확실히 높은 계급이네요.

[name="杜宾"]     ......是啊，很高了。
[name="ドーベルマン"]     ……そうだな、とても高い階級さ。
[name="Dobermann"]     .....Yes. It is.
[name="도베르만"]     ……그래, 높지.

[name="米格鲁"]     我来把衣柜顶部擦一下吧，一般这种地方很容易落灰尘呢。
[name="ビーグル"]     タンスの上を拭きますね、ホコリが溜まりやすいところですから。
[name="Beagle"]     I'll wipe down the top of the wardrobe. There must be lots of dust up there.
[name="비글"]     옷장 위를 닦을게요. 보통 이런 데 먼지가 많이 쌓이거든요.

[name="米格鲁"]     嘿——咻！
[name="ビーグル"]     よい――しょっと！
[name="Beagle"]     Aaahh——choo!
[name="비글"]     영차~!

[name="米格鲁"]     咦，什么东西掉下来了？
[name="ビーグル"]     あれ、何か落ちましたか？
[name="Beagle"]     Oops, something fell down?
[name="비글"]     어라, 뭐가 떨어졌네?

[name="芬"]     这是......金属牌？
[name="フェン"]     これは……金属のプレート？
[name="Fang"]     It's... a bunch of metal tags?
[name="팽"]     이건…… 금속판?

[name="米格鲁"]     诶？
[name="ビーグル"]     えっ？
[name="Beagle"]     Huh?
[name="비글"]     어?

[name="杜宾"]     这些是......铭牌。
[name="ドーベルマン"]     それは……認識票だ。
[name="Dobermann"]     These are.... name plates.
[name="도베르만"]     그건…… 군번줄이다.

[name="芬"]     铭牌？和我们在罗德岛的身份卡类似的东西吗？
[name="フェン"]     認識票？　ロドスのIDカードのようなものですか？
[name="Fang"]     Name plates? Like the ID cards we have at Rhodes Island?
[name="팽"]     군번줄이요? 로도스 아일랜드의 신분증 같은 건가요?

[name="杜宾"]     对，在军队中，为了方便身份辨识，所以会为士兵发放这样一种印上部队番号和姓名的牌子。
[name="ドーベルマン"]     ああ。軍隊では容易に身分を判別できるよう、兵士たちは部隊番号と名前が刻まれた認識票が支給されるんだ。
[name="Dobermann"]     Yes. Soldiers in the army get these plates issued with their name and unit number, for identification.
[name="도베르만"]     그래. 군대에서는 신분을 파악하기 위해, 모든 병사들에게 부대 번호와 이름이 적힌 명찰을 지급하지.

[name="米格鲁"]     啊，真的。
[name="ビーグル"]     あ、本当だ。何か文字が書いてある。
[name="Beagle"]     Ah, really.
[name="비글"]     아, 진짜다. 뭐라 적혀 있네요.

[name="米格鲁"]     我可以看看吗，杜宾老师？
[name="ビーグル"]     詳しく見てもいいですか、教官？
[name="Beagle"]     Can I see them?
[name="비글"]     도베르만 선생님, 봐도 될까요?

[name="杜宾"]     看吧。
[name="ドーベルマン"]     ああ。
[name="Dobermann"]     Take a look.
[name="도베르만"]     그래.

[name="米格鲁"]     阿......兰。胡......安。何......塞。我只看得懂这几个名字，其他的缩写都看不懂......
[name="ビーグル"]     ア……ラン。ファ……ン。ホ……セ。読めるのは名前の部分だけです……他の略称は意味がわかりません……
[name="Beagle"]     A... lan. Ju..... an. Jo.... se. I can read the names, but I can't make sense of these abbreviations...
[name="비글"]     앨……런, 후……안, 호……세, 이름 세 개 정도만 알아보겠어요. 나머지는 약칭 같은 건가? 잘 못 알아보겠네요……

[name="杜宾"]     那些都和他们所处的部队有关，不用理解也没有关系。
[name="ドーベルマン"]     それは、彼らの所属部隊の関係でそうなっている。読めないのが普通さ。
[name="Dobermann"]     Those indicate some things about the units they served in. Don't worry about them.
[name="도베르만"]     소속 부대와 관련된 거니, 이해하지 못하는 것도 당연하지.

[name="芬"]     老师会带着这些铭牌，难道说......
[name="フェン"]     教官がこれらの認識票を持っているということは、まさか……
[name="Fang"]     If you have their name plates, does that mean they're...
[name="팽"]     선생님이 이 군번줄을 가지고 계신다는 건……

[name="杜宾"]     嗯，他们都死了。
[name="ドーベルマン"]     ああ、彼らは皆死んだ。
[name="Dobermann"]     Yes. They're all dead.
[name="도베르만"]     그래. 다들 죽었다.

[name="米格鲁"]     诶，那么，是、是很重要的战友吗？
[name="ビーグル"]     えっ……つまり、み、皆さんは大切な戦友さんだったということですか？
[name="Beagle"]     Oh. So, were, were they important people to you?
[name="비글"]     아…… 그럼, 소중한 전우들이었나요?

[name="杜宾"]     很重要吗......
[name="ドーベルマン"]     大切か……
[name="Dobermann"]     Important...?
[name="도베르만"]     소중하다라……

[name="？？？"]     上校，你的人死得非常好。
[name="？？？"]     上校、君の部下たちは、実に素晴らしい死に様だった。
[name="???"]     Colonel, your men died bravely.
[name="???"]     대령, 자네 부하들의 죽음이 아주 큰 도움이 됐네.

[name="？？？"]     不必感到悲伤，他们的死，保住了我的声誉，而你，也不必遭受上层的责罚。
[name="？？？"]     悲しむ必要はないぞ。彼らの死によって私の名誉は守られた。そして君も、上層部から責任を問われることはないはずだ。
[name="???"]     Don't grieve for them. Their deaths have saved my career, and yours. You won't be reprimanded by the brass.
[name="???"]     너무 슬퍼하지 말게. 자네 부하들이 죽어준 덕분에 내 명성이 지켜졌으니. 이걸로 대령도 상부의 처벌을 받진 않겠지.

[name="？？？"]     调查？这些事情不会有人记得。
[name="？？？"]     調査だと？　余計なことだ。今回の件を長く心に留める者などいるはずもない。
[name="???"]     An investigation? No one will remember these things.
[name="???"]     조사? 이번 건은 아무도 기억하지 못할 걸세.

[name="？？？"]     实话？上校，人们需要的是漂亮，或者虽然不那么漂亮但至少体面的结果，他们不在乎真相。
[name="？？？"]     真実？　上校、人々が求めるのは事実ではない、清廉潔白さだ。あるいはそれほど潔白でなくとも、体面を保てるだけの結果だ。彼らは真相など気にも留めない。
[name="???"]     The truth? Colonel, people need pretty, or at least decent results. They don't care about the truth.
[name="???"]     진실이 뭐 어쨌다는 겐가? 대령, 사람들에게 필요한 건 아름다움이야. 혹은 아름답지 않더라도 영예로운 결과가 필요하지. 진실 따윈 아무도 신경 쓰지 않네.

[name="？？？"]     上校，认清你的身份，不要忘记是谁把你从一名平民士兵提拔到这个位置的！
[name="？？？"]     上校、自分の身を弁えろ。誰が君をただの一兵卒から今の階級に引き上げてやったか忘れるな！
[name="???"]     Colonel, remember your place. And don't forget who it was who raised you up from a common soldier to the command you hold today!
[name="???"]     대령, 자네의 신분을 생각하게. 일개 평민 병사인 자네를 여기까지 이끌어준 게 누구인가!

[name="杜宾"]     我和他们并不熟，我甚至没有和他们说过几句话。
[name="ドーベルマン"]     私は彼らとはそれほど交流があったわけではない。……いや、ほとんど話したこともなかった。
[name="Dobermann"]     I didn't know them well. We barely spoke.
[name="도베르만"]     친하진 않았다. 심지어는, 말도 몇 마디 섞지 않았지.

[name="杜宾"]     不过确实，他们对我来说很重要。
[name="ドーベルマン"]     だが彼らは、私にとって確かに、とても大切な者たちだった。
[name="Dobermann"]     But yes. They are important to me.
[name="도베르만"]     하지만, 나에게는 소중한 사람들이었어.

[name="芬"]     诶？
[name="フェン"]     えっ？
[name="Fang"]     Huh?
[name="팽"]     네?

[name="杜宾"]     ......清扫也做得差不多了，你们过来。
[name="ドーベルマン"]     ……掃除はもういいだろう、こちらに来い。
[name="Dobermann"]     ........We're just about done cleaning. Come here.
[name="도베르만"]     ……청소도 다 끝났으니, 이쪽으로 와라.

[name="米格鲁"]     那个，是我做了什么不好的事情吗，杜宾老师？
[name="ビーグル"]     あの、わたし、悪いことをしてしまいましたか？
[name="Beagle"]     Um, did I do something wrong, Instructor?
[name="비글"]     저기…… 제가 무슨 잘못이라도 했나요? 도베르만 선생님?

[name="杜宾"]     没关系，这些对我来说并不是见不得人的东西，否则也不会放在这么随意的地方。
[name="ドーベルマン"]     いや、気にするな。それらの認識票は人に見せられないものというわけでもない。そうでなければ、その辺に適当に置いておくことはしないしな。
[name="Dobermann"]     No. I wasn't trying to hide them. That's why they were just kind of left up there.
[name="도베르만"]     아니 그런 게 아니라, 그 물건들은 남에게 보여주지 못할 만한 것도 아니거든. 그렇지 않고서야 아무렇게나 내버려 뒀을 리가 없지.

[name="杜宾"]     不过，你也好，芬刚才问的问题也好，确实让我回想起了一些东西，所以想和你们聊聊。
[name="ドーベルマン"]     だが、お前も、先程のフェンの質問も、私に色々なものを思い起こさせた。だから少し話がしたくてな。
[name="Dobermann"]     But your questions got me thinking. So I want to talk to you two.
[name="도베르만"]     하지만 너와 팽이 물어봤던 것 덕분에 떠오른 게 있어서, 잠깐 얘기해 줄까 한다.

[name="芬"]     那个，这个，我很荣幸！
[name="フェン"]     あの、それは、光栄です！
[name="Fang"]     Oh, well, I'm honored!
[name="팽"]     어…… 그…… 여, 영광입니다!

[name="杜宾"]     别紧张，坐下就好。
[name="ドーベルマン"]     緊張することはない、適当に座ってくれ。
[name="Dobermann"]     Relax. Just have a seat.
[name="도베르만"]     그러니 긴장하지 말고 앉아라.

[name="杜宾"]     有关我的过去，到了某个时候我会告诉你们，但不是现在。
[name="ドーベルマン"]     私の過去に関しては、時が来ればお前たちに話そう。
[name="Dobermann"]     I will tell you about my past at some point, but not now.
[name="도베르만"]     나의 과거가 궁금하다면, 언젠가는 알려주마. 하지만 지금은 아니다.

[name="杜宾"]     现在，我只是想问你们一个问题。
[name="ドーベルマン"]     ただ今は、一つ、お前たちに問いかけたい。
[name="Dobermann"]     For now, I just want to ask you a question.
[name="도베르만"]     대신 너희에게 묻고 싶은 게 하나 있다.

[name="杜宾"]     你们觉得，士兵最大的特征是什么？
[name="ドーベルマン"]     お前たちは、兵士の最大の特徴とは何だと思う？
[name="Dobermann"]     What do you think is the defining characteristic of a soldier?
[name="도베르만"]     병사의 가장 큰 특징이 뭐라고 생각하나?

[name="芬"]     诶？这是......考题吗？
[name="フェン"]     えっ？　これは……テストですか？
