PM9：39 罗德岛舰内
p.m. 09:39 ロドス艦内
9:39 PM Inside the Rhodes Island Landship
9:39 p.m  로도스 아일랜드 함선 내부
[name="空爆"]     我今天没什么事，就被他给拉过去了，好不容易才被他放走，斑点还在那儿给他喂招呢。
[name="カタパルト"]     あたしが今日やることないって暇そうにしてたら、練習相手にって捕まってさ、さっきやーっと解放されたってわけ。スポットはきっとまだあいつに付き合ってるだろうね。
[name="Catapult"]     I didn't have anything to do today, so he roped me in, worked my tail off, and finally let me go. Spot's there giving him the business now.
[name="캐터펄트"]     오늘 한가해서 끌려갔다 간신히 빠져나왔지 뭐야. 스팟은 아직도 거기 잡혀있고.

[name="梓兰"]     为什么？
[name="オーキッド"]     どうしてトレーニングなんか？
[name="Orchid"]     Why?
[name="오키드"]     왜?

[name="空爆"]     我怎么知道，我还以为梓兰姐你知道这回事呢，啧，下次这个点我一定见到他就跑。
[name="カタパルト"]     あたしが知ったこっちゃないよ。姉さんなら知ってると思ったんだけどねぇ。ったく、次からはこの時間にあいつを見かけたら逃げることにするよ。
[name="Catapult"]     How should I know? I figured you'd be up on it. I just know I need to steer clear of Midnight around ten o'clock.
[name="캐터펄트"]     내가 어떻게 알아? 오키드 언니는 알 줄 알았지. 다음번에 그 자식 만나면 꼭 도망가야겠다.

[name="泡普卡"]     泡普卡也知道！月见夜也找过泡普卡，不过被泡普卡打飞了，就再也没找过泡普卡了。
[name="ポプカル"]     ポプカルも前ミッドナイトお兄さんに誘われたよ！　でもポプカルがお兄さんを吹き飛ばしたら、もう誘ってくれなくなっちゃった。
[name="Popukar"]     I knew about it! Midnight also got me to join. But then I hit him and he flew away and he didn't ask me again.
[name="포푸카"]     포푸카도 알아! 미드나이트가 포푸카 찾은 적 있었어. 그런데 포푸카가 날려버리니까, 그다음부터는 안 찾았어.

[name="空爆"]     ......噗哈哈哈哈，还有这样的事，难怪我问他怎么不找你的时候，他马上就转移话题了，哈哈哈哈哈，哎呀，这事我可以笑三天！
[name="カタパルト"]     ……プハハハハ、そんなことがあったの。あいつになんでポプカルを誘わないか聞いたらすぐに話題を変えたのは、そういうことだったんだねえ。アハハハハ、あーおかし、三日は笑えるよ！
[name="Catapult"]     Bwahahahahaha! So that's the story. No wonder he dodged the question when I asked if he told you. Hahaha! My sides!
[name="캐터펄트"]     푸하하하하~ 그런 거였어? 어쩐지, 포푸카는 왜 안 찾냐고 물어보니까 말을 돌리더라. 아하하하하~ 아~ 이걸로 사흘은 웃겠다.

[name="梓兰"]     ......算了，你没惹什么事就好。
[name="オーキッド"]     ……まぁ、あなたが問題を起こしてなければそれでいいわ。
[name="Orchid"]     ...All right. As long as you're not making trouble.
[name="오키드"]     ……그래. 사고 친 거 아니면 그걸로 됐다.

[name="空爆"]     为什么结果还是回到这个话题上了！梓兰姐，你这是偏见！明明泡普卡也经常惹事，为什么你对她就这么好！
[name="カタパルト"]     姉さん、それは偏見ってやつだよ！　ポプカルだっていつもやらかしてるってのにあたしにだけそんなこと言ってさー。なんでポプカルにはそんなに甘いの！
[name="Catapult"]     Why do you always come back to that?! This is discrimination, Orchid. You're always so nice to Popukar, even when she makes trouble!
[name="캐터펄트"]     왜 갑자기 그 화제로 돌아가는 건데! 언니, 그거 편견인 거 알아?! 사고는 포푸카도 자주 치는데, 왜 쟤한테만 잘해주냐고 진짜!

[name="梓兰"]     你要是每次惹事后也自己去乖乖道歉，我也会对你这么好。
[name="オーキッド"]     あなたもこの子のように毎回自分で素直に謝りに行くなら、あなたにだって優しくするわ。
[name="Orchid"]     I'd be so nice to you if you'd also go and sweetly apologize every time you did something bad.
[name="오키드"]     네가 사고 치고 얌전히 사과만 했다면, 나도 잘해줬을 거야.

[name="空爆"]     那我做不到，惹了事还要道歉的话，那我是为了什么惹事的！
[name="カタパルト"]     そりゃできない相談だよー。問題を起こして結局謝るんなら、問題を起こす意味がないからね！
[name="Catapult"]     That's beyond me. And if I have to apologize for stirring things up, then where's the fun in it?!
[name="캐터펄트"]     그건 좀 아니지, 사고를 치고 사과를 해야 한다면, 내가 왜 사고를 치겠어?

[name="梓兰"]     那就不要惹事啊！
[name="オーキッド"]     じゃあ問題を起こさなきゃいいじゃない！
[name="Orchid"]     Just stay out of trouble to begin with!
[name="오키드"]     그러면 애초에 사고를 치지 말라고!

[name="梓兰"]     真是，也就只有罗德岛容得下你，换别的地方，早就......算了，没什么。
[name="オーキッド"]     ほんっとに……あなたみたいに自由な子を許してくれるのはロドスぐらいよ。もし他のところで同じようにしてたら、もうとっくに……いいえ、なんでもないわ。
[name="Orchid"]     You're lucky you're at Rhodes Island, anywhere else would have... Never mind. Forget it.
[name="오키드"]     정말이지… 로도스 아일랜드가 아니라 다른 곳이었다면 진작에…… 아니 됐다, 관두자……

[name="空爆"]     哎呀，梓兰姐，你直说没关系的，就是别的地方都容不下我这种性格，我又不想改，也就只有罗德岛才会要我这样的怪胎了。
[name="カタパルト"]     あーもう、回りくどいね！　姉さん、言いたいことははっきり言えばいいじゃないか。他のところじゃあたしみたいな奴は認められないって。でもあたしだってお利口になんてできないよ。
[name="Catapult"]     Come on, Orchid, just come out with it. Nowhere else can handle my personality. And I don't wanna change. Only Rhodes Island would want a freak like me!
[name="캐터펄트"]     에이~ 오키드 언니, 말해도 돼. 다른 곳이었다면 내 성격 못 받아줬을 거란 얘기하려 그랬지? 나도 잘 안다고. 나도 고칠 생각이 없으니까, 나 같은 괴짜를 받아주는 곳은 로도스 아일랜드밖에 없다는 거.

[name="空爆"]     不过，这里的大家会说话，又厉害，好好工作又有钱拿，我超喜欢这里的。
[name="カタパルト"]     だけどロドスは、こんなあたしを引き取ってくれた。ここじゃみんな話がわかるし、すごい人ばっかりだし、ちゃんと働けば給料だってもらえる。あたしったらもうここが大好きだよ。
[name="Catapult"]     But everybody here is talkative and awesome and the work is good and it pays well. I love it here.
[name="캐터펄트"]     근데 이곳 사람들은 말도 참 잘하고 대단하단 말이지. 일 잘하면 돈도 많이 주고. 나한테 여기 만한 데가 또 어디 있겠어?

[name="梓兰"]     唉，说不过你，你喜欢就好。
[name="オーキッド"]     はぁ、あなたには敵わないわ、好きならいいんじゃない。
[name="Orchid"]     *Sigh*. Great. As long as you're happy.
[name="오키드"]     하아… 그래, 네가 좋다니 다행이다.

[name="梓兰"]     总之，赶紧回去洗澡，身为女孩子，一身汗在外面走像什么话。
[name="オーキッド"]     とにかく、さっさと部屋に戻ってシャワーでも浴びて。女の子なんだから、汗だくで歩き回らないようにね。
[name="Orchid"]     Anyway, hurry back and take a shower. A girl shouldn't be out walking around all sweaty.
[name="오키드"]     어쨌든 어서 가서 씻어. 여자애가 그렇게 땀투성이로 다니면 어떡하니.

[name="空爆"]     是~
[name="カタパルト"]     はいよ～。
[name="Catapult"]     Sure~
[name="캐터펄트"]     네네~

[name="空爆"]     咦，梓兰姐，你走的方向不是宿舍的方向啊。
[name="カタパルト"]     んー、姉さん、そっちは部屋の方向じゃないよ。
[name="Catapult"]     Hey, Orchid, the dorms are the other way.
[name="캐터펄트"]     어? 어디가 언니? 거기는 숙소 방향 아닌데?

[name="梓兰"]     我去训练场看看。
[name="オーキッド"]     訓練場を見てくるわ。
[name="Orchid"]     I'm going to check out the training room.
[name="오키드"]     훈련장에 가 볼 거야.

[name="空爆"]     哦。泡普卡，今晚来我的房间玩嘛，我给你讲故事！
[name="カタパルト"]     ふーん。ポプカル、今夜あたしの部屋に遊びに来なよ、絵本でも読んだげるからさ！
[name="Catapult"]     Oh. Popukar, why don't you come to my room tonight? I'll tell you a story.
[name="캐터펄트"]     흐음~ 포푸카, 이따 밤에 내 방으로 와. 이야기 들려줄게!

[name="泡普卡"]     好~
[name="ポプカル"]     わかった～。
[name="Popukar"]     Okay~
[name="포푸카"]     응~

训练室
訓練室
Training Room
훈련실

[name="斑点"]     月见夜，你是不是晚饭没吃饱，就这点力气？
[name="スポット"]     ミッドナイト、メシ食ってないんじゃないか。力が出てないぞ。
[name="Spot"]     Did you skip dinner, Midnight? Kinda weak.
[name="스팟"]     미드나이트, 힘이 왜 이렇게 없어? 저녁 안 먹었어?

[name="月见夜"]     我的剑术，靠的可是敏捷和出其不意。
[name="ミッドナイト"]     俺の剣術は、速さと意外性で相手を翻弄するタイプだからね。
[name="Midnight"]     My swordsmanship is about agility and cunning.
[name="미드나이트"]     내 검술은, 허를 찌르는 민첩성이 중요해서 말이지.

[name="斑点"]     继续吹，我爱听。
[name="スポット"]     はいはい、言ってろ。
[name="Spot"]     Keep talking. Music to my ears.
[name="스팟"]     그래 어디 한번 계속해보라고.

[name="月见夜"]     得手了！
[name="ミッドナイト"]     もらった！
[name="Midnight"]     Ah hah!
[name="미드나이트"]     걸렸군!

[name="斑点"]     慢了点，不过这一剑不错，可以看出你晚饭确实吃饱了。
[name="スポット"]     残念、ちーと遅い。でも悪くない一撃だったな、どうやらメシは十分に食ってたみたいだ。
[name="Spot"]     Slow. But not bad. I can tell you did eat enough after all.
[name="스팟"]     살~짝 느렸다. 그래도 방금 공격 나쁘지 않아. 저녁은 제대로 먹은 모양이네.

[name="梓兰"]     ......
[name="オーキッド"]     ……
[name="Orchid"]     ........
[name="오키드"]     ……

[name="泡普卡"]     哇，月见夜哥哥真的在和斑点对打。
[name="ポプカル"]     わぁ！　ミッドナイトお兄さんが本当にスポットお兄さんと対戦してる。
[name="Popukar"]     Wow, Midnight and Spot are fighting.
[name="포푸카"]     와아, 미드나이트 오빠랑 스팟 오빠가 정말 싸우고 있어.

[name="泡普卡"]     我去......
[name="ポプカル"]     ポプカルが止めてあげ……
[name="Popukar"]     Can I...?
[name="포푸카"]     포푸카가 막으러……

[name="梓兰"]     等他们打完吧。
[name="オーキッド"]     終わるまで待ちましょう。
[name="Orchid"]     Let's wait for them to finish.
[name="오키드"]     끝날 때까지 기다리자.

[name="泡普卡"]     喔——
[name="ポプカル"]     うん……
[name="Popukar"]     Oh——
[name="포푸카"]     우으으……

[name="月见夜"]     嘶，哈......给我喝口水。
[name="ミッドナイト"]     すぅー、はぁ……水を取ってもらえるかな。
[name="Midnight"]     Pfft. *Pant*... water, please.
[name="미드나이트"]     후…… 하…… 거기 물 좀 갖다 줄 수 있을까.

[name="斑点"]     给。
[name="スポット"]     ほら。
[name="Spot"]     Here.
[name="스팟"]     자.

[name="月见夜"]     ......呼，谢谢。
[name="ミッドナイト"]     ……ふぅ、ありがとう。
[name="Midnight"]     ........Phew. Thanks.
[name="미드나이트"]     후…… 고마워.

[name="月见夜"]     不愧是军人家庭出身，斑点你平时虽然很懒散，但果然还是比我厉害许多啊。
[name="ミッドナイト"]     さすが軍人の家庭出身だ、普段はやる気なさそうにしていても、俺よりもずっとすごい。
[name="Midnight"]     Your military lineage shows, Spot. You're usually so lethargic, but you're clearly much better than me at this.
[name="미드나이트"]     역시 군인 집안 출신이군, 스팟. 평소에는 의욕이 없어 보이더니, 역시 나보다 대단한걸.

[name="斑点"]     你可以骄傲一点。要不是你有以前的基础在，我会找本漫画来一边看一边和你打。
[name="スポット"]     ハハ、そりゃどーも。でもあんたは少しは自分を誇ってもいいと思うぞ。もしあんたがこれまで培った基礎がなければ、俺は漫画でも読みながら相手にしてただろうからな。
[name="Spot"]     You've got something to be proud of. If you didn't have the basics, I'd have my comics in one hand while I fought you with the other.
[name="스팟"]     너도 나쁜 실력은 아니야. 네가 여태까지 기본기를 안 닦아 뒀으면, 너 정도는 만화책 보면서 상대할 수도 있었을걸?

[name="月见夜"]     我有这么弱吗？
[name="ミッドナイト"]     俺はそんなに弱いかい？
[name="Midnight"]     Am I so weak?
[name="미드나이트"]     내가 그렇게 약한가?

[name="斑点"]     让我想想有什么不会伤到你又能表达我意思的说法。
[name="スポット"]     あんたを傷つけない言い方がないか考えさせてくれ。
[name="Spot"]     How can I get my point across without hurting your feelings?
[name="스팟"]     지금 어떻게 해야 너한테 상처 안 주고 내 생각을 전달할지 생각 중이야.

[name="月见夜"]     免了。
[name="ミッドナイト"]     ……この話はよそうか。
[name="Midnight"]     No need.
[name="미드나이트"]     …그럼 안 듣기로 하지.

[name="斑点"]     不过，我其实还有点好奇，你以前不是做男公关的吗。
[name="スポット"]     でもあんたの実力に関してはちょっと気になってる。あんた、前はホストだったんだろ。
[name="Spot"]     But I'm actually curious, you were an escort before, right?
[name="스팟"]     그런데 참 신기하네. 너, 옛날에 호스트바 뛰었다면서?

[name="斑点"]     我看得出来，你基础不错，没个几年练不出来的。
[name="スポット"]     その割に基礎がしっかりできてる。数年は訓練しないと身につかないレベルで。
[name="Spot"]     You've got the fundamentals. I can tell. A couple years of practice.
[name="스팟"]     기본기가 좋은 게 눈에 보인단 말이지. 그건 몇 년 연습한다고 되는 게 아니거든.

[name="斑点"]     虽然对于军人来说，你这点算不了什么，但确实，在普通人中你应该算是能打的。
[name="スポット"]     軍人の基準で言うとなんてことないが、一般人の中ではできる方だと思う。
[name="Spot"]     That's not up to military standard. But for a civilian, you can fight.
[name="스팟"]     군인한텐 별거 아닐지 몰라도, 일반인 중에서는 너 진짜 센 편이야.

[name="月见夜"]     我可以理解为你这是在夸我？
[name="ミッドナイト"]     これは、褒められていると受け取っていいかな？
[name="Midnight"]     Can I take that as a compliment?
[name="미드나이트"]     칭찬으로 생각해도 되겠지?

[name="斑点"]     我主要是在说服自己，队伍里那个看起来最轻浮的家伙其实也是有优点的。
[name="スポット"]     チームの中で一番浮ついたやつにも、実はいいところがあったって事実を、俺自身に言い聞かせて納得させてるだけさ。
[name="Spot"]     I'm mostly trying to convince myself that the most useless guy on our team actually has something to offer.
[name="스팟"]     팀에서 제일 경박해 보이는 녀석에게도 장점이 있다고, 나 자신을 설득하는 중이다.

[name="月见夜"]     哈哈，其实......
[name="ミッドナイト"]     ハハ、実は……
[name="Midnight"]     Haha... Actually...
[name="미드나이트"]     하하, 실은……

[name="泡普卡"]     月见夜哥哥，斑点哥哥！
[name="ポプカル"]     ミッドナイトお兄さん、スポットお兄さん！
[name="Popukar"]     Midnight! Spot!
[name="포푸카"]     미드나이트 오빠, 스팟 오빠!

[name="月见夜"]     嗯？
[name="ミッドナイト"]     おや？
[name="Midnight"]     Huh?
[name="미드나이트"]     응?

[name="斑点"]     梓兰也来了，我认为你完了。
[name="スポット"]     ポプカルに、オーキッドも来たのか。あんた終わったな。
[name="Spot"]     Orchid's here. You're boned.
[name="스팟"]     오키드도 같이 왔네. 너 이제 큰일 났다.

[name="月见夜"]     为什么？
[name="ミッドナイト"]     どうしてだい？
[name="Midnight"]     Why's that?
[name="미드나이트"]     어째서지?

[name="斑点"]     不知道，不过我妈以前看我不顺眼的时候就是那个表情。
[name="スポット"]     知らん。だけど俺のおふくろが俺を目障りそうに見てる時はいつもあんな顔だった。
[name="Spot"]     I don't know, but she looks like my mom did whenever things were about to get real bad for me.
[name="스팟"]     몰라. 우리 엄마도 화낼 땐 꼭 저런 표정을 지으셨거든.

[name="月见夜"]     呵呵，这你就错了，接下来就轮到我来教你一些应付女性的招式了。
[name="ミッドナイト"]     フフッ、それは君の思い違いさ。これから女性との接し方ってやつをレクチャーしてあげよう。
[name="Midnight"]     Oh, you're wrong about that. And it's my turn to teach you some tricks for dealing with women.
[name="미드나이트"]     후훗, 그건 아마 너의 착각일걸. 이번에는 내가 여성을 다루는 기술에 대해 알려주도록 하지.

[name="斑点"]     嚯。
[name="スポット"]     ひゅう。
[name="Spot"]     *Snort*.
[name="스팟"]     참나…

[name="月见夜"]     晚上好，泡普卡小姐，梓兰小姐。
[name="ミッドナイト"]     こんばんは、ポプカルさん、オーキッドさん。
[name="Midnight"]     Good evening, Miss Popukar, Miss Orchid.
[name="미드나이트"]     좋은 밤이군요. 포푸카 아가씨, 오키드 아가씨.

[name="梓兰"]     你在这里做什么？
[name="オーキッド"]     ここで何しているの？
[name="Orchid"]     What are you doing here?
[name="오키드"]     여기서 뭐 하는 거야?

[name="月见夜"]     如你所见，我每天这个时候都会在这里锻炼自己。
[name="ミッドナイト"]     見た通りトレーニングをしているのさ。毎日ね。
[name="Midnight"]     As you can see, I'm doing my daily exercise.
[name="미드나이트"]     보시다시피, 매일 여기서 자신을 단련하고 있지.

[name="梓兰"]     我怎么不知道？
[name="オーキッド"]     なんで私は知らなかったのかしら？
[name="Orchid"]     And why don't I know about this routine?
[name="오키드"]     난 왜 몰랐지?

[name="月见夜"]     因为我想梓兰小姐你对这方面没有什么兴趣，而且这毕竟只是我利用自己个人时间的方式，不是吗？
[name="ミッドナイト"]     オーキッドさんはこういうことには興味がないと思って、伝えてないだけさ。それにこれはあくまで俺の個人的な時間の使い方だからね、違うかい？
[name="Midnight"]     I never thought you'd be interested, Miss Orchid. And it's all on my own time.
[name="미드나이트"]     오키드 아가씨가 나에게 관심이 없는 건 알지만, 나는 그저 내 개인적인 시간을 보내고 있었을 뿐, 거짓말을 할 필요는 없지 않나?

[name="梓兰"]     ......倒也没错。
[name="オーキッド"]     ……その通りね。
[name="Orchid"]     ...Fair enough.
[name="오키드"]     ……그건 그러네.

[name="梓兰"]     但是，我们只是普通人，杜宾教官也明确说过，危险的战场不会让我们这样由民间人士组成的队伍去的，有什么必要？
[name="オーキッド"]     ドーベルマン教官も明言してたけど、私たちみたいな民間人のチームは、危険な任務には行かないでしょ。トレーニングして何の意味があるの？
[name="Orchid"]     But we're normal people. And Instructor Dobermann made it clear that civilian teams like us won't ever end up on dangerous missions. So what's the point?
[name="오키드"]     그래도 우린 일반인이라고. 도베르만 교관도 위험한 전장에는 우리 같이 민간인으로 구성된 팀은 안 내보낸다고 했는데, 대체 왜?

[name="月见夜"]     啊，这个问题，嗯，你问了一个好问题呢，梓兰小姐。
[name="ミッドナイト"]     おっと、そうきたか。うん、良い質問だね、オーキッドさん。
[name="Midnight"]     Oh, good question. Mm, a truly fantastic question, Orchid.
[name="미드나이트"]     아, 그거 말인가. 음, 좋은 질문이야, 오키드 아가씨.

[name="梓兰"]     ......？
[name="オーキッド"]     ……？
[name="Orchid"]     .......?
[name="오키드"]     ……?

[name="月见夜"]     那么，就先稍微休息一下吧，斑点？
[name="ミッドナイト"]     少し休もうか、スポット。
[name="Midnight"]     Let's take a break for now, shall we, Spot?
[name="미드나이트"]     그럼 스팟, 잠깐 쉬는 게 어때?

[name="斑点"]     呼啊......随你，反正我只是陪练，那我去拿本漫画。
[name="スポット"]     ふわ～あ……あんたの好きにすればいい。俺はただの付き添いだからな。部屋から漫画取ってくるわ。
[name="Spot"]     Yeah, whatever. I'm just here to help out. I'll go get a comic book to read.
[name="스팟"]     후아~ 맘대로 해. 어차피 난 그냥 너한테 맞춰주고 있었던 거니까. 그럼 만화책이나 가지러 가야겠다.

[name="月见夜"]     梓兰小姐，你知道在我这行，成功的秘诀是什么吗？
[name="ミッドナイト"]     さて、オーキッドさん、俺たちの業界における成功の秘訣は何かわかるかな？
[name="Midnight"]     Orchid, do you know what the secret to success is in my line of work?
[name="미드나이트"]     오키드 아가씨, 내가 업계에서 성공했던 비결이 뭔지 알아?

[name="梓兰"]     你在说什么。
[name="オーキッド"]     何言ってるの。
[name="Orchid"]     What are you talking about?
[name="오키드"]     뭐라는 거야 또…

[name="月见夜"]     只是一点开场白而已，你不回答我也会继续说的。
[name="ミッドナイト"]     話し始めの口上さ、別に答えなくても話は続くよ。
[name="Midnight"]     That's a rhetorical question, to start things off. I can continue without an answer.
[name="미드나이트"]     이건 이야기의 서론에 불과해. 어차피 대답 안 해도 계속 얘기할 거니까.

[name="梓兰"]     难道不是长的帅一点，然后再比较会说话就行？
[name="オーキッド"]     顔が整っていて、口が上手ければいいんじゃないの？
[name="Orchid"]     I'd guess the trick is to be handsome, first and foremost. And then be a decent talker?
[name="오키드"]     설마, 조금 잘생기고 말 좀 잘한다, 이거야?

[name="月见夜"]     不不不，虽然我自认相当美型，也确实懂得如何赞美别人......
[name="ミッドナイト"]     いやいや、まぁ俺が相当な美形ってことは認めるし、褒め上手な自覚もあるけどさ……
[name="Midnight"]     No, no, and no. Although I consider myself quite beautiful, and I do know how to pay a compliment...
[name="미드나이트"]     그럴 리가. 물론 잘생기기도 했고, 다른 사람을 기분 좋게 하는 법도 잘 알긴 하지만……

[name="斑点"]     呕。
[name="スポット"]     オエッ。
[name="Spot"]     Bleh.
[name="스팟"]     우웩.

[name="泡普卡"]     斑点怎么啦？
[name="ポプカル"]     スポットお兄さん、どうしたの？
[name="Popukar"]     What's wrong with Spot?
[name="포푸카"]     스팟 오빠, 왜 그래?

[name="斑点"]     没什么，我只是重新认识了人的可能性。
[name="スポット"]     なんでもない。人の新たな可能性を目の当たりにしただけだ。
[name="Spot"]     Nothing, just looking at a clown in a whole new light.
[name="스팟"]     아무것도 아냐. 인간의 가능성에 대해 새삼 깨달았달까……

[name="月见夜"]     呵呵，自信是十分重要的，不过，最重要的，是对客人一视同仁。
[name="ミッドナイト"]     フフッ、自信はとても大切なものだよ。でも、一番大切なのは、どのお客様にも同じように接することさ。
[name="Midnight"]     Heh heh. Confidence is very important. But by far the most important is to treat all your clients equally.
[name="미드나이트"]     후후, 자신감은 중요하지. 하지만 가장 중요한 건, 바로 손님을 차별하지 않는 거야.

[name="月见夜"]     更确切地说——只要来到我的店里，我的面前，那么，无论你是谁，你唯一的身份，就是我的客人。
[name="ミッドナイト"]     もっと正確に言うと――俺の店に訪れて、俺の隣に座ったなら、それがどこの誰であれ、ただの「お客様」になるのさ。
[name="Midnight"]     That is——When you step into my realm, my presence, then, whoever you are, the only thing you are, is my client.
[name="미드나이트"]     구체적으로 말하면…… 우리 가게, 내 앞으로 온 사람이라면, 누구든 간에 그 사람이 가질 유일한 신분은 바로 '내 손님'이라는 것, 이랄까.

[name="梓兰"]     ......这和刚才的话题有什么关系？难道你是想说，对你来说，大家都是一样的？
[name="オーキッド"]     ……それとさっきの話に何の関係があるの？　まさかあなたにとっては、誰だってみんな同じって言いたいの？
[name="Orchid"]     ........What's the point of all this? Are you trying to say that everyone's the same to you?
[name="오키드"]     그게 이 주제랑 무슨 상관인데 대체…… 설마 너한텐 모두가 똑같다는 말이 하고 싶은 거야?

[name="月见夜"]     不不不，我的队长小姐，你是聪明人，只是你没有这么想过。
[name="ミッドナイト"]     いやいや。隊長様、あなたは頭のいい人だけど、こういうことを考えたことがないんだね。
[name="Midnight"]     Not at all, my dear sweet captain. Clever as you are, you've never thought this through.
[name="미드나이트"]     아니지 아니지, 팀장님. 당신은 똑똑한 사람이야. 물론 본인은 그렇게 생각하지 않겠지만.

[name="月见夜"]     并不是对我来说，而是，事实上就是如此。
[name="ミッドナイト"]     「俺にとっては」じゃなくて、事実としてそうなのさ。
[name="Midnight"]     It's not that everyone's the same to me. It's that, simply, everyone's the same.
[name="미드나이트"]     내 눈에만 똑똑해 보인다는 게 아니라, 사실이 그렇다는 거야.

[name="月见夜"]     表面刚强，人称铁面女强人的部长其实可能只是为了工作戴上了面具，而戴久了连自己也不知道该怎么摘下。
[name="ミッドナイト"]     キャリアウーマンで鉄仮面なんて呼ばれる部長だって、仕事のために仮面を付けて長く過ごすうちに、外し方がわからなくなっているだけかもしれない。
[name="Midnight"]     The iron-fisted career woman, tyrant of her office section, could actually just be wearing a mask for the sake of her work. If she wears it long enough, she may forget how to take it back off.
[name="미드나이트"]     예를 몇 개 들어 볼까. 겉으로는 강해 보이고 고지식하고 딱딱해보이는 어느 회사의 부장님도, 사실은 일을 위해서 가면을 쓰고 있는 경우가 있지. 다만 그 가면을 너무 오래 쓰고 있어서 어떻게 벗어야 할지 모르는 것 뿐.

[name="月见夜"]     表面家庭美满的主妇，可能丈夫早就出轨，而她只能独守空房，不能和人诉说，只能来我这里买醉。
[name="ミッドナイト"]     家庭円満に見える主婦だって、夫に浮気されて一人で留守番しながらも、それを誰にも言えなくて、俺のところに酔いに来てるのかもしれない。
[name="Midnight"]     The outwardly homely housewife, whose husband likely cheated on her long ago, she stays at home telling no one of her troubles, with no choice but to come to drink with me.
[name="미드나이트"]     겉으로는 화목해 보이는 가정의 주부도, 사실은 남편이 바람나서 독수공방하고 있지만 말할 수 없었기 때문에 나를 찾아오는 경우도 있었어.

[name="月见夜"]     性格急躁，给人女强人感觉的服装设计师，说不定只是害怕被人讨厌，失去他人的信赖。
[name="ミッドナイト"]     せっかちで、いつもぶすっとしてる気の強そうなファッションデザイナーだって、内心では人に嫌われて信頼を失うのが怖くて、ビクビクしているかもしれない。
[name="Midnight"]     An ill-tempered fashion designer with her strong woman facade may just fear the gossip of others, and the resulting loss of trust.
[name="미드나이트"]     그리고, 급한 성격에 드세 보이는 어느 디자이너도, 미움받거나 남의 신뢰를 잃는 것을 두려워하기도 하고.

[name="梓兰"]     你是不是找死。
[name="オーキッド"]     あなた、喧嘩を売ってるの？
[name="Orchid"]     Do you have a death wish?
[name="오키드"]     오늘 한번 죽어볼래 진짜?

[name="月见夜"]     哈哈，我可没有在说你哦？这样的人，比比皆是。
[name="ミッドナイト"]     ハハ、君のことだなんて俺は一言も言ってないよ？　そういう人たちはどこにだっているよ。
[name="Midnight"]     Ha ha, did you think I was talking about you? People like this abound.
[name="미드나이트"]     하하, 내가 언제 오키드 씨라고 했어? 이런 사람들은 흔하다고.

[name="月见夜"]     在你我所处的城市中，每个人，在卸下他们的身份和责任之后，都是一样的。
[name="ミッドナイト"]     君や俺がいたような都市の人たちは、自らの立場や責任を取っ払ってしまえば、みんな同じなんだ。
[name="Midnight"]     Everyone in the city, after unloading their identities and responsibilities, is exactly the same. Each and every one.
[name="미드나이트"]     내가 있던 도시에서는, 신분과 책임을 내려놓으면 모두 같아져.

[name="月见夜"]     那么，在罗德岛呢，事情会有什么差别吗？
[name="ミッドナイト"]     じゃあ、ロドスはどうだろう、何か違いがあると思うかい？
[name="Midnight"]     So why, at Rhodes Island, would things be any different?
[name="미드나이트"]     그렇다면, 로도스 아일랜드라고 다를까?

[name="月见夜"]     那些出入危险地带的精英干员们，在下了战场后，会像一台机器拔掉电源一样停止工作？
[name="ミッドナイト"]     危険なエリアに出入りするエリートオペレーターは、戦場から戻ったら、ロボットが電源を抜かれたみたいに停止するのかな？
[name="Midnight"]     Do the elite operators who go diving headlong into a warzone, come back and unplug themselves like so much machinery?
[name="미드나이트"]     위험한 곳으로 향하는 정예 오퍼레이터라고 해서, 전장 밖에서는 배터리 없는 로봇처럼 멈추게 될까?

[name="月见夜"]     不是的，他们会在酒吧喝酒聊天，会在温室培育他们刚种下的植物，会听音乐，会看书。
[name="ミッドナイト"]     違うだろう？　彼らはバーで飲みながらおしゃべりして、温室で植えたばかりの植物の世話をし、音楽を聴いて、本を読む。
[name="Midnight"]     No, they drink and chat in the bar. They care for their freshly potted plants in the greenhouse. They listen to music, they read.
[name="미드나이트"]     아니. 그들도 바에 가서 술을 마시고 수다를 떨겠지. 온실에서 식물을 기르거나, 음악을 듣고 책을 읽기도 하고.

[name="月见夜"]     他们也会抱怨任务太难或者嘲笑任务的简单，他们会哭，也会笑，会难过，会痛，受伤也会死。
[name="ミッドナイト"]     任務が大変過ぎるって文句を言う人もいれば、簡単過ぎるって皮肉る人だっている。泣くことも、笑うことも、苦しむことも、痛みを感じることも、怪我することも、死んでしまうことだってある。
[name="Midnight"]     They complain when a mission is too hard, or chuckle at how hilariously easy it was. They cry, they laugh, they mope, they hurt, and they die.
[name="미드나이트"]     임무가 힘들다고 불평을 하거나, 너무 쉬었다고 비웃을 수도 있어. 그들도 울고, 웃고, 힘들어하고, 아파하고, 또 다치거나… 죽기도 하지.

[name="月见夜"]     他们和我们没有差别，不是吗？
[name="ミッドナイト"]     彼らと俺たちには何の違いだってないんだ。そうだろう？
[name="Midnight"]     They're no different from us, are they?
